Index	Vg	Id	Time	Vd
1	 0 V	 2.62016 nA	 65.67 ms	 0 V
2	 30.0 mV	 -1.26406 nA	 81.56 ms	 0 V
3	 60.0 mV	 -397.40 pA	 91.11 ms	 0 V
4	 90.0 mV	 -2.10062 nA	 100.64 ms	 0 V
5	 120.0 mV	 -2.53144 nA	 120.07 ms	 0 V
6	 150.0 mV	 -2.95008 nA	 139.40 ms	 0 V
7	 180.0 mV	 3.22680 nA	 148.87 ms	 0 V
8	 210.0 mV	 -1.7322 nA	 178.27 ms	 0 V
9	 240.0 mV	 -3.33698 nA	 217.40 ms	 0 V
10	 270.0 mV	 -1.4174 nA	 291.13 ms	 0 V
11	 300.0 mV	 -204.68 pA	 341.81 ms	 0 V
12	 330.0 mV	 5.31620 nA	 351.25 ms	 0 V
13	 360.0 mV	 4.6351 nA	 381.37 ms	 0 V
14	 390.0 mV	 9.4872 nA	 406.39 ms	 0 V
15	 420.0 mV	 19.1643 nA	 421.59 ms	 0 V
16	 450.0 mV	 29.4795 nA	 436.82 ms	 0 V
17	 480.0 mV	 48.6206 nA	 452.02 ms	 0 V
18	 510.0 mV	 83.1791 nA	 467.31 ms	 0 V
19	 540.0 mV	 327.880 nA	 508.28 ms	 0 V
20	 570.0 mV	 183.600 nA	 514.86 ms	 0 V
21	 600.0 mV	 250.790 nA	 521.25 ms	 0 V
22	 630.0 mV	 322.790 nA	 528.41 ms	 0 V
23	 660.0 mV	 390.350 nA	 534.86 ms	 0 V
24	 690.0 mV	 484.900 nA	 540.79 ms	 0 V
25	 720.0 mV	 560.230 nA	 547.51 ms	 0 V
26	 750.0 mV	 645.440 nA	 554.11 ms	 0 V
27	 780.0 mV	 722.320 nA	 560.79 ms	 0 V
28	 810.0 mV	 777.480 nA	 567.41 ms	 0 V
29	 840.0 mV	 851.430 nA	 575.17 ms	 0 V
30	 870.0 mV	 917.850 nA	 581.80 ms	 0 V
31	 900.0 mV	 962.570 nA	 588.36 ms	 0 V
32	 930.0 mV	 1.007110 uA	 594.79 ms	 0 V
33	 960.0 mV	 1.060560 uA	 601.73 ms	 0 V
34	 990.0 mV	 1.102040 uA	 608.42 ms	 0 V
35	 1.0200 V	 1.145880 uA	 615.08 ms	 0 V
36	 1.0500 V	 1.149990 uA	 621.67 ms	 0 V
37	 1.0800 V	 1.150000 uA	 628.12 ms	 0 V
38	 1.1100 V	 1.20930 uA	 673.21 ms	 0 V
39	 1.1400 V	 1.25940 uA	 680.86 ms	 0 V
40	 1.1700 V	 1.33320 uA	 688.45 ms	 0 V
41	 1.2000 V	 1.41170 uA	 696.05 ms	 0 V
42	 0 V	 -439.60 pA	 1.11322 s	 100.00 mV
43	 30.0 mV	 527.18 pA	 1.12330 s	 100.00 mV
44	 60.0 mV	 -66.92 pA	 1.13288 s	 100.00 mV
45	 90.0 mV	 -430.10 pA	 1.14246 s	 100.00 mV
46	 120.0 mV	 957.62 pA	 1.15203 s	 100.00 mV
47	 150.0 mV	 -1.42524 nA	 1.16154 s	 100.00 mV
48	 180.0 mV	 1.98500 nA	 1.17104 s	 100.00 mV
49	 210.0 mV	 -2.35482 nA	 1.18050 s	 100.00 mV
50	 240.0 mV	 2.76978 nA	 1.19005 s	 100.00 mV
51	 270.0 mV	 -2.35260 nA	 1.19951 s	 100.00 mV
52	 300.0 mV	 1.97310 nA	 1.26087 s	 100.00 mV
53	 330.0 mV	 18.8013 nA	 1.29642 s	 100.00 mV
54	 360.0 mV	 92.760 nA	 1.33035 s	 100.00 mV
55	 390.0 mV	 305.900 nA	 1.33702 s	 100.00 mV
56	 420.0 mV	 886.950 nA	 1.34370 s	 100.00 mV
57	 450.0 mV	 3.02360 uA	 1.38991 s	 100.00 mV
58	 480.0 mV	 7.69480 uA	 1.39744 s	 100.00 mV
59	 510.0 mV	 16.2820 uA	 1.43564 s	 100.00 mV
60	 540.0 mV	 30.6470 uA	 1.44222 s	 100.00 mV
61	 570.0 mV	 51.4300 uA	 1.44907 s	 100.00 mV
62	 600.0 mV	 80.3220 uA	 1.45470 s	 100.00 mV
63	 630.0 mV	 122.000 uA	 1.48164 s	 100.00 mV
64	 660.0 mV	 178.020 uA	 1.48731 s	 100.00 mV
65	 690.0 mV	 250.750 uA	 1.49329 s	 100.00 mV
66	 720.0 mV	 342.520 uA	 1.49986 s	 100.00 mV
67	 750.0 mV	 449.020 uA	 1.50552 s	 100.00 mV
68	 780.0 mV	 567.330 uA	 1.51163 s	 100.00 mV
69	 810.0 mV	 693.430 uA	 1.51725 s	 100.00 mV
70	 840.0 mV	 824.510 uA	 1.52289 s	 100.00 mV
71	 870.0 mV	 954.640 uA	 1.53006 s	 100.00 mV
72	 900.0 mV	 1.084640 mA	 1.53574 s	 100.00 mV
73	 930.0 mV	 1.20980 mA	 1.55384 s	 100.00 mV
74	 960.0 mV	 1.32990 mA	 1.55944 s	 100.00 mV
75	 990.0 mV	 1.44420 mA	 1.56609 s	 100.00 mV
76	 1.0200 V	 1.55280 mA	 1.57169 s	 100.00 mV
77	 1.0500 V	 1.65600 mA	 1.57746 s	 100.00 mV
78	 1.0800 V	 1.75380 mA	 1.58372 s	 100.00 mV
79	 1.1100 V	 1.84430 mA	 1.58928 s	 100.00 mV
80	 1.1400 V	 1.93060 mA	 1.59627 s	 100.00 mV
81	 1.1700 V	 2.01150 mA	 1.60184 s	 100.00 mV
82	 1.2000 V	 2.08690 mA	 1.60743 s	 100.00 mV
83	 0 V	 -3.37638 nA	 1.69747 s	 200.00 mV
84	 30.0 mV	 3.41084 nA	 1.70750 s	 200.00 mV
85	 60.0 mV	 -3.26576 nA	 1.71708 s	 200.00 mV
86	 90.0 mV	 3.16224 nA	 1.72653 s	 200.00 mV
87	 120.0 mV	 -3.42932 nA	 1.73770 s	 200.00 mV
88	 150.0 mV	 3.31618 nA	 1.74716 s	 200.00 mV
89	 180.0 mV	 -3.15958 nA	 1.75667 s	 200.00 mV
90	 210.0 mV	 3.26032 nA	 1.76650 s	 200.00 mV
91	 240.0 mV	 -3.25914 nA	 1.77756 s	 200.00 mV
92	 270.0 mV	 4.35070 nA	 1.78704 s	 200.00 mV
93	 300.0 mV	 2.45004 nA	 1.79656 s	 200.00 mV
94	 330.0 mV	 21.5430 nA	 1.83268 s	 200.00 mV
95	 360.0 mV	 125.930 nA	 1.87079 s	 200.00 mV
96	 390.0 mV	 362.920 nA	 1.87738 s	 200.00 mV
97	 420.0 mV	 1.13330 uA	 1.92501 s	 200.00 mV
98	 450.0 mV	 3.67530 uA	 1.93240 s	 200.00 mV
