Index	Vg	Id	Time	Vd
1	 0 V	 -1.41646 nA	 66.92 ms	 0 V
2	 30.0 mV	 1.60172 nA	 76.27 ms	 0 V
3	 60.0 mV	 -1.55422 nA	 85.84 ms	 0 V
4	 90.0 mV	 1.56662 nA	 95.43 ms	 0 V
5	 120.0 mV	 -1.49022 nA	 106.49 ms	 0 V
6	 150.0 mV	 1.60644 nA	 116.06 ms	 0 V
7	 180.0 mV	 -1.56398 nA	 125.64 ms	 0 V
8	 210.0 mV	 1.52894 nA	 135.18 ms	 0 V
9	 240.0 mV	 -1.51664 nA	 146.27 ms	 0 V
10	 270.0 mV	 1.59776 nA	 155.84 ms	 0 V
11	 300.0 mV	 -1.58736 nA	 165.53 ms	 0 V
12	 330.0 mV	 1.55348 nA	 175.30 ms	 0 V
13	 360.0 mV	 -1.32724 nA	 186.48 ms	 0 V
14	 390.0 mV	 2.39750 nA	 196.02 ms	 0 V
15	 420.0 mV	 2.24050 nA	 205.48 ms	 0 V
16	 450.0 mV	 11.0648 nA	 239.65 ms	 0 V
17	 480.0 mV	 20.3422 nA	 255.85 ms	 0 V
18	 510.0 mV	 22.3787 nA	 271.18 ms	 0 V
19	 540.0 mV	 19.3039 nA	 286.51 ms	 0 V
20	 570.0 mV	 17.6084 nA	 302.65 ms	 0 V
21	 600.0 mV	 19.5149 nA	 317.93 ms	 0 V
22	 630.0 mV	 13.4471 nA	 333.26 ms	 0 V
23	 660.0 mV	 -54.404 pA	 398.09 ms	 0 V
24	 690.0 mV	 -41.3921 nA	 479.01 ms	 0 V
25	 720.0 mV	 -112.8128 nA	 494.25 ms	 0 V
26	 750.0 mV	 -226.440 nA	 524.12 ms	 0 V
27	 780.0 mV	 -366.430 nA	 530.78 ms	 0 V
28	 810.0 mV	 -550.170 nA	 537.33 ms	 0 V
29	 840.0 mV	 -769.570 nA	 543.97 ms	 0 V
30	 870.0 mV	 -1.015440 uA	 550.68 ms	 0 V
31	 900.0 mV	 -1.35350 uA	 572.12 ms	 0 V
32	 930.0 mV	 -1.67290 uA	 579.76 ms	 0 V
33	 960.0 mV	 -2.02420 uA	 587.34 ms	 0 V
34	 990.0 mV	 -2.39210 uA	 594.98 ms	 0 V
35	 1.0200 V	 -2.78500 uA	 602.62 ms	 0 V
36	 1.0500 V	 -3.22170 uA	 610.22 ms	 0 V
37	 1.0800 V	 -3.66450 uA	 617.77 ms	 0 V
38	 1.1100 V	 -4.12890 uA	 625.34 ms	 0 V
39	 1.1400 V	 -4.60000 uA	 632.69 ms	 0 V
40	 1.1700 V	 -5.11360 uA	 639.30 ms	 0 V
41	 1.2000 V	 -5.60880 uA	 647.36 ms	 0 V
42	 0 V	 721.98 pA	 1.05245 s	 100.00 mV
43	 30.0 mV	 -1.54362 nA	 1.06541 s	 100.00 mV
44	 60.0 mV	 1.54108 nA	 1.07520 s	 100.00 mV
45	 90.0 mV	 -1.48520 nA	 1.08629 s	 100.00 mV
46	 120.0 mV	 1.60842 nA	 1.09577 s	 100.00 mV
47	 150.0 mV	 -1.48988 nA	 1.10636 s	 100.00 mV
48	 180.0 mV	 1.60936 nA	 1.11589 s	 100.00 mV
49	 210.0 mV	 -1.54274 nA	 1.12560 s	 100.00 mV
50	 240.0 mV	 1.52050 nA	 1.13501 s	 100.00 mV
51	 270.0 mV	 -1.54496 nA	 1.14591 s	 100.00 mV
52	 300.0 mV	 1.63020 nA	 1.15603 s	 100.00 mV
53	 330.0 mV	 -1.41122 nA	 1.16667 s	 100.00 mV
54	 360.0 mV	 1.90776 nA	 1.17522 s	 100.00 mV
55	 390.0 mV	 813.62 pA	 1.18518 s	 100.00 mV
56	 420.0 mV	 12.7847 nA	 1.22030 s	 100.00 mV
57	 450.0 mV	 59.4339 nA	 1.23460 s	 100.00 mV
58	 480.0 mV	 177.940 nA	 1.26319 s	 100.00 mV
59	 510.0 mV	 418.940 nA	 1.26988 s	 100.00 mV
60	 540.0 mV	 809.390 nA	 1.27649 s	 100.00 mV
61	 570.0 mV	 1.34800 uA	 1.32253 s	 100.00 mV
62	 600.0 mV	 2.07240 uA	 1.33007 s	 100.00 mV
63	 630.0 mV	 3.04460 uA	 1.33771 s	 100.00 mV
64	 660.0 mV	 4.33300 uA	 1.34536 s	 100.00 mV
65	 690.0 mV	 6.01360 uA	 1.35293 s	 100.00 mV
66	 720.0 mV	 8.14040 uA	 1.36031 s	 100.00 mV
67	 750.0 mV	 10.64180 uA	 1.36693 s	 100.00 mV
68	 780.0 mV	 13.5790 uA	 1.40323 s	 100.00 mV
69	 810.0 mV	 16.9220 uA	 1.40886 s	 100.00 mV
70	 840.0 mV	 20.5010 uA	 1.41589 s	 100.00 mV
71	 870.0 mV	 24.2580 uA	 1.42152 s	 100.00 mV
72	 900.0 mV	 27.9590 uA	 1.42718 s	 100.00 mV
73	 930.0 mV	 31.8320 uA	 1.43399 s	 100.00 mV
74	 960.0 mV	 35.7220 uA	 1.43961 s	 100.00 mV
75	 990.0 mV	 39.6440 uA	 1.44682 s	 100.00 mV
76	 1.0200 V	 43.4900 uA	 1.45249 s	 100.00 mV
77	 1.0500 V	 47.2490 uA	 1.45992 s	 100.00 mV
78	 1.0800 V	 50.8450 uA	 1.46648 s	 100.00 mV
79	 1.1100 V	 54.3490 uA	 1.47317 s	 100.00 mV
80	 1.1400 V	 57.6820 uA	 1.47979 s	 100.00 mV
81	 1.1700 V	 60.8800 uA	 1.48646 s	 100.00 mV
82	 1.2000 V	 63.9090 uA	 1.49302 s	 100.00 mV
83	 0 V	 -357.10 pA	 1.68998 s	 200.00 mV
84	 30.0 mV	 372.40 pA	 1.70000 s	 200.00 mV
85	 60.0 mV	 -537.20 pA	 1.70956 s	 200.00 mV
86	 90.0 mV	 859.26 pA	 1.71901 s	 200.00 mV
87	 120.0 mV	 -970.52 pA	 1.72853 s	 200.00 mV
88	 150.0 mV	 1.29624 nA	 1.73796 s	 200.00 mV
89	 180.0 mV	 -905.02 pA	 1.74872 s	 200.00 mV
90	 210.0 mV	 1.43358 nA	 1.75750 s	 200.00 mV
91	 240.0 mV	 -1.38146 nA	 1.76700 s	 200.00 mV
92	 270.0 mV	 1.57124 nA	 1.77648 s	 200.00 mV
