Index	Vg	Id	Time	Vd
1	 0 V	 -15.300 nA	 59.26 ms	 0 V
2	 30.0 mV	 -16.420 nA	 91.13 ms	 0 V
3	 60.0 mV	 -6.98324 nA	 142.86 ms	 0 V
4	 90.0 mV	 -4.530 nA	 200.54 ms	 0 V
5	 120.0 mV	 -5.960 nA	 207.12 ms	 0 V
6	 150.0 mV	 3.610 nA	 232.99 ms	 0 V
7	 180.0 mV	 1.230 nA	 270.37 ms	 0 V
8	 210.0 mV	 -2.290 nA	 300.42 ms	 0 V
9	 240.0 mV	 -13.090 nA	 343.35 ms	 0 V
10	 270.0 mV	 -9.730 nA	 383.44 ms	 0 V
11	 300.0 mV	 430 pA	 418.10 ms	 0 V
12	 330.0 mV	 -9.230 nA	 442.51 ms	 0 V
13	 360.0 mV	 -11.670 nA	 506.74 ms	 0 V
14	 390.0 mV	 -5.460 nA	 538.76 ms	 0 V
15	 420.0 mV	 -12.490 nA	 560.36 ms	 0 V
16	 450.0 mV	 -12.020 nA	 597.93 ms	 0 V
17	 480.0 mV	 -16.30 nA	 638.86 ms	 0 V
18	 510.0 mV	 -41.560 nA	 680.65 ms	 0 V
19	 540.0 mV	 -60.220 nA	 712.80 ms	 0 V
20	 570.0 mV	 -55.5282 nA	 727.62 ms	 0 V
21	 600.0 mV	 -68.290 nA	 775.31 ms	 0 V
22	 630.0 mV	 -39.40 nA	 817.32 ms	 0 V
23	 660.0 mV	 -141.840 nA	 834.90 ms	 0 V
24	 690.0 mV	 -89.3221 nA	 849.47 ms	 0 V
25	 720.0 mV	 -98.670 nA	 882.16 ms	 0 V
26	 750.0 mV	 -97.370 nA	 888.73 ms	 0 V
27	 780.0 mV	 -99.460 nA	 895.15 ms	 0 V
28	 810.0 mV	 -92.8042 nA	 910.26 ms	 0 V
29	 840.0 mV	 -119.870 nA	 965.23 ms	 0 V
30	 870.0 mV	 -99.9901 nA	 980.02 ms	 0 V
31	 900.0 mV	 -85.1892 nA	 995.23 ms	 0 V
32	 930.0 mV	 -90.4485 nA	 1.01047 s	 0 V
33	 960.0 mV	 -84.7706 nA	 1.02579 s	 0 V
34	 990.0 mV	 -82.1974 nA	 1.04103 s	 0 V
35	 1.0200 V	 -63.3012 nA	 1.05774 s	 0 V
36	 1.0500 V	 -65.8713 nA	 1.07308 s	 0 V
37	 1.0800 V	 -53.0427 nA	 1.08840 s	 0 V
38	 1.1100 V	 -60.0031 nA	 1.10369 s	 0 V
39	 1.1400 V	 -55.8883 nA	 1.11900 s	 0 V
40	 1.1700 V	 -35.7330 nA	 1.13432 s	 0 V
41	 1.2000 V	 -36.0260 nA	 1.14955 s	 0 V
42	 0 V	 4.51510 nA	 1.39186 s	 100.00 mV
43	 30.0 mV	 -2.78598 nA	 1.40690 s	 100.00 mV
44	 60.0 mV	 449.30 pA	 1.41801 s	 100.00 mV
45	 90.0 mV	 -4.80582 nA	 1.48167 s	 100.00 mV
46	 120.0 mV	 2.9034 nA	 1.51102 s	 100.00 mV
47	 150.0 mV	 5.40 nA	 1.57416 s	 100.00 mV
48	 180.0 mV	 -3.55150 nA	 1.62568 s	 100.00 mV
49	 210.0 mV	 626.3 pA	 1.67313 s	 100.00 mV
50	 240.0 mV	 4.50982 nA	 1.71232 s	 100.00 mV
51	 270.0 mV	 -3.55112 nA	 1.72206 s	 100.00 mV
52	 300.0 mV	 6.65542 nA	 1.73631 s	 100.00 mV
53	 330.0 mV	 6.54722 nA	 1.74610 s	 100.00 mV
54	 360.0 mV	 30.590 nA	 1.79829 s	 100.00 mV
55	 390.0 mV	 81.3791 nA	 1.81443 s	 100.00 mV
56	 420.0 mV	 192.690 nA	 1.84391 s	 100.00 mV
57	 450.0 mV	 425.440 nA	 1.85068 s	 100.00 mV
58	 480.0 mV	 794.390 nA	 1.85981 s	 100.00 mV
59	 510.0 mV	 1.36590 uA	 1.90509 s	 100.00 mV
60	 540.0 mV	 2.13230 uA	 1.91271 s	 100.00 mV
61	 570.0 mV	 3.12190 uA	 1.92035 s	 100.00 mV
62	 600.0 mV	 4.43530 uA	 1.92788 s	 100.00 mV
63	 630.0 mV	 6.16500 uA	 1.93676 s	 100.00 mV
64	 660.0 mV	 8.31360 uA	 1.94336 s	 100.00 mV
65	 690.0 mV	 10.88340 uA	 1.95001 s	 100.00 mV
66	 720.0 mV	 13.9720 uA	 1.98697 s	 100.00 mV
67	 750.0 mV	 17.4360 uA	 1.99367 s	 100.00 mV
68	 780.0 mV	 21.0470 uA	 2.00031 s	 100.00 mV
69	 810.0 mV	 25.0890 uA	 2.00693 s	 100.00 mV
70	 840.0 mV	 29.3030 uA	 2.01359 s	 100.00 mV
71	 870.0 mV	 33.7250 uA	 2.01998 s	 100.00 mV
72	 900.0 mV	 38.0190 uA	 2.02587 s	 100.00 mV
73	 930.0 mV	 42.1100 uA	 2.03205 s	 100.00 mV
74	 960.0 mV	 46.2980 uA	 2.03905 s	 100.00 mV
75	 990.0 mV	 50.4160 uA	 2.04567 s	 100.00 mV
76	 1.0200 V	 54.4080 uA	 2.05211 s	 100.00 mV
77	 1.0500 V	 58.2880 uA	 2.05944 s	 100.00 mV
78	 1.0800 V	 62.0240 uA	 2.06510 s	 100.00 mV
79	 1.1100 V	 65.7810 uA	 2.07076 s	 100.00 mV
80	 1.1400 V	 69.2700 uA	 2.07805 s	 100.00 mV
81	 1.1700 V	 72.6220 uA	 2.08367 s	 100.00 mV
82	 1.2000 V	 75.6730 uA	 2.09076 s	 100.00 mV
83	 0 V	 5.35590 nA	 2.31361 s	 200.00 mV
84	 30.0 mV	 -5.25024 nA	 2.32367 s	 200.00 mV
85	 60.0 mV	 5.18062 nA	 2.33323 s	 200.00 mV
86	 90.0 mV	 -5.07256 nA	 2.34282 s	 200.00 mV
87	 120.0 mV	 4.40864 nA	 2.35235 s	 200.00 mV
88	 150.0 mV	 -4.45976 nA	 2.36191 s	 200.00 mV
89	 180.0 mV	 4.08434 nA	 2.37148 s	 200.00 mV
90	 210.0 mV	 -4.75694 nA	 2.38261 s	 200.00 mV
91	 240.0 mV	 4.84558 nA	 2.39206 s	 200.00 mV
92	 270.0 mV	 -3.78746 nA	 2.40341 s	 200.00 mV
93	 300.0 mV	 8.89452 nA	 2.41269 s	 200.00 mV
94	 330.0 mV	 14.5249 nA	 2.45237 s	 200.00 mV
95	 360.0 mV	 34.9372 nA	 2.46760 s	 200.00 mV
96	 390.0 mV	 85.6921 nA	 2.48267 s	 200.00 mV
97	 420.0 mV	 228.110 nA	 2.51208 s	 200.00 mV
98	 450.0 mV	 475.030 nA	 2.51874 s	 200.00 mV
99	 480.0 mV	 942.580 nA	 2.52546 s	 200.00 mV
100	 510.0 mV	 1.65650 uA	 2.57172 s	 200.00 mV
101	 540.0 mV	 2.63640 uA	 2.57936 s	 200.00 mV
102	 570.0 mV	 4.04140 uA	 2.58701 s	 200.00 mV
103	 600.0 mV	 5.93060 uA	 2.59463 s	 200.00 mV
104	 630.0 mV	 8.40720 uA	 2.60216 s	 200.00 mV
105	 660.0 mV	 11.5540 uA	 2.62680 s	 200.00 mV
106	 690.0 mV	 15.3920 uA	 2.63340 s	 200.00 mV
107	 720.0 mV	 19.8950 uA	 2.64008 s	 200.00 mV
108	 750.0 mV	 25.2090 uA	 2.64679 s	 200.00 mV
109	 780.0 mV	 31.1100 uA	 2.65352 s	 200.00 mV
110	 810.0 mV	 37.3580 uA	 2.66013 s	 200.00 mV
111	 840.0 mV	 44.3860 uA	 2.66670 s	 200.00 mV
112	 870.0 mV	 51.5890 uA	 2.67341 s	 200.00 mV
113	 900.0 mV	 58.9910 uA	 2.68005 s	 200.00 mV
114	 930.0 mV	 66.2540 uA	 2.68665 s	 200.00 mV
115	 960.0 mV	 73.8100 uA	 2.69304 s	 200.00 mV
116	 990.0 mV	 81.3170 uA	 2.69870 s	 200.00 mV
117	 1.0200 V	 88.7970 uA	 2.70599 s	 200.00 mV
118	 1.0500 V	 96.1440 uA	 2.71164 s	 200.00 mV
119	 1.0800 V	 103.2900 uA	 2.71877 s	 200.00 mV
120	 1.1100 V	 110.3000 uA	 2.72443 s	 200.00 mV
121	 1.1400 V	 117.160 uA	 2.75208 s	 200.00 mV
122	 1.1700 V	 123.750 uA	 2.75773 s	 200.00 mV
123	 1.2000 V	 130.190 uA	 2.76428 s	 200.00 mV
124	 0 V	 4.70768 nA	 3.05537 s	 300.00 mV
125	 30.0 mV	 -4.48818 nA	 3.06544 s	 300.00 mV
126	 60.0 mV	 5.13232 nA	 3.07488 s	 300.00 mV
127	 90.0 mV	 -5.16976 nA	 3.08441 s	 300.00 mV
128	 120.0 mV	 5.28342 nA	 3.09388 s	 300.00 mV
129	 150.0 mV	 -5.15738 nA	 3.10338 s	 300.00 mV
130	 180.0 mV	 5.34906 nA	 3.11384 s	 300.00 mV
131	 210.0 mV	 -4.98762 nA	 3.12341 s	 300.00 mV
132	 240.0 mV	 5.25972 nA	 3.13291 s	 300.00 mV
133	 270.0 mV	 -3.08814 nA	 3.14249 s	 300.00 mV
134	 300.0 mV	 8.09250 nA	 3.15180 s	 300.00 mV
135	 330.0 mV	 16.0030 nA	 3.19082 s	 300.00 mV
136	 360.0 mV	 36.3798 nA	 3.20734 s	 300.00 mV
137	 390.0 mV	 91.6309 nA	 3.22267 s	 300.00 mV
138	 420.0 mV	 242.850 nA	 3.25367 s	 300.00 mV
139	 450.0 mV	 506.660 nA	 3.26006 s	 300.00 mV
140	 480.0 mV	 999.480 nA	 3.26573 s	 300.00 mV
141	 510.0 mV	 1.77450 uA	 3.31397 s	 300.00 mV
142	 540.0 mV	 2.85840 uA	 3.32084 s	 300.00 mV
143	 570.0 mV	 4.42180 uA	 3.32743 s	 300.00 mV
144	 600.0 mV	 6.55610 uA	 3.33599 s	 300.00 mV
145	 630.0 mV	 9.36380 uA	 3.34365 s	 300.00 mV
146	 660.0 mV	 12.9020 uA	 3.38063 s	 300.00 mV
147	 690.0 mV	 17.3790 uA	 3.38725 s	 300.00 mV
148	 720.0 mV	 22.6510 uA	 3.39482 s	 300.00 mV
149	 750.0 mV	 28.6900 uA	 3.40044 s	 300.00 mV
150	 780.0 mV	 35.5750 uA	 3.40610 s	 300.00 mV
151	 810.0 mV	 43.2220 uA	 3.41172 s	 300.00 mV
152	 840.0 mV	 51.1040 uA	 3.41771 s	 300.00 mV
153	 870.0 mV	 59.8410 uA	 3.42438 s	 300.00 mV
154	 900.0 mV	 69.2080 uA	 3.43094 s	 300.00 mV
155	 930.0 mV	 78.6840 uA	 3.43739 s	 300.00 mV
156	 960.0 mV	 87.8370 uA	 3.44470 s	 300.00 mV
157	 990.0 mV	 97.5390 uA	 3.45137 s	 300.00 mV
158	 1.0200 V	 107.3230 uA	 3.45804 s	 300.00 mV
159	 1.0500 V	 117.140 uA	 3.48589 s	 300.00 mV
160	 1.0800 V	 126.840 uA	 3.49261 s	 300.00 mV
161	 1.1100 V	 136.350 uA	 3.49921 s	 300.00 mV
162	 1.1400 V	 145.880 uA	 3.50578 s	 300.00 mV
163	 1.1700 V	 155.170 uA	 3.51247 s	 300.00 mV
164	 1.2000 V	 164.200 uA	 3.51913 s	 300.00 mV
165	 0 V	 5.03942 nA	 3.83352 s	 400.00 mV
166	 30.0 mV	 -5.10050 nA	 3.84359 s	 400.00 mV
167	 60.0 mV	 4.76410 nA	 3.85316 s	 400.00 mV
168	 90.0 mV	 -4.50224 nA	 3.86265 s	 400.00 mV
169	 120.0 mV	 4.14718 nA	 3.87234 s	 400.00 mV
170	 150.0 mV	 -4.98034 nA	 3.88336 s	 400.00 mV
171	 180.0 mV	 4.62740 nA	 3.89292 s	 400.00 mV
172	 210.0 mV	 -4.25918 nA	 3.90250 s	 400.00 mV
173	 240.0 mV	 4.52216 nA	 3.91220 s	 400.00 mV
174	 270.0 mV	 -1.99900 nA	 3.92150 s	 400.00 mV
175	 300.0 mV	 4.98114 nA	 3.93000 s	 400.00 mV
176	 330.0 mV	 15.8778 nA	 3.96950 s	 400.00 mV
177	 360.0 mV	 34.2645 nA	 3.98383 s	 400.00 mV
178	 390.0 mV	 98.2311 nA	 3.99814 s	 400.00 mV
179	 420.0 mV	 245.820 nA	 4.02675 s	 400.00 mV
180	 450.0 mV	 552.770 nA	 4.03351 s	 400.00 mV
181	 480.0 mV	 1.045400 uA	 4.04019 s	 400.00 mV
182	 510.0 mV	 1.86130 uA	 4.08639 s	 400.00 mV
183	 540.0 mV	 3.05200 uA	 4.09402 s	 400.00 mV
184	 570.0 mV	 4.69310 uA	 4.10155 s	 400.00 mV
185	 600.0 mV	 6.95980 uA	 4.10915 s	 400.00 mV
186	 630.0 mV	 10.03390 uA	 4.11683 s	 400.00 mV
187	 660.0 mV	 13.9180 uA	 4.15377 s	 400.00 mV
188	 690.0 mV	 18.5650 uA	 4.16034 s	 400.00 mV
189	 720.0 mV	 24.2830 uA	 4.16679 s	 400.00 mV
190	 750.0 mV	 30.8430 uA	 4.17241 s	 400.00 mV
191	 780.0 mV	 38.2420 uA	 4.17803 s	 400.00 mV
192	 810.0 mV	 46.4060 uA	 4.18592 s	 400.00 mV
193	 840.0 mV	 55.2400 uA	 4.19250 s	 400.00 mV
194	 870.0 mV	 64.2820 uA	 4.19908 s	 400.00 mV
195	 900.0 mV	 74.6110 uA	 4.20577 s	 400.00 mV
196	 930.0 mV	 84.7710 uA	 4.21245 s	 400.00 mV
197	 960.0 mV	 95.1130 uA	 4.21910 s	 400.00 mV
198	 990.0 mV	 106.5260 uA	 4.22568 s	 400.00 mV
199	 1.0200 V	 117.150 uA	 4.25331 s	 400.00 mV
200	 1.0500 V	 128.230 uA	 4.25993 s	 400.00 mV
201	 1.0800 V	 139.520 uA	 4.26655 s	 400.00 mV
202	 1.1100 V	 150.700 uA	 4.27323 s	 400.00 mV
203	 1.1400 V	 161.830 uA	 4.27993 s	 400.00 mV
204	 1.1700 V	 172.970 uA	 4.28649 s	 400.00 mV
205	 1.2000 V	 183.940 uA	 4.29293 s	 400.00 mV
206	 0 V	 -4.55088 nA	 4.70308 s	 500.00 mV
207	 30.0 mV	 4.48606 nA	 4.71316 s	 500.00 mV
208	 60.0 mV	 -4.31174 nA	 4.72273 s	 500.00 mV
209	 90.0 mV	 5.03980 nA	 4.73390 s	 500.00 mV
210	 120.0 mV	 -4.82030 nA	 4.74338 s	 500.00 mV
211	 150.0 mV	 4.16884 nA	 4.75269 s	 500.00 mV
212	 180.0 mV	 -5.04846 nA	 4.76396 s	 500.00 mV
213	 210.0 mV	 5.04260 nA	 4.77356 s	 500.00 mV
214	 240.0 mV	 -3.99892 nA	 4.78304 s	 500.00 mV
215	 270.0 mV	 5.96292 nA	 4.79299 s	 500.00 mV
216	 300.0 mV	 129.88 pA	 4.80362 s	 500.00 mV
217	 330.0 mV	 10.8992 nA	 4.83933 s	 500.00 mV
218	 360.0 mV	 41.0568 nA	 4.85440 s	 500.00 mV
219	 390.0 mV	 101.120 nA	 4.88882 s	 500.00 mV
220	 420.0 mV	 267.540 nA	 4.89552 s	 500.00 mV
221	 450.0 mV	 559.070 nA	 4.90211 s	 500.00 mV
222	 480.0 mV	 1.106950 uA	 4.90867 s	 500.00 mV
223	 510.0 mV	 1.97040 uA	 4.95474 s	 500.00 mV
224	 540.0 mV	 3.21350 uA	 4.96228 s	 500.00 mV
225	 570.0 mV	 4.95540 uA	 4.96963 s	 500.00 mV
226	 600.0 mV	 7.40730 uA	 4.97739 s	 500.00 mV
227	 630.0 mV	 10.63190 uA	 4.98402 s	 500.00 mV
228	 660.0 mV	 14.6560 uA	 5.02197 s	 500.00 mV
229	 690.0 mV	 19.6500 uA	 5.02863 s	 500.00 mV
230	 720.0 mV	 25.6310 uA	 5.03534 s	 500.00 mV
231	 750.0 mV	 32.4260 uA	 5.04192 s	 500.00 mV
232	 780.0 mV	 40.1950 uA	 5.04864 s	 500.00 mV
233	 810.0 mV	 48.7280 uA	 5.05528 s	 500.00 mV
234	 840.0 mV	 57.8970 uA	 5.06199 s	 500.00 mV
235	 870.0 mV	 67.3420 uA	 5.06858 s	 500.00 mV
236	 900.0 mV	 78.1430 uA	 5.07501 s	 500.00 mV
237	 930.0 mV	 88.9380 uA	 5.08063 s	 500.00 mV
238	 960.0 mV	 99.7560 uA	 5.08787 s	 500.00 mV
239	 990.0 mV	 111.7210 uA	 5.09449 s	 500.00 mV
240	 1.0200 V	 122.860 uA	 5.12210 s	 500.00 mV
241	 1.0500 V	 134.840 uA	 5.12880 s	 500.00 mV
242	 1.0800 V	 146.860 uA	 5.13538 s	 500.00 mV
243	 1.1100 V	 158.890 uA	 5.14201 s	 500.00 mV
244	 1.1400 V	 171.100 uA	 5.14864 s	 500.00 mV
245	 1.1700 V	 183.250 uA	 5.15529 s	 500.00 mV
246	 1.2000 V	 195.280 uA	 5.16193 s	 500.00 mV
247	 0 V	 5.29166 nA	 5.53481 s	 600.0 mV
248	 30.0 mV	 -5.23568 nA	 5.54488 s	 600.0 mV
249	 60.0 mV	 5.12132 nA	 5.55432 s	 600.0 mV
