Index	Vg	Id	Time	Vd
1	 0 V	 500 pA	 59.42 ms	 0 V
2	 30.0 mV	 -14.640 nA	 93.29 ms	 0 V
3	 60.0 mV	 -11.1906 nA	 112.05 ms	 0 V
4	 90.0 mV	 -8.130 nA	 173.48 ms	 0 V
5	 120.0 mV	 -11.400 nA	 210.94 ms	 0 V
6	 150.0 mV	 -310.4 pA	 235.01 ms	 0 V
7	 180.0 mV	 2.760 nA	 267.59 ms	 0 V
8	 210.0 mV	 -3.330 nA	 299.65 ms	 0 V
9	 240.0 mV	 -8.730 nA	 350.22 ms	 0 V
10	 270.0 mV	 -11.790 nA	 392.89 ms	 0 V
11	 300.0 mV	 1.870 nA	 424.99 ms	 0 V
12	 330.0 mV	 -22.8973 nA	 439.70 ms	 0 V
13	 360.0 mV	 -30.1265 nA	 473.12 ms	 0 V
14	 390.0 mV	 -37.0708 nA	 488.39 ms	 0 V
15	 420.0 mV	 -50.7624 nA	 503.67 ms	 0 V
16	 450.0 mV	 -67.0222 nA	 518.91 ms	 0 V
17	 480.0 mV	 -104.1956 nA	 533.98 ms	 0 V
18	 510.0 mV	 -115.7432 nA	 549.28 ms	 0 V
19	 540.0 mV	 -117.1821 nA	 564.49 ms	 0 V
20	 570.0 mV	 495.790 nA	 595.65 ms	 0 V
21	 600.0 mV	 133.960 nA	 602.06 ms	 0 V
22	 630.0 mV	 -19.8492 nA	 619.08 ms	 0 V
23	 660.0 mV	 -7.9100 nA	 634.36 ms	 0 V
24	 690.0 mV	 53.8524 nA	 649.68 ms	 0 V
25	 720.0 mV	 113.2075 nA	 664.97 ms	 0 V
26	 750.0 mV	 1.149990 uA	 776.31 ms	 0 V
27	 780.0 mV	 1.038760 uA	 782.93 ms	 0 V
28	 810.0 mV	 944.020 nA	 789.32 ms	 0 V
29	 840.0 mV	 897.510 nA	 795.74 ms	 0 V
30	 870.0 mV	 868.760 nA	 801.41 ms	 0 V
31	 900.0 mV	 866.510 nA	 807.03 ms	 0 V
32	 930.0 mV	 864.760 nA	 814.17 ms	 0 V
33	 960.0 mV	 872.270 nA	 819.82 ms	 0 V
34	 990.0 mV	 898.350 nA	 826.96 ms	 0 V
35	 1.0200 V	 915.450 nA	 832.62 ms	 0 V
36	 1.0500 V	 935.560 nA	 838.24 ms	 0 V
37	 1.0800 V	 966.440 nA	 845.42 ms	 0 V
38	 1.1100 V	 990.270 nA	 851.08 ms	 0 V
39	 1.1400 V	 1.032160 uA	 859.27 ms	 0 V
40	 1.1700 V	 1.067930 uA	 866.05 ms	 0 V
41	 1.2000 V	 1.097110 uA	 872.73 ms	 0 V
42	 0 V	 -1.7895 nA	 975.15 ms	 100.00 mV
43	 30.0 mV	 218.78 pA	 1.01833 s	 100.00 mV
44	 60.0 mV	 860.60 pA	 1.02779 s	 100.00 mV
45	 90.0 mV	 -1.52220 nA	 1.03736 s	 100.00 mV
46	 120.0 mV	 3.22758 nA	 1.04688 s	 100.00 mV
47	 150.0 mV	 -2.61534 nA	 1.05643 s	 100.00 mV
48	 180.0 mV	 1.5466 nA	 1.08617 s	 100.00 mV
49	 210.0 mV	 15.3613 nA	 1.10150 s	 100.00 mV
50	 240.0 mV	 32.4286 nA	 1.11670 s	 100.00 mV
51	 270.0 mV	 89.2975 nA	 1.13201 s	 100.00 mV
52	 300.0 mV	 281.890 nA	 1.16161 s	 100.00 mV
53	 330.0 mV	 646.940 nA	 1.16823 s	 100.00 mV
54	 360.0 mV	 1.67300 uA	 1.21430 s	 100.00 mV
55	 390.0 mV	 3.58520 uA	 1.22190 s	 100.00 mV
56	 420.0 mV	 6.85330 uA	 1.22945 s	 100.00 mV
57	 450.0 mV	 12.9090 uA	 1.26637 s	 100.00 mV
58	 480.0 mV	 22.3800 uA	 1.27308 s	 100.00 mV
59	 510.0 mV	 36.4550 uA	 1.27965 s	 100.00 mV
60	 540.0 mV	 58.1490 uA	 1.28622 s	 100.00 mV
61	 570.0 mV	 88.2700 uA	 1.29265 s	 100.00 mV
62	 600.0 mV	 129.460 uA	 1.32129 s	 100.00 mV
63	 630.0 mV	 181.570 uA	 1.32790 s	 100.00 mV
64	 660.0 mV	 245.730 uA	 1.33429 s	 100.00 mV
65	 690.0 mV	 319.650 uA	 1.34017 s	 100.00 mV
66	 720.0 mV	 402.430 uA	 1.34772 s	 100.00 mV
67	 750.0 mV	 491.150 uA	 1.35433 s	 100.00 mV
68	 780.0 mV	 582.920 uA	 1.36102 s	 100.00 mV
69	 810.0 mV	 676.760 uA	 1.36758 s	 100.00 mV
70	 840.0 mV	 769.960 uA	 1.37401 s	 100.00 mV
71	 870.0 mV	 861.680 uA	 1.38101 s	 100.00 mV
72	 900.0 mV	 951.730 uA	 1.38770 s	 100.00 mV
73	 930.0 mV	 1.038250 mA	 1.39431 s	 100.00 mV
74	 960.0 mV	 1.121410 mA	 1.40089 s	 100.00 mV
75	 990.0 mV	 1.20090 mA	 1.41968 s	 100.00 mV
76	 1.0200 V	 1.27630 mA	 1.42624 s	 100.00 mV
77	 1.0500 V	 1.34820 mA	 1.43284 s	 100.00 mV
78	 1.0800 V	 1.41670 mA	 1.43940 s	 100.00 mV
79	 1.1100 V	 1.48060 mA	 1.44591 s	 100.00 mV
80	 1.1400 V	 1.54170 mA	 1.45247 s	 100.00 mV
81	 1.1700 V	 1.59910 mA	 1.45909 s	 100.00 mV
82	 1.2000 V	 1.65310 mA	 1.46566 s	 100.00 mV
83	 0 V	 1.82594 nA	 1.77937 s	 200.00 mV
84	 30.0 mV	 -2.10974 nA	 1.78953 s	 200.00 mV
85	 60.0 mV	 -664.52 pA	 1.79804 s	 200.00 mV
86	 90.0 mV	 1.48308 nA	 1.80788 s	 200.00 mV
87	 120.0 mV	 -3.63230 nA	 1.81638 s	 200.00 mV
88	 150.0 mV	 7.66792 nA	 1.82492 s	 200.00 mV
89	 180.0 mV	 -2.38524 nA	 1.83362 s	 200.00 mV
90	 210.0 mV	 8.1605 nA	 1.86969 s	 200.00 mV
91	 240.0 mV	 37.5869 nA	 1.88502 s	 200.00 mV
92	 270.0 mV	 98.250 nA	 1.91885 s	 200.00 mV
93	 300.0 mV	 333.370 nA	 1.92550 s	 200.00 mV
94	 330.0 mV	 835.640 nA	 1.93211 s	 200.00 mV
95	 360.0 mV	 1.89320 uA	 1.97832 s	 200.00 mV
96	 390.0 mV	 4.32070 uA	 1.98585 s	 200.00 mV
97	 420.0 mV	 8.64060 uA	 1.99463 s	 200.00 mV
98	 450.0 mV	 16.0630 uA	 2.03158 s	 200.00 mV
99	 480.0 mV	 27.9750 uA	 2.03828 s	 200.00 mV
100	 510.0 mV	 47.3440 uA	 2.04489 s	 200.00 mV
101	 540.0 mV	 75.9310 uA	 2.05158 s	 200.00 mV
102	 570.0 mV	 116.370 uA	 2.07964 s	 200.00 mV
103	 600.0 mV	 173.240 uA	 2.08626 s	 200.00 mV
104	 630.0 mV	 247.170 uA	 2.09288 s	 200.00 mV
105	 660.0 mV	 338.660 uA	 2.10022 s	 200.00 mV
106	 690.0 mV	 447.780 uA	 2.10693 s	 200.00 mV
107	 720.0 mV	 574.300 uA	 2.11336 s	 200.00 mV
108	 750.0 mV	 713.040 uA	 2.12039 s	 200.00 mV
109	 780.0 mV	 863.110 uA	 2.12605 s	 200.00 mV
110	 810.0 mV	 1.020570 mA	 2.13284 s	 200.00 mV
111	 840.0 mV	 1.18230 mA	 2.15168 s	 200.00 mV
112	 870.0 mV	 1.34690 mA	 2.15829 s	 200.00 mV
113	 900.0 mV	 1.51070 mA	 2.16484 s	 200.00 mV
114	 930.0 mV	 1.67320 mA	 2.17153 s	 200.00 mV
115	 960.0 mV	 1.83260 mA	 2.17817 s	 200.00 mV
116	 990.0 mV	 1.98750 mA	 2.18468 s	 200.00 mV
117	 1.0200 V	 2.13840 mA	 2.19127 s	 200.00 mV
118	 1.0500 V	 2.28440 mA	 2.19787 s	 200.00 mV
119	 1.0800 V	 2.42350 mA	 2.20450 s	 200.00 mV
120	 1.1100 V	 2.55770 mA	 2.21110 s	 200.00 mV
121	 1.1400 V	 2.68610 mA	 2.21761 s	 200.00 mV
122	 1.1700 V	 2.80850 mA	 2.22418 s	 200.00 mV
123	 1.2000 V	 2.92490 mA	 2.23054 s	 200.00 mV
124	 0 V	 -4.0997 nA	 2.64909 s	 300.00 mV
125	 30.0 mV	 -6.10132 nA	 2.69226 s	 300.00 mV
126	 60.0 mV	 5.64572 nA	 2.70181 s	 300.00 mV
127	 90.0 mV	 -6.36202 nA	 2.71291 s	 300.00 mV
128	 120.0 mV	 6.76244 nA	 2.72241 s	 300.00 mV
129	 150.0 mV	 -3.51842 nA	 2.73216 s	 300.00 mV
130	 180.0 mV	 4.1374 nA	 2.76628 s	 300.00 mV
131	 210.0 mV	 19.2312 nA	 2.78162 s	 300.00 mV
132	 240.0 mV	 47.1143 nA	 2.79823 s	 300.00 mV
133	 270.0 mV	 119.200 nA	 2.82849 s	 300.00 mV
134	 300.0 mV	 363.950 nA	 2.83506 s	 300.00 mV
135	 330.0 mV	 942.590 nA	 2.84165 s	 300.00 mV
136	 360.0 mV	 2.14160 uA	 2.88955 s	 300.00 mV
137	 390.0 mV	 4.85030 uA	 2.89712 s	 300.00 mV
138	 420.0 mV	 9.79790 uA	 2.90476 s	 300.00 mV
139	 450.0 mV	 17.8990 uA	 2.94098 s	 300.00 mV
140	 480.0 mV	 31.9570 uA	 2.94764 s	 300.00 mV
141	 510.0 mV	 53.8400 uA	 2.95433 s	 300.00 mV
142	 540.0 mV	 85.3970 uA	 2.96099 s	 300.00 mV
143	 570.0 mV	 131.500 uA	 2.98869 s	 300.00 mV
144	 600.0 mV	 196.150 uA	 2.99538 s	 300.00 mV
145	 630.0 mV	 279.510 uA	 3.00204 s	 300.00 mV
146	 660.0 mV	 383.430 uA	 3.00865 s	 300.00 mV
147	 690.0 mV	 509.170 uA	 3.01508 s	 300.00 mV
148	 720.0 mV	 653.070 uA	 3.02074 s	 300.00 mV
149	 750.0 mV	 815.240 uA	 3.02797 s	 300.00 mV
150	 780.0 mV	 993.790 uA	 3.03455 s	 300.00 mV
151	 810.0 mV	 1.18250 mA	 3.05352 s	 300.00 mV
152	 840.0 mV	 1.38020 mA	 3.06145 s	 300.00 mV
153	 870.0 mV	 1.58560 mA	 3.06781 s	 300.00 mV
154	 900.0 mV	 1.79530 mA	 3.07420 s	 300.00 mV
155	 930.0 mV	 2.00650 mA	 3.08134 s	 300.00 mV
156	 960.0 mV	 2.21670 mA	 3.08794 s	 300.00 mV
157	 990.0 mV	 2.42730 mA	 3.09449 s	 300.00 mV
158	 1.0200 V	 2.63500 mA	 3.10108 s	 300.00 mV
159	 1.0500 V	 2.83920 mA	 3.10767 s	 300.00 mV
160	 1.0800 V	 3.03760 mA	 3.11421 s	 300.00 mV
161	 1.1100 V	 3.23070 mA	 3.12205 s	 300.00 mV
162	 1.1400 V	 3.41990 mA	 3.12845 s	 300.00 mV
163	 1.1700 V	 3.60180 mA	 3.13505 s	 300.00 mV
164	 1.2000 V	 3.77760 mA	 3.14061 s	 300.00 mV
165	 0 V	 6.54696 nA	 3.48297 s	 400.00 mV
166	 30.0 mV	 -6.35370 nA	 3.49301 s	 400.00 mV
167	 60.0 mV	 6.46326 nA	 3.50255 s	 400.00 mV
168	 90.0 mV	 -5.76562 nA	 3.51230 s	 400.00 mV
169	 120.0 mV	 6.37974 nA	 3.52215 s	 400.00 mV
170	 150.0 mV	 -3.60630 nA	 3.53170 s	 400.00 mV
171	 180.0 mV	 5.5676 nA	 3.56594 s	 400.00 mV
172	 210.0 mV	 21.1570 nA	 3.58159 s	 400.00 mV
173	 240.0 mV	 50.9820 nA	 3.59681 s	 400.00 mV
174	 270.0 mV	 147.000 nA	 3.62807 s	 400.00 mV
175	 300.0 mV	 422.950 nA	 3.63463 s	 400.00 mV
176	 330.0 mV	 1.007140 uA	 3.64120 s	 400.00 mV
