Index	Vg	Id	Time	Vd
1	 0 V	T -3.00080 mA	 5.88 ms	 0 V
2	 30.0 mV	 -2.96300 mA	 11.89 ms	 0 V
3	 60.0 mV	 -2.78840 mA	 17.96 ms	 0 V
4	 90.0 mV	 -2.61480 mA	 24.04 ms	 0 V
5	 120.0 mV	 -2.44500 mA	 30.14 ms	 0 V
6	 150.0 mV	 -2.27660 mA	 36.16 ms	 0 V
7	 180.0 mV	 -2.10920 mA	 42.05 ms	 0 V
8	 210.0 mV	 -1.94640 mA	 48.47 ms	 0 V
9	 240.0 mV	 -1.78520 mA	 54.52 ms	 0 V
10	 270.0 mV	 -1.62640 mA	 61.17 ms	 0 V
11	 300.0 mV	 -1.47420 mA	 66.69 ms	 0 V
12	 330.0 mV	 -1.32340 mA	 72.79 ms	 0 V
13	 360.0 mV	 -1.18040 mA	 78.96 ms	 0 V
14	 390.0 mV	 -1.04060 mA	 84.99 ms	 0 V
15	 420.0 mV	 -906.580 uA	 97.91 ms	 0 V
16	 450.0 mV	 -779.860 uA	 104.05 ms	 0 V
17	 480.0 mV	 -658.820 uA	 111.22 ms	 0 V
18	 510.0 mV	 -548.740 uA	 117.37 ms	 0 V
19	 540.0 mV	 -445.680 uA	 123.51 ms	 0 V
20	 570.0 mV	 -354.240 uA	 129.47 ms	 0 V
21	 600.0 mV	 -272.700 uA	 134.63 ms	 0 V
22	 630.0 mV	 -202.440 uA	 140.86 ms	 0 V
23	 660.0 mV	 -145.520 uA	 146.94 ms	 0 V
24	 690.0 mV	 -99.5360 uA	 160.15 ms	 0 V
25	 720.0 mV	 -65.2520 uA	 166.38 ms	 0 V
26	 750.0 mV	 -39.9880 uA	 172.62 ms	 0 V
27	 780.0 mV	 -23.6680 uA	 178.75 ms	 0 V
28	 810.0 mV	 -13.0860 uA	 184.90 ms	 0 V
29	 840.0 mV	 -6.77720 uA	 197.49 ms	 0 V
30	 870.0 mV	 -3.32570 uA	 204.16 ms	 0 V
31	 900.0 mV	 -1.40970 uA	 210.79 ms	 0 V
32	 930.0 mV	 -641.400 nA	 226.80 ms	 0 V
33	 960.0 mV	X -356.020 nA	 236.66 ms	 0 V
34	 990.0 mV	 -121.180 nA	 271.77 ms	 0 V
35	 1.0200 V	 -48.500 nA	 298.58 ms	 0 V
36	 1.0500 V	 -23.340 nA	 325.42 ms	 0 V
37	 1.0800 V	 -7.340 nA	 353.54 ms	 0 V
38	 1.1100 V	 -10.440 nA	 400.25 ms	 0 V
39	 1.1400 V	 -9.4312 nA	 417.07 ms	 0 V
40	 1.1700 V	 -1.580 nA	 441.85 ms	 0 V
41	 1.2000 V	 -3.120 nA	 480.79 ms	 0 V
42	 0 V	T -3.00080 mA	 902.56 ms	 100.00 mV
43	 30.0 mV	 -2.89280 mA	 909.18 ms	 100.00 mV
44	 60.0 mV	 -2.72060 mA	 915.31 ms	 100.00 mV
45	 90.0 mV	 -2.55100 mA	 921.46 ms	 100.00 mV
46	 120.0 mV	 -2.38420 mA	 927.52 ms	 100.00 mV
47	 150.0 mV	 -2.21720 mA	 933.72 ms	 100.00 mV
48	 180.0 mV	 -2.05500 mA	 939.86 ms	 100.00 mV
49	 210.0 mV	 -1.89440 mA	 945.88 ms	 100.00 mV
50	 240.0 mV	 -1.73680 mA	 952.02 ms	 100.00 mV
51	 270.0 mV	 -1.58280 mA	 958.14 ms	 100.00 mV
52	 300.0 mV	 -1.43320 mA	 964.23 ms	 100.00 mV
53	 330.0 mV	 -1.28580 mA	 970.13 ms	 100.00 mV
54	 360.0 mV	 -1.14440 mA	 975.51 ms	 100.00 mV
55	 390.0 mV	 -1.00680 mA	 981.53 ms	 100.00 mV
56	 420.0 mV	 -877.740 uA	 994.14 ms	 100.00 mV
57	 450.0 mV	 -753.940 uA	 999.47 ms	 100.00 mV
58	 480.0 mV	 -637.320 uA	 1.00604 s	 100.00 mV
59	 510.0 mV	 -527.820 uA	 1.01120 s	 100.00 mV
60	 540.0 mV	 -429.240 uA	 1.01769 s	 100.00 mV
61	 570.0 mV	 -339.280 uA	 1.02287 s	 100.00 mV
62	 600.0 mV	 -261.120 uA	 1.02805 s	 100.00 mV
63	 630.0 mV	 -193.280 uA	 1.03385 s	 100.00 mV
64	 660.0 mV	 -138.280 uA	 1.03903 s	 100.00 mV
65	 690.0 mV	 -94.1660 uA	 1.05117 s	 100.00 mV
66	 720.0 mV	 -61.5200 uA	 1.05636 s	 100.00 mV
67	 750.0 mV	 -37.3740 uA	 1.06174 s	 100.00 mV
68	 780.0 mV	 -22.0240 uA	 1.06820 s	 100.00 mV
69	 810.0 mV	 -11.7720 uA	 1.07338 s	 100.00 mV
70	 840.0 mV	 -6.21660 uA	 1.08575 s	 100.00 mV
71	 870.0 mV	 -2.83710 uA	 1.09139 s	 100.00 mV
72	 900.0 mV	 -1.37180 uA	 1.09818 s	 100.00 mV
73	 930.0 mV	 -541.180 nA	 1.11376 s	 100.00 mV
74	 960.0 mV	 -263.940 nA	 1.11895 s	 100.00 mV
75	 990.0 mV	 -81.70 nA	 1.16361 s	 100.00 mV
76	 1.0200 V	 -31.0732 nA	 1.18714 s	 100.00 mV
77	 1.0500 V	 -19.4562 nA	 1.19755 s	 100.00 mV
78	 1.0800 V	 -11.5392 nA	 1.21237 s	 100.00 mV
79	 1.1100 V	 1.02120 nA	 1.25031 s	 100.00 mV
80	 1.1400 V	 -6.0992 nA	 1.29690 s	 100.00 mV
81	 1.1700 V	 -6.2560 nA	 1.35492 s	 100.00 mV
82	 1.2000 V	 -1.39100 nA	 1.39282 s	 100.00 mV
83	 0 V	 -3.00000 mA	 1.45729 s	 200.00 mV
84	 30.0 mV	 -2.82920 mA	 1.46391 s	 200.00 mV
85	 60.0 mV	 -2.66520 mA	 1.47002 s	 200.00 mV
86	 90.0 mV	 -2.49900 mA	 1.47614 s	 200.00 mV
87	 120.0 mV	 -2.33360 mA	 1.48229 s	 200.00 mV
88	 150.0 mV	 -2.17300 mA	 1.48844 s	 200.00 mV
89	 180.0 mV	 -2.01280 mA	 1.49447 s	 200.00 mV
90	 210.0 mV	 -1.85480 mA	 1.50061 s	 200.00 mV
91	 240.0 mV	 -1.70080 mA	 1.50675 s	 200.00 mV
92	 270.0 mV	 -1.54880 mA	 1.51283 s	 200.00 mV
93	 300.0 mV	 -1.40160 mA	 1.51934 s	 200.00 mV
94	 330.0 mV	 -1.25720 mA	 1.52528 s	 200.00 mV
95	 360.0 mV	 -1.11720 mA	 1.53139 s	 200.00 mV
96	 390.0 mV	 -983.240 uA	 1.54434 s	 200.00 mV
97	 420.0 mV	 -856.300 uA	 1.55055 s	 200.00 mV
98	 450.0 mV	 -734.560 uA	 1.55671 s	 200.00 mV
99	 480.0 mV	 -619.680 uA	 1.56290 s	 200.00 mV
