Index	Vg	Id	Time	Vd
1	 0 V	 1.77884 nA	 65.51 ms	 0 V
2	 30.0 mV	 -6.400 nA	 133.90 ms	 0 V
3	 60.0 mV	 -5.2360 nA	 153.98 ms	 0 V
4	 90.0 mV	 -12.760 nA	 194.96 ms	 0 V
5	 120.0 mV	 -2.690 nA	 235.13 ms	 0 V
6	 150.0 mV	 -1.98050 nA	 278.39 ms	 0 V
7	 180.0 mV	 2.50082 nA	 287.92 ms	 0 V
8	 210.0 mV	 -2.350 nA	 339.84 ms	 0 V
9	 240.0 mV	 -350 pA	 441.98 ms	 0 V
10	 270.0 mV	 -3.200 nA	 496.90 ms	 0 V
11	 300.0 mV	 -5.3745 nA	 514.35 ms	 0 V
12	 330.0 mV	 1.680 nA	 545.23 ms	 0 V
13	 360.0 mV	 -3.1630 nA	 559.88 ms	 0 V
14	 390.0 mV	 -3.730 nA	 594.70 ms	 0 V
15	 420.0 mV	 -2.410 nA	 631.75 ms	 0 V
16	 450.0 mV	 -11.6030 nA	 650.55 ms	 0 V
17	 480.0 mV	 -20.800 nA	 683.16 ms	 0 V
18	 510.0 mV	 -33.100 nA	 715.25 ms	 0 V
19	 540.0 mV	 -34.930 nA	 747.31 ms	 0 V
20	 570.0 mV	 -46.1497 nA	 762.05 ms	 0 V
21	 600.0 mV	 -68.6576 nA	 777.33 ms	 0 V
22	 630.0 mV	 -82.4871 nA	 792.53 ms	 0 V
23	 660.0 mV	 -95.4428 nA	 807.75 ms	 0 V
24	 690.0 mV	 -109.5439 nA	 822.98 ms	 0 V
25	 720.0 mV	 51.290 nA	 850.78 ms	 0 V
26	 750.0 mV	 -137.780 nA	 857.36 ms	 0 V
27	 780.0 mV	 -132.060 nA	 864.00 ms	 0 V
28	 810.0 mV	 -141.500 nA	 870.56 ms	 0 V
29	 840.0 mV	 -148.140 nA	 876.97 ms	 0 V
30	 870.0 mV	 -137.510 nA	 882.59 ms	 0 V
31	 900.0 mV	 -144.020 nA	 888.36 ms	 0 V
32	 930.0 mV	 -145.250 nA	 897.09 ms	 0 V
33	 960.0 mV	 -126.580 nA	 903.68 ms	 0 V
34	 990.0 mV	 -132.400 nA	 910.08 ms	 0 V
35	 1.0200 V	 -118.860 nA	 916.27 ms	 0 V
36	 1.0500 V	 -124.240 nA	 922.84 ms	 0 V
37	 1.0800 V	 -109.620 nA	 929.43 ms	 0 V
38	 1.1100 V	 -98.0843 nA	 945.19 ms	 0 V
39	 1.1400 V	 -87.5530 nA	 960.24 ms	 0 V
