Index	Vg	Id	Time	Vd
1	 0 V	 -7.8383 nA	 94.14 ms	 0 V
2	 30.0 mV	 4.180 nA	 126.59 ms	 0 V
3	 60.0 mV	 5.590 nA	 168.01 ms	 0 V
4	 90.0 mV	 -1.2750 nA	 198.95 ms	 0 V
5	 120.0 mV	 -570.0 pA	 219.83 ms	 0 V
6	 150.0 mV	 3.1249 nA	 282.83 ms	 0 V
7	 180.0 mV	 911.2 pA	 301.07 ms	 0 V
8	 210.0 mV	 869.5 pA	 320.69 ms	 0 V
9	 240.0 mV	 -5.220 nA	 380.37 ms	 0 V
10	 270.0 mV	 -3.6303 nA	 410.91 ms	 0 V
11	 300.0 mV	 -4.8283 nA	 475.19 ms	 0 V
12	 330.0 mV	 452.6 pA	 501.53 ms	 0 V
13	 360.0 mV	 -8.5409 nA	 538.48 ms	 0 V
14	 390.0 mV	 -10.930 nA	 574.03 ms	 0 V
15	 420.0 mV	 -37.940 nA	 606.23 ms	 0 V
16	 450.0 mV	 -81.850 nA	 638.31 ms	 0 V
17	 480.0 mV	 -113.120 nA	 668.24 ms	 0 V
18	 510.0 mV	 -157.030 nA	 674.93 ms	 0 V
19	 540.0 mV	 -209.240 nA	 681.59 ms	 0 V
20	 570.0 mV	 -255.760 nA	 688.22 ms	 0 V
21	 600.0 mV	 -324.560 nA	 694.80 ms	 0 V
22	 630.0 mV	 -511.600 nA	 701.39 ms	 0 V
23	 660.0 mV	 -599.660 nA	 707.85 ms	 0 V
24	 690.0 mV	 -685.660 nA	 714.49 ms	 0 V
25	 720.0 mV	 -801.140 nA	 721.59 ms	 0 V
26	 750.0 mV	 -800.840 nA	 727.21 ms	 0 V
27	 780.0 mV	 -804.150 nA	 734.05 ms	 0 V
28	 810.0 mV	 -795.520 nA	 739.70 ms	 0 V
29	 840.0 mV	 -751.380 nA	 745.50 ms	 0 V
30	 870.0 mV	 -726.310 nA	 751.81 ms	 0 V
31	 900.0 mV	 -659.540 nA	 757.46 ms	 0 V
32	 930.0 mV	 -609.610 nA	 763.73 ms	 0 V
33	 960.0 mV	 -553.370 nA	 769.34 ms	 0 V
34	 990.0 mV	 -489.270 nA	 774.97 ms	 0 V
35	 1.0200 V	 -428.270 nA	 782.22 ms	 0 V
36	 1.0500 V	 -369.570 nA	 787.87 ms	 0 V
37	 1.0800 V	 -297.430 nA	 794.87 ms	 0 V
38	 1.1100 V	 -246.910 nA	 800.49 ms	 0 V
39	 1.1400 V	 -193.600 nA	 806.12 ms	 0 V
40	 1.1700 V	 -131.860 nA	 813.44 ms	 0 V
41	 1.2000 V	 22.2479 nA	 828.48 ms	 0 V
42	 0 V	 -5.66056 nA	 978.04 ms	 100.00 mV
43	 30.0 mV	 30.90 pA	 993.01 ms	 100.00 mV
44	 60.0 mV	 -518.98 pA	 1.00246 s	 100.00 mV
