Index	Vg	Id	Time	Vd
1	 0 V	 148.7 pA	 41.95 ms	 0 V
2	 30.0 mV	 -6.220 nA	 131.84 ms	 0 V
3	 60.0 mV	 -6.270 nA	 173.51 ms	 0 V
4	 90.0 mV	 -5.580 nA	 214.98 ms	 0 V
5	 120.0 mV	 -1.26766 nA	 266.80 ms	 0 V
6	 150.0 mV	 -5.68202 nA	 329.70 ms	 0 V
7	 180.0 mV	 -480 pA	 387.61 ms	 0 V
8	 210.0 mV	 -5.42364 nA	 429.46 ms	 0 V
9	 240.0 mV	 -5.820 nA	 492.11 ms	 0 V
10	 270.0 mV	 -3.7855 nA	 510.87 ms	 0 V
11	 300.0 mV	 -2.9946 nA	 551.06 ms	 0 V
12	 330.0 mV	 -3.4502 nA	 570.67 ms	 0 V
13	 360.0 mV	 -4.57740 nA	 613.40 ms	 0 V
14	 390.0 mV	 5.830 nA	 661.45 ms	 0 V
15	 420.0 mV	 2.460 nA	 699.67 ms	 0 V
16	 450.0 mV	 980 pA	 739.22 ms	 0 V
17	 480.0 mV	 -8.3869 nA	 771.66 ms	 0 V
18	 510.0 mV	 -6.710 nA	 807.21 ms	 0 V
19	 540.0 mV	 -11.180 nA	 839.51 ms	 0 V
20	 570.0 mV	 -19.1581 nA	 855.16 ms	 0 V
21	 600.0 mV	 -34.9340 nA	 870.51 ms	 0 V
22	 630.0 mV	 -39.3096 nA	 885.81 ms	 0 V
23	 660.0 mV	 -32.5585 nA	 901.15 ms	 0 V
24	 690.0 mV	 -41.1336 nA	 916.42 ms	 0 V
25	 720.0 mV	 -49.7731 nA	 931.76 ms	 0 V
26	 750.0 mV	 -50.0419 nA	 947.07 ms	 0 V
27	 780.0 mV	 -40.510 nA	 979.69 ms	 0 V
28	 810.0 mV	 -44.9031 nA	 994.39 ms	 0 V
29	 840.0 mV	 -49.3797 nA	 1.00947 s	 0 V
30	 870.0 mV	 -45.0094 nA	 1.02377 s	 0 V
31	 900.0 mV	 -43.2552 nA	 1.03804 s	 0 V
32	 930.0 mV	 -49.4110 nA	 1.05333 s	 0 V
33	 960.0 mV	 -46.1432 nA	 1.06868 s	 0 V
34	 990.0 mV	 -39.1571 nA	 1.08395 s	 0 V
35	 1.0200 V	 -33.8848 nA	 1.09919 s	 0 V
36	 1.0500 V	 -31.7273 nA	 1.11446 s	 0 V
37	 1.0800 V	 -35.9215 nA	 1.12974 s	 0 V
38	 1.1100 V	 -28.2153 nA	 1.14503 s	 0 V
39	 1.1400 V	 -24.8308 nA	 1.16037 s	 0 V
40	 1.1700 V	 -20.6523 nA	 1.17557 s	 0 V
41	 1.2000 V	 -25.7069 nA	 1.19063 s	 0 V
42	 0 V	 3.2508 nA	 1.45646 s	 100.00 mV
43	 30.0 mV	 5.15906 nA	 1.49968 s	 100.00 mV
44	 60.0 mV	 -763.70 pA	 1.51584 s	 100.00 mV
45	 90.0 mV	 2.05736 nA	 1.52535 s	 100.00 mV
46	 120.0 mV	 -3.60876 nA	 1.58842 s	 100.00 mV
47	 150.0 mV	 -1.2528 nA	 1.63245 s	 100.00 mV
48	 180.0 mV	 -2.52416 nA	 1.67558 s	 100.00 mV
49	 210.0 mV	 5.39244 nA	 1.74015 s	 100.00 mV
50	 240.0 mV	 -5.22314 nA	 1.74959 s	 100.00 mV
51	 270.0 mV	 5.73516 nA	 1.76069 s	 100.00 mV
52	 300.0 mV	 -5.63154 nA	 1.77024 s	 100.00 mV
53	 330.0 mV	 2.26094 nA	 1.78472 s	 100.00 mV
54	 360.0 mV	 -3.69984 nA	 1.79426 s	 100.00 mV
55	 390.0 mV	 5.28690 nA	 1.80380 s	 100.00 mV
56	 420.0 mV	 -1.48544 nA	 1.81326 s	 100.00 mV
57	 450.0 mV	 8.1925 nA	 1.84895 s	 100.00 mV
58	 480.0 mV	 52.6224 nA	 1.86398 s	 100.00 mV
59	 510.0 mV	 182.260 nA	 1.89258 s	 100.00 mV
60	 540.0 mV	 479.820 nA	 1.89826 s	 100.00 mV
61	 570.0 mV	 1.056770 uA	 1.90554 s	 100.00 mV
62	 600.0 mV	 1.92040 uA	 1.95120 s	 100.00 mV
63	 630.0 mV	 3.11390 uA	 1.95888 s	 100.00 mV
64	 660.0 mV	 4.67710 uA	 1.96651 s	 100.00 mV
65	 690.0 mV	 6.63690 uA	 1.97408 s	 100.00 mV
66	 720.0 mV	 8.92300 uA	 1.98164 s	 100.00 mV
67	 750.0 mV	 11.43020 uA	 1.98929 s	 100.00 mV
68	 780.0 mV	 14.1990 uA	 2.02616 s	 100.00 mV
69	 810.0 mV	 17.1170 uA	 2.03286 s	 100.00 mV
70	 840.0 mV	 20.0560 uA	 2.03954 s	 100.00 mV
71	 870.0 mV	 23.0950 uA	 2.04618 s	 100.00 mV
72	 900.0 mV	 26.1680 uA	 2.05284 s	 100.00 mV
73	 930.0 mV	 29.2270 uA	 2.05945 s	 100.00 mV
74	 960.0 mV	 32.2300 uA	 2.06588 s	 100.00 mV
75	 990.0 mV	 35.1540 uA	 2.07154 s	 100.00 mV
76	 1.0200 V	 37.9960 uA	 2.07882 s	 100.00 mV
77	 1.0500 V	 40.7620 uA	 2.08447 s	 100.00 mV
78	 1.0800 V	 43.4090 uA	 2.09148 s	 100.00 mV
79	 1.1100 V	 45.9580 uA	 2.09714 s	 100.00 mV
80	 1.1400 V	 48.4350 uA	 2.10280 s	 100.00 mV
81	 1.1700 V	 50.7720 uA	 2.11004 s	 100.00 mV
