Index	Vg	Id	Time	Vd
1	 0 V	T -3.00060 mA	 5.94 ms	 0 V
2	 30.0 mV	T -3.00060 mA	 11.89 ms	 0 V
3	 60.0 mV	 -2.91460 mA	 17.99 ms	 0 V
4	 90.0 mV	 -2.71920 mA	 24.13 ms	 0 V
5	 120.0 mV	 -2.52560 mA	 30.24 ms	 0 V
6	 150.0 mV	 -2.33420 mA	 36.35 ms	 0 V
7	 180.0 mV	 -2.14480 mA	 42.49 ms	 0 V
8	 210.0 mV	 -1.95940 mA	 48.50 ms	 0 V
9	 240.0 mV	 -1.77580 mA	 54.67 ms	 0 V
10	 270.0 mV	 -1.59540 mA	 60.81 ms	 0 V
11	 300.0 mV	 -1.42140 mA	 66.83 ms	 0 V
12	 330.0 mV	 -1.24980 mA	 72.73 ms	 0 V
13	 360.0 mV	 -1.08580 mA	 77.84 ms	 0 V
14	 390.0 mV	 -925.740 uA	 90.22 ms	 0 V
15	 420.0 mV	 -776.220 uA	 96.44 ms	 0 V
16	 450.0 mV	 -633.860 uA	 102.57 ms	 0 V
17	 480.0 mV	 -503.080 uA	 109.56 ms	 0 V
18	 510.0 mV	 -385.940 uA	 115.70 ms	 0 V
19	 540.0 mV	 -281.860 uA	 121.92 ms	 0 V
20	 570.0 mV	 -196.560 uA	 128.13 ms	 0 V
21	 600.0 mV	 -128.580 uA	 134.33 ms	 0 V
22	 630.0 mV	 -78.6980 uA	 147.03 ms	 0 V
23	 660.0 mV	 -44.8080 uA	 153.16 ms	 0 V
24	 690.0 mV	 -23.5480 uA	 159.26 ms	 0 V
25	 720.0 mV	 -12.4460 uA	 165.43 ms	 0 V
26	 750.0 mV	 -5.96850 uA	 177.86 ms	 0 V
27	 780.0 mV	 -2.70540 uA	 184.52 ms	 0 V
28	 810.0 mV	 -916.400 nA	 200.71 ms	 0 V
29	 840.0 mV	 -346.620 nA	 206.94 ms	 0 V
30	 870.0 mV	 -71.640 nA	 239.25 ms	 0 V
31	 900.0 mV	 -58.00 nA	 274.43 ms	 0 V
32	 930.0 mV	 -6.1070 nA	 297.83 ms	 0 V
33	 960.0 mV	 -3.5912 nA	 356.52 ms	 0 V
34	 990.0 mV	 1.2586 nA	 367.29 ms	 0 V
35	 1.0200 V	 -1.0296 nA	 377.73 ms	 0 V
36	 1.0500 V	 -3.07930 nA	 415.10 ms	 0 V
37	 1.0800 V	 2.40600 nA	 422.68 ms	 0 V
38	 1.1100 V	 2.2430 nA	 465.90 ms	 0 V
39	 1.1400 V	 -242.50 pA	 500.01 ms	 0 V
40	 1.1700 V	 -3.4544 nA	 534.00 ms	 0 V
41	 1.2000 V	 402.50 pA	 569.61 ms	 0 V
42	 0 V	T -3.00080 mA	 739.86 ms	 100.00 mV
43	 30.0 mV	T -3.00060 mA	 746.52 ms	 100.00 mV
44	 60.0 mV	 -2.84820 mA	 752.67 ms	 100.00 mV
45	 90.0 mV	 -2.65780 mA	 758.70 ms	 100.00 mV
46	 120.0 mV	 -2.46920 mA	 764.85 ms	 100.00 mV
47	 150.0 mV	 -2.27960 mA	 770.98 ms	 100.00 mV
48	 180.0 mV	 -2.09420 mA	 777.08 ms	 100.00 mV
49	 210.0 mV	 -1.91160 mA	 783.15 ms	 100.00 mV
50	 240.0 mV	 -1.72940 mA	 789.29 ms	 100.00 mV
51	 270.0 mV	 -1.55400 mA	 795.35 ms	 100.00 mV
52	 300.0 mV	 -1.38040 mA	 801.23 ms	 100.00 mV
53	 330.0 mV	 -1.21480 mA	 807.86 ms	 100.00 mV
54	 360.0 mV	 -1.05280 mA	 814.34 ms	 100.00 mV
55	 390.0 mV	 -897.780 uA	 827.16 ms	 100.00 mV
56	 420.0 mV	 -749.860 uA	 833.29 ms	 100.00 mV
57	 450.0 mV	 -609.660 uA	 839.23 ms	 100.00 mV
58	 480.0 mV	 -483.760 uA	 844.38 ms	 100.00 mV
59	 510.0 mV	 -367.280 uA	 849.76 ms	 100.00 mV
60	 540.0 mV	 -268.720 uA	 855.19 ms	 100.00 mV
61	 570.0 mV	 -184.700 uA	 861.40 ms	 100.00 mV
62	 600.0 mV	 -120.580 uA	 867.47 ms	 100.00 mV
63	 630.0 mV	 -72.3380 uA	 880.01 ms	 100.00 mV
64	 660.0 mV	 -41.7400 uA	 886.29 ms	 100.00 mV
65	 690.0 mV	 -21.6680 uA	 892.38 ms	 100.00 mV
66	 720.0 mV	 -11.3120 uA	 898.47 ms	 100.00 mV
67	 750.0 mV	 -5.18170 uA	 911.08 ms	 100.00 mV
68	 780.0 mV	 -2.42790 uA	 917.69 ms	 100.00 mV
69	 810.0 mV	 -950.540 nA	 935.38 ms	 100.00 mV
70	 840.0 mV	 -256.880 nA	 941.53 ms	 100.00 mV
71	 870.0 mV	 -60.460 nA	 970.82 ms	 100.00 mV
72	 900.0 mV	 -20.8532 nA	 985.13 ms	 100.00 mV
73	 930.0 mV	 -8.7484 nA	 995.63 ms	 100.00 mV
74	 960.0 mV	 -1.27860 nA	 1.03092 s	 100.00 mV
75	 990.0 mV	 -2.60590 nA	 1.03828 s	 100.00 mV
76	 1.0200 V	 3.24520 nA	 1.04632 s	 100.00 mV
77	 1.0500 V	 -3.64300 nA	 1.05393 s	 100.00 mV
78	 1.0800 V	 2.82790 nA	 1.06311 s	 100.00 mV
79	 1.1100 V	 -3.31650 nA	 1.07358 s	 100.00 mV
80	 1.1400 V	 3.55290 nA	 1.08392 s	 100.00 mV
81	 1.1700 V	 -3.47620 nA	 1.09378 s	 100.00 mV
82	 1.2000 V	 2.75320 nA	 1.10299 s	 100.00 mV
83	 0 V	T -3.00060 mA	 1.53300 s	 200.00 mV
84	 30.0 mV	 -2.96700 mA	 1.53960 s	 200.00 mV
85	 60.0 mV	 -2.77940 mA	 1.54577 s	 200.00 mV
86	 90.0 mV	 -2.59120 mA	 1.55194 s	 200.00 mV
87	 120.0 mV	 -2.40560 mA	 1.55800 s	 200.00 mV
88	 150.0 mV	 -2.22180 mA	 1.56386 s	 200.00 mV
89	 180.0 mV	 -2.03800 mA	 1.56997 s	 200.00 mV
90	 210.0 mV	 -1.85980 mA	 1.57659 s	 200.00 mV
91	 240.0 mV	 -1.68260 mA	 1.58274 s	 200.00 mV
92	 270.0 mV	 -1.51000 mA	 1.58876 s	 200.00 mV
93	 300.0 mV	 -1.34140 mA	 1.59467 s	 200.00 mV
94	 330.0 mV	 -1.17600 mA	 1.59975 s	 200.00 mV
95	 360.0 mV	 -1.01880 mA	 1.60523 s	 200.00 mV
96	 390.0 mV	 -865.960 uA	 1.61803 s	 200.00 mV
97	 420.0 mV	 -722.220 uA	 1.62418 s	 200.00 mV
98	 450.0 mV	 -585.480 uA	 1.63035 s	 200.00 mV
99	 480.0 mV	 -462.560 uA	 1.63652 s	 200.00 mV
100	 510.0 mV	 -350.160 uA	 1.64265 s	 200.00 mV
101	 540.0 mV	 -254.400 uA	 1.64856 s	 200.00 mV
102	 570.0 mV	 -175.280 uA	 1.65374 s	 200.00 mV
103	 600.0 mV	 -112.560 uA	 1.65891 s	 200.00 mV
104	 630.0 mV	 -67.3600 uA	 1.67060 s	 200.00 mV
105	 660.0 mV	 -38.6800 uA	 1.67760 s	 200.00 mV
106	 690.0 mV	 -20.8100 uA	 1.68373 s	 200.00 mV
107	 720.0 mV	 -10.5360 uA	 1.70317 s	 200.00 mV
108	 750.0 mV	 -5.09600 uA	 1.71569 s	 200.00 mV
109	 780.0 mV	 -2.01840 uA	 1.72233 s	 200.00 mV
110	 810.0 mV	 -709.820 nA	 1.73967 s	 200.00 mV
111	 840.0 mV	 -296.900 nA	 1.74565 s	 200.00 mV
112	 870.0 mV	 -58.1026 nA	 1.75943 s	 200.00 mV
113	 900.0 mV	 -17.0864 nA	 1.76995 s	 200.00 mV
114	 930.0 mV	 -1.99310 nA	 1.80436 s	 200.00 mV
115	 960.0 mV	 -5.24290 nA	 1.81364 s	 200.00 mV
116	 990.0 mV	 2.58690 nA	 1.82412 s	 200.00 mV
117	 1.0200 V	 -3.23460 nA	 1.83337 s	 200.00 mV
118	 1.0500 V	 3.35060 nA	 1.84385 s	 200.00 mV
119	 1.0800 V	 -2.82370 nA	 1.85311 s	 200.00 mV
120	 1.1100 V	 2.11820 nA	 1.86365 s	 200.00 mV
121	 1.1400 V	 -3.66180 nA	 1.87412 s	 200.00 mV
122	 1.1700 V	 2.93430 nA	 1.88325 s	 200.00 mV
123	 1.2000 V	 -3.41020 nA	 1.89379 s	 200.00 mV
124	 0 V	T -3.00060 mA	 2.24849 s	 300.00 mV
125	 30.0 mV	 -2.88860 mA	 2.25514 s	 300.00 mV
126	 60.0 mV	 -2.70420 mA	 2.26129 s	 300.00 mV
127	 90.0 mV	 -2.52300 mA	 2.26734 s	 300.00 mV
128	 120.0 mV	 -2.34180 mA	 2.27352 s	 300.00 mV
129	 150.0 mV	 -2.16000 mA	 2.27962 s	 300.00 mV
130	 180.0 mV	 -1.98360 mA	 2.28575 s	 300.00 mV
131	 210.0 mV	 -1.80700 mA	 2.29181 s	 300.00 mV
132	 240.0 mV	 -1.63480 mA	 2.29767 s	 300.00 mV
133	 270.0 mV	 -1.46500 mA	 2.30276 s	 300.00 mV
134	 300.0 mV	 -1.30000 mA	 2.30788 s	 300.00 mV
135	 330.0 mV	 -1.13940 mA	 2.31436 s	 300.00 mV
136	 360.0 mV	 -984.220 uA	 2.32619 s	 300.00 mV
137	 390.0 mV	 -835.480 uA	 2.33323 s	 300.00 mV
138	 420.0 mV	 -694.620 uA	 2.33836 s	 300.00 mV
139	 450.0 mV	 -563.020 uA	 2.34503 s	 300.00 mV
140	 480.0 mV	 -441.040 uA	 2.35021 s	 300.00 mV
141	 510.0 mV	 -333.720 uA	 2.35538 s	 300.00 mV
142	 540.0 mV	 -239.920 uA	 2.36133 s	 300.00 mV
143	 570.0 mV	 -164.420 uA	 2.36652 s	 300.00 mV
144	 600.0 mV	 -104.560 uA	 2.37170 s	 300.00 mV
145	 630.0 mV	 -63.6580 uA	 2.38731 s	 300.00 mV
146	 660.0 mV	 -35.8740 uA	 2.39352 s	 300.00 mV
147	 690.0 mV	 -18.3160 uA	 2.39964 s	 300.00 mV
148	 720.0 mV	 -9.25280 uA	 2.41221 s	 300.00 mV
149	 750.0 mV	 -4.44790 uA	 2.41889 s	 300.00 mV
150	 780.0 mV	 -2.03150 uA	 2.42551 s	 300.00 mV
151	 810.0 mV	 -643.900 nA	 2.44156 s	 300.00 mV
152	 840.0 mV	 -270.060 nA	 2.44766 s	 300.00 mV
153	 870.0 mV	 -65.7990 nA	 2.46200 s	 300.00 mV
154	 900.0 mV	 -9.840 nA	 2.50228 s	 300.00 mV
155	 930.0 mV	 -5.9330 nA	 2.51787 s	 300.00 mV
156	 960.0 mV	 -3.0608 nA	 2.53672 s	 300.00 mV
157	 990.0 mV	 -719.80 pA	 2.57113 s	 300.00 mV
158	 1.0200 V	 -2.77950 nA	 2.57877 s	 300.00 mV
159	 1.0500 V	 3.35900 nA	 2.58633 s	 300.00 mV
160	 1.0800 V	 -3.95270 nA	 2.59399 s	 300.00 mV
161	 1.1100 V	 2.73700 nA	 2.60317 s	 300.00 mV
162	 1.1400 V	 -3.29450 nA	 2.61366 s	 300.00 mV
163	 1.1700 V	 3.63580 nA	 2.62427 s	 300.00 mV
164	 1.2000 V	 -3.00260 nA	 2.63341 s	 300.00 mV
165	 0 V	 -2.97640 mA	 2.96223 s	 400.00 mV
166	 30.0 mV	 -2.80080 mA	 2.96881 s	 400.00 mV
