Index	Vg	Id	Time	Vd
1	 0 V	 -145.240 uA	 12.68 ms	 0 V
2	 30.0 mV	 -135.360 uA	 18.67 ms	 0 V
3	 60.0 mV	 -125.560 uA	 24.86 ms	 0 V
4	 90.0 mV	 -116.100 uA	 31.00 ms	 0 V
5	 120.0 mV	 -106.640 uA	 37.20 ms	 0 V
6	 150.0 mV	 -97.3680 uA	 50.06 ms	 0 V
7	 180.0 mV	 -88.2340 uA	 56.15 ms	 0 V
8	 210.0 mV	 -79.2420 uA	 62.23 ms	 0 V
9	 240.0 mV	 -70.5760 uA	 69.32 ms	 0 V
10	 270.0 mV	 -62.1540 uA	 75.52 ms	 0 V
11	 300.0 mV	 -54.0020 uA	 81.67 ms	 0 V
12	 330.0 mV	 -46.2660 uA	 87.79 ms	 0 V
13	 360.0 mV	 -38.9440 uA	 93.74 ms	 0 V
14	 390.0 mV	 -32.0940 uA	 98.90 ms	 0 V
15	 420.0 mV	 -25.8300 uA	 104.98 ms	 0 V
16	 450.0 mV	 -20.2240 uA	 112.27 ms	 0 V
17	 480.0 mV	 -15.3560 uA	 118.23 ms	 0 V
18	 510.0 mV	 -11.1480 uA	 123.36 ms	 0 V
19	 540.0 mV	 -7.78540 uA	 136.22 ms	 0 V
20	 570.0 mV	 -5.09040 uA	 143.35 ms	 0 V
21	 600.0 mV	 -3.15000 uA	 149.01 ms	 0 V
22	 630.0 mV	 -1.79640 uA	 154.66 ms	 0 V
23	 660.0 mV	 -953.600 nA	 171.04 ms	 0 V
24	 690.0 mV	 -459.100 nA	 177.24 ms	 0 V
25	 720.0 mV	 -194.640 nA	 182.39 ms	 0 V
26	 750.0 mV	 -68.0572 nA	 195.71 ms	 0 V
27	 780.0 mV	 -20.0620 nA	 205.16 ms	 0 V
28	 810.0 mV	 -5.79410 nA	 259.17 ms	 0 V
29	 840.0 mV	 -1.83020 nA	 266.81 ms	 0 V
30	 870.0 mV	 1.23700 nA	 274.36 ms	 0 V
31	 900.0 mV	 -2.38030 nA	 282.03 ms	 0 V
32	 930.0 mV	 -1.67830 nA	 340.95 ms	 0 V
33	 960.0 mV	 1.34050 nA	 352.86 ms	 0 V
34	 990.0 mV	 -1.64640 nA	 362.06 ms	 0 V
35	 1.0200 V	 1.51320 nA	 372.64 ms	 0 V
36	 1.0500 V	 -2.19090 nA	 381.88 ms	 0 V
