Index	Vg	Id	Time	Vd
1	 0 V	X -563.520 nA	 38.73 ms	 0 V
2	 30.0 mV	 -781.030 nA	 47.25 ms	 0 V
3	 60.0 mV	X -808.390 nA	 57.98 ms	 0 V
4	 90.0 mV	 -788.040 nA	 64.58 ms	 0 V
5	 120.0 mV	 -921.160 nA	 73.28 ms	 0 V
6	 150.0 mV	 -820.60 nA	 116.84 ms	 0 V
7	 180.0 mV	 -818.50 nA	 124.37 ms	 0 V
8	 210.0 mV	 -888.830 nA	 143.44 ms	 0 V
9	 240.0 mV	 -1.001660 uA	 153.50 ms	 0 V
10	 270.0 mV	 -865.020 nA	 164.33 ms	 0 V
11	 300.0 mV	 -715.030 nA	 171.00 ms	 0 V
12	 330.0 mV	 -816.90 nA	 217.97 ms	 0 V
13	 360.0 mV	 -765.340 nA	 234.91 ms	 0 V
14	 390.0 mV	 -421.380 nA	 241.54 ms	 0 V
15	 420.0 mV	 -542.450 nA	 248.15 ms	 0 V
16	 450.0 mV	 -401.730 nA	 254.80 ms	 0 V
17	 480.0 mV	 -204.750 nA	 261.37 ms	 0 V
18	 510.0 mV	 -183.730 nA	 267.98 ms	 0 V
19	 540.0 mV	 99.3653 nA	 282.68 ms	 0 V
20	 570.0 mV	 975.020 nA	 323.60 ms	 0 V
21	 600.0 mV	 643.170 nA	 330.19 ms	 0 V
22	 630.0 mV	 601.430 nA	 336.75 ms	 0 V
23	 660.0 mV	 688.160 nA	 343.14 ms	 0 V
24	 690.0 mV	 740.480 nA	 349.59 ms	 0 V
25	 720.0 mV	 813.780 nA	 356.44 ms	 0 V
26	 750.0 mV	 898.320 nA	 362.06 ms	 0 V
27	 780.0 mV	 945.140 nA	 367.86 ms	 0 V
28	 810.0 mV	 1.004570 uA	 374.13 ms	 0 V
29	 840.0 mV	 1.052030 uA	 379.79 ms	 0 V
30	 870.0 mV	 1.106470 uA	 386.31 ms	 0 V
31	 900.0 mV	 1.145900 uA	 391.97 ms	 0 V
32	 930.0 mV	 1.150000 uA	 397.63 ms	 0 V
33	 960.0 mV	 1.150000 uA	 404.76 ms	 0 V
34	 990.0 mV	 1.150000 uA	 410.37 ms	 0 V
35	 1.0200 V	 1.150020 uA	 416.03 ms	 0 V
36	 1.0500 V	 1.150000 uA	 423.28 ms	 0 V
37	 1.0800 V	 1.150000 uA	 428.96 ms	 0 V
38	 1.1100 V	 1.150010 uA	 435.50 ms	 0 V
39	 1.1400 V	 783.700 nA	 518.03 ms	 0 V
40	 1.1700 V	 876.870 nA	 524.69 ms	 0 V
41	 1.2000 V	 956.800 nA	 531.28 ms	 0 V
42	 0 V	 -60.680 nA	 630.21 ms	 100.00 mV
43	 30.0 mV	 -78.640 nA	 662.75 ms	 100.00 mV
44	 60.0 mV	 -92.990 nA	 703.20 ms	 100.00 mV
45	 90.0 mV	 -73.750 nA	 709.82 ms	 100.00 mV
46	 120.0 mV	 -104.630 nA	 716.24 ms	 100.00 mV
47	 150.0 mV	 -115.480 nA	 747.32 ms	 100.00 mV
48	 180.0 mV	 -96.380 nA	 753.93 ms	 100.00 mV
49	 210.0 mV	 -56.130 nA	 786.04 ms	 100.00 mV
50	 240.0 mV	 82.620 nA	 792.72 ms	 100.00 mV
51	 270.0 mV	 394.090 nA	 801.38 ms	 100.00 mV
52	 300.0 mV	 857.140 nA	 807.83 ms	 100.00 mV
53	 330.0 mV	 1.78400 uA	 854.05 ms	 100.00 mV
54	 360.0 mV	 4.03780 uA	 861.75 ms	 100.00 mV
55	 390.0 mV	 7.81290 uA	 869.70 ms	 100.00 mV
56	 420.0 mV	 13.7570 uA	 905.97 ms	 100.00 mV
57	 450.0 mV	 23.4420 uA	 912.16 ms	 100.00 mV
58	 480.0 mV	 37.2350 uA	 917.78 ms	 100.00 mV
59	 510.0 mV	 56.9040 uA	 923.40 ms	 100.00 mV
60	 540.0 mV	 83.6450 uA	 930.69 ms	 100.00 mV
61	 570.0 mV	 117.790 uA	 958.94 ms	 100.00 mV
62	 600.0 mV	 160.530 uA	 965.63 ms	 100.00 mV
63	 630.0 mV	 211.620 uA	 972.29 ms	 100.00 mV
64	 660.0 mV	 270.770 uA	 978.91 ms	 100.00 mV
65	 690.0 mV	 336.500 uA	 987.01 ms	 100.00 mV
66	 720.0 mV	 406.870 uA	 993.65 ms	 100.00 mV
67	 750.0 mV	 480.950 uA	 1.00027 s	 100.00 mV
68	 780.0 mV	 556.950 uA	 1.00670 s	 100.00 mV
69	 810.0 mV	 633.040 uA	 1.01236 s	 100.00 mV
70	 840.0 mV	 708.480 uA	 1.01930 s	 100.00 mV
71	 870.0 mV	 783.580 uA	 1.02588 s	 100.00 mV
72	 900.0 mV	 855.920 uA	 1.03420 s	 100.00 mV
73	 930.0 mV	 926.060 uA	 1.04090 s	 100.00 mV
74	 960.0 mV	 993.700 uA	 1.04755 s	 100.00 mV
75	 990.0 mV	 1.058590 mA	 1.05412 s	 100.00 mV
76	 1.0200 V	 1.120790 mA	 1.06069 s	 100.00 mV
77	 1.0500 V	 1.17990 mA	 1.07955 s	 100.00 mV
78	 1.0800 V	 1.23620 mA	 1.08590 s	 100.00 mV
79	 1.1100 V	 1.28950 mA	 1.09307 s	 100.00 mV
80	 1.1400 V	 1.34050 mA	 1.09869 s	 100.00 mV
81	 1.1700 V	 1.38900 mA	 1.10425 s	 100.00 mV
82	 1.2000 V	 1.43530 mA	 1.11143 s	 100.00 mV
83	 0 V	 8.6313 nA	 1.31839 s	 200.00 mV
84	 30.0 mV	 15.9171 nA	 1.33417 s	 200.00 mV
85	 60.0 mV	 18.5446 nA	 1.34951 s	 200.00 mV
86	 90.0 mV	 17.6268 nA	 1.36483 s	 200.00 mV
87	 120.0 mV	 20.8928 nA	 1.38003 s	 200.00 mV
88	 150.0 mV	 37.0889 nA	 1.39506 s	 200.00 mV
89	 180.0 mV	 66.4346 nA	 1.41026 s	 200.00 mV
90	 210.0 mV	 126.350 nA	 1.47326 s	 200.00 mV
91	 240.0 mV	 271.530 nA	 1.47996 s	 200.00 mV
92	 270.0 mV	 547.850 nA	 1.48665 s	 200.00 mV
93	 300.0 mV	 1.19380 uA	 1.53316 s	 200.00 mV
94	 330.0 mV	 2.55370 uA	 1.54076 s	 200.00 mV
95	 360.0 mV	 5.08090 uA	 1.54830 s	 200.00 mV
96	 390.0 mV	 9.53090 uA	 1.55571 s	 200.00 mV
97	 420.0 mV	 17.2370 uA	 1.59316 s	 200.00 mV
98	 450.0 mV	 29.5770 uA	 1.59983 s	 200.00 mV
99	 480.0 mV	 47.5280 uA	 1.60644 s	 200.00 mV
100	 510.0 mV	 73.5800 uA	 1.61314 s	 200.00 mV
101	 540.0 mV	 109.8830 uA	 1.61980 s	 200.00 mV
102	 570.0 mV	 156.710 uA	 1.64759 s	 200.00 mV
103	 600.0 mV	 217.190 uA	 1.65424 s	 200.00 mV
104	 630.0 mV	 291.700 uA	 1.66084 s	 200.00 mV
