Index	Vg	Id	Time	Vd
1	 0 V	 -5.30196 nA	 69.09 ms	 0 V
2	 30.0 mV	 5.51986 nA	 78.41 ms	 0 V
3	 60.0 mV	 -5.56416 nA	 87.92 ms	 0 V
4	 90.0 mV	 5.20832 nA	 97.46 ms	 0 V
5	 120.0 mV	 2.1448 nA	 137.97 ms	 0 V
6	 150.0 mV	 2.6489 nA	 156.25 ms	 0 V
7	 180.0 mV	 -2.7521 nA	 187.90 ms	 0 V
8	 210.0 mV	 -6.060 nA	 268.07 ms	 0 V
9	 240.0 mV	 -2.5038 nA	 330.01 ms	 0 V
10	 270.0 mV	 3.2371 nA	 393.14 ms	 0 V
11	 300.0 mV	 -4.1817 nA	 426.07 ms	 0 V
12	 330.0 mV	 -913.6 pA	 451.09 ms	 0 V
13	 360.0 mV	 -399.7 pA	 478.67 ms	 0 V
14	 390.0 mV	 -7.4963 nA	 500.91 ms	 0 V
15	 420.0 mV	 -8.7127 nA	 527.25 ms	 0 V
16	 450.0 mV	 -8.4032 nA	 548.16 ms	 0 V
17	 480.0 mV	 -6.8184 nA	 563.49 ms	 0 V
18	 510.0 mV	 -2.8301 nA	 580.41 ms	 0 V
19	 540.0 mV	 505.1 pA	 595.66 ms	 0 V
20	 570.0 mV	 -5.4944 nA	 628.59 ms	 0 V
21	 600.0 mV	 14.3284 nA	 646.86 ms	 0 V
22	 630.0 mV	 31.3720 nA	 662.10 ms	 0 V
23	 660.0 mV	 57.4737 nA	 677.40 ms	 0 V
24	 690.0 mV	 103.7726 nA	 692.64 ms	 0 V
25	 720.0 mV	 1.030740 uA	 733.65 ms	 0 V
26	 750.0 mV	 859.840 nA	 740.27 ms	 0 V
27	 780.0 mV	 768.260 nA	 746.70 ms	 0 V
28	 810.0 mV	 736.010 nA	 752.35 ms	 0 V
29	 840.0 mV	 722.980 nA	 758.79 ms	 0 V
30	 870.0 mV	 722.880 nA	 764.45 ms	 0 V
31	 900.0 mV	 737.990 nA	 770.10 ms	 0 V
32	 930.0 mV	 763.440 nA	 777.32 ms	 0 V
33	 960.0 mV	 789.680 nA	 782.95 ms	 0 V
34	 990.0 mV	 824.110 nA	 790.06 ms	 0 V
35	 1.0200 V	 851.740 nA	 795.68 ms	 0 V
36	 1.0500 V	 888.280 nA	 801.29 ms	 0 V
37	 1.0800 V	 936.090 nA	 809.62 ms	 0 V
38	 1.1100 V	 971.080 nA	 816.31 ms	 0 V
39	 1.1400 V	 1.011840 uA	 822.98 ms	 0 V
40	 1.1700 V	 1.046710 uA	 829.59 ms	 0 V
41	 1.2000 V	 1.079110 uA	 836.94 ms	 0 V
42	 0 V	 -5.55210 nA	 967.84 ms	 100.00 mV
43	 30.0 mV	 5.41798 nA	 977.90 ms	 100.00 mV
44	 60.0 mV	 -5.43136 nA	 987.47 ms	 100.00 mV
45	 90.0 mV	 5.05046 nA	 996.96 ms	 100.00 mV
