Index	Vg	Id	Time	Vd
1	 0 V	 3.34882 nA	 68.97 ms	 0 V
2	 30.0 mV	 -6.0140 nA	 111.73 ms	 0 V
3	 60.0 mV	 -7.410 nA	 196.81 ms	 0 V
4	 90.0 mV	 -4.55664 nA	 238.65 ms	 0 V
5	 120.0 mV	 5.53858 nA	 248.20 ms	 0 V
6	 150.0 mV	 -7.540 nA	 305.75 ms	 0 V
7	 180.0 mV	 6.24910 nA	 347.59 ms	 0 V
8	 210.0 mV	 -3.6241 nA	 437.72 ms	 0 V
9	 240.0 mV	 -4.4336 nA	 454.67 ms	 0 V
10	 270.0 mV	 3.340 nA	 503.75 ms	 0 V
11	 300.0 mV	 297.60 pA	 550.80 ms	 0 V
12	 330.0 mV	 -2.520 nA	 621.00 ms	 0 V
13	 360.0 mV	 -3.0548 nA	 637.26 ms	 0 V
14	 390.0 mV	 -6.800 nA	 674.23 ms	 0 V
15	 420.0 mV	 -5.750 nA	 713.00 ms	 0 V
16	 450.0 mV	 -13.8266 nA	 735.59 ms	 0 V
17	 480.0 mV	 -18.8956 nA	 750.84 ms	 0 V
18	 510.0 mV	 -13.790 nA	 783.28 ms	 0 V
19	 540.0 mV	 -28.2785 nA	 798.12 ms	 0 V
20	 570.0 mV	 -43.5833 nA	 813.35 ms	 0 V
21	 600.0 mV	 -51.250 nA	 845.94 ms	 0 V
22	 630.0 mV	 -64.3448 nA	 860.84 ms	 0 V
23	 660.0 mV	 -60.220 nA	 893.27 ms	 0 V
24	 690.0 mV	 -103.410 nA	 899.95 ms	 0 V
25	 720.0 mV	 -105.0219 nA	 914.63 ms	 0 V
26	 750.0 mV	 -104.8479 nA	 929.96 ms	 0 V
27	 780.0 mV	 -108.1282 nA	 945.16 ms	 0 V
28	 810.0 mV	 -135.110 nA	 977.74 ms	 0 V
29	 840.0 mV	 -128.350 nA	 985.66 ms	 0 V
30	 870.0 mV	 -101.630 nA	 992.29 ms	 0 V
31	 900.0 mV	 -128.700 nA	 998.69 ms	 0 V
32	 930.0 mV	 -107.0554 nA	 1.01267 s	 0 V
33	 960.0 mV	 -89.3692 nA	 1.02791 s	 0 V
34	 990.0 mV	 -80.6097 nA	 1.04322 s	 0 V
35	 1.0200 V	 -81.1172 nA	 1.05851 s	 0 V
36	 1.0500 V	 -69.7295 nA	 1.07384 s	 0 V
37	 1.0800 V	 -56.7277 nA	 1.08913 s	 0 V
38	 1.1100 V	 -54.0197 nA	 1.10434 s	 0 V
39	 1.1400 V	 -43.6786 nA	 1.11964 s	 0 V
40	 1.1700 V	 -41.7684 nA	 1.13485 s	 0 V
41	 1.2000 V	 -26.8271 nA	 1.14987 s	 0 V
42	 0 V	 -6.50814 nA	 1.39445 s	 100.00 mV
43	 30.0 mV	 6.10062 nA	 1.40450 s	 100.00 mV
44	 60.0 mV	 -6.11480 nA	 1.41407 s	 100.00 mV
45	 90.0 mV	 1.73224 nA	 1.43009 s	 100.00 mV
46	 120.0 mV	 -2.59896 nA	 1.43960 s	 100.00 mV
47	 150.0 mV	 -6.42236 nA	 1.45401 s	 100.00 mV
48	 180.0 mV	 6.30296 nA	 1.46492 s	 100.00 mV
49	 210.0 mV	 -3.3475 nA	 1.49531 s	 100.00 mV
50	 240.0 mV	 980.8 pA	 1.51894 s	 100.00 mV
51	 270.0 mV	 1.64788 nA	 1.56167 s	 100.00 mV
52	 300.0 mV	 2.83316 nA	 1.62969 s	 100.00 mV
53	 330.0 mV	 -2.99386 nA	 1.63913 s	 100.00 mV
54	 360.0 mV	 5.16576 nA	 1.64904 s	 100.00 mV
55	 390.0 mV	 6.0012 nA	 1.68613 s	 100.00 mV
56	 420.0 mV	 27.0827 nA	 1.70135 s	 100.00 mV
57	 450.0 mV	 86.2043 nA	 1.71661 s	 100.00 mV
58	 480.0 mV	 294.680 nA	 1.74610 s	 100.00 mV
59	 510.0 mV	 673.680 nA	 1.75359 s	 100.00 mV
60	 540.0 mV	 1.29620 uA	 1.80090 s	 100.00 mV
61	 570.0 mV	 2.14520 uA	 1.80830 s	 100.00 mV
62	 600.0 mV	 3.22620 uA	 1.81536 s	 100.00 mV
63	 630.0 mV	 4.60930 uA	 1.82291 s	 100.00 mV
64	 660.0 mV	 6.46810 uA	 1.83057 s	 100.00 mV
65	 690.0 mV	 8.96090 uA	 1.83811 s	 100.00 mV
66	 720.0 mV	 11.9350 uA	 1.87526 s	 100.00 mV
67	 750.0 mV	 15.7820 uA	 1.88185 s	 100.00 mV
68	 780.0 mV	 20.4080 uA	 1.88826 s	 100.00 mV
69	 810.0 mV	 25.5000 uA	 1.89409 s	 100.00 mV
70	 840.0 mV	 30.9820 uA	 1.90137 s	 100.00 mV
71	 870.0 mV	 36.7570 uA	 1.90704 s	 100.00 mV
72	 900.0 mV	 42.5050 uA	 1.91434 s	 100.00 mV
73	 930.0 mV	 48.2960 uA	 1.91996 s	 100.00 mV
74	 960.0 mV	 53.9680 uA	 1.92596 s	 100.00 mV
75	 990.0 mV	 59.4650 uA	 1.93226 s	 100.00 mV
76	 1.0200 V	 64.8340 uA	 1.93792 s	 100.00 mV
77	 1.0500 V	 70.0440 uA	 1.94578 s	 100.00 mV
78	 1.0800 V	 75.0070 uA	 1.95245 s	 100.00 mV
79	 1.1100 V	 79.8030 uA	 1.95905 s	 100.00 mV
80	 1.1400 V	 84.3570 uA	 1.96545 s	 100.00 mV
81	 1.1700 V	 88.7330 uA	 1.97107 s	 100.00 mV
82	 1.2000 V	 92.8820 uA	 1.97852 s	 100.00 mV
83	 0 V	 6.54426 nA	 2.08500 s	 200.00 mV
84	 30.0 mV	 -6.78784 nA	 2.09506 s	 200.00 mV
85	 60.0 mV	 6.27558 nA	 2.10463 s	 200.00 mV
86	 90.0 mV	 -6.24008 nA	 2.11408 s	 200.00 mV
87	 120.0 mV	 5.49176 nA	 2.12364 s	 200.00 mV
88	 150.0 mV	 -6.65130 nA	 2.13479 s	 200.00 mV
89	 180.0 mV	 6.07346 nA	 2.14432 s	 200.00 mV
90	 210.0 mV	 -6.17020 nA	 2.15395 s	 200.00 mV
91	 240.0 mV	 6.44366 nA	 2.16486 s	 200.00 mV
92	 270.0 mV	 -6.67268 nA	 2.17439 s	 200.00 mV
93	 300.0 mV	 5.82994 nA	 2.18387 s	 200.00 mV
94	 330.0 mV	 -6.22556 nA	 2.19493 s	 200.00 mV
95	 360.0 mV	 8.82066 nA	 2.20565 s	 200.00 mV
96	 390.0 mV	 510.68 pA	 2.21419 s	 200.00 mV
97	 420.0 mV	 21.7885 nA	 2.25035 s	 200.00 mV
98	 450.0 mV	 95.510 nA	 2.27569 s	 200.00 mV
99	 480.0 mV	 313.930 nA	 2.28299 s	 200.00 mV
100	 510.0 mV	 795.850 nA	 2.28862 s	 200.00 mV
101	 540.0 mV	 1.56620 uA	 2.33457 s	 200.00 mV
102	 570.0 mV	 2.66090 uA	 2.34224 s	 200.00 mV
103	 600.0 mV	 4.20910 uA	 2.34986 s	 200.00 mV
104	 630.0 mV	 6.32320 uA	 2.35742 s	 200.00 mV
105	 660.0 mV	 8.93590 uA	 2.36506 s	 200.00 mV
106	 690.0 mV	 12.5200 uA	 2.40205 s	 200.00 mV
107	 720.0 mV	 17.2940 uA	 2.40877 s	 200.00 mV
108	 750.0 mV	 23.0740 uA	 2.41542 s	 200.00 mV
109	 780.0 mV	 29.7560 uA	 2.42212 s	 200.00 mV
110	 810.0 mV	 37.4650 uA	 2.42871 s	 200.00 mV
111	 840.0 mV	 45.8620 uA	 2.43514 s	 200.00 mV
112	 870.0 mV	 54.7070 uA	 2.44183 s	 200.00 mV
113	 900.0 mV	 64.0050 uA	 2.44852 s	 200.00 mV
114	 930.0 mV	 73.4740 uA	 2.45508 s	 200.00 mV
115	 960.0 mV	 82.9280 uA	 2.46171 s	 200.00 mV
116	 990.0 mV	 92.5250 uA	 2.46834 s	 200.00 mV
117	 1.0200 V	 101.9580 uA	 2.47495 s	 200.00 mV
118	 1.0500 V	 111.2240 uA	 2.48135 s	 200.00 mV
119	 1.0800 V	 120.430 uA	 2.50837 s	 200.00 mV
120	 1.1100 V	 129.260 uA	 2.51404 s	 200.00 mV
121	 1.1400 V	 137.840 uA	 2.52071 s	 200.00 mV
122	 1.1700 V	 146.160 uA	 2.52636 s	 200.00 mV
123	 1.2000 V	 154.110 uA	 2.53218 s	 200.00 mV
124	 0 V	 -6.02114 nA	 2.79368 s	 300.00 mV
125	 30.0 mV	 5.81060 nA	 2.80372 s	 300.00 mV
126	 60.0 mV	 -6.75298 nA	 2.81488 s	 300.00 mV
127	 90.0 mV	 6.22716 nA	 2.82435 s	 300.00 mV
128	 120.0 mV	 -6.20416 nA	 2.83388 s	 300.00 mV
129	 150.0 mV	 5.63640 nA	 2.84359 s	 300.00 mV
130	 180.0 mV	 -6.60396 nA	 2.85451 s	 300.00 mV
131	 210.0 mV	 6.00352 nA	 2.86399 s	 300.00 mV
132	 240.0 mV	 -6.15288 nA	 2.87378 s	 300.00 mV
133	 270.0 mV	 5.43764 nA	 2.88338 s	 300.00 mV
134	 300.0 mV	 -6.46814 nA	 2.89452 s	 300.00 mV
135	 330.0 mV	 6.65686 nA	 2.90410 s	 300.00 mV
136	 360.0 mV	 -4.87460 nA	 2.91520 s	 300.00 mV
137	 390.0 mV	 4.2502 nA	 2.94930 s	 300.00 mV
138	 420.0 mV	 31.2849 nA	 2.96458 s	 300.00 mV
139	 450.0 mV	 118.140 nA	 3.00548 s	 300.00 mV
140	 480.0 mV	 328.000 nA	 3.01221 s	 300.00 mV
141	 510.0 mV	 838.320 nA	 3.01890 s	 300.00 mV
142	 540.0 mV	 1.70180 uA	 3.06507 s	 300.00 mV
143	 570.0 mV	 2.87780 uA	 3.07262 s	 300.00 mV
144	 600.0 mV	 4.58030 uA	 3.08131 s	 300.00 mV
145	 630.0 mV	 6.99280 uA	 3.08890 s	 300.00 mV
146	 660.0 mV	 10.25140 uA	 3.09552 s	 300.00 mV
147	 690.0 mV	 14.1960 uA	 3.13251 s	 300.00 mV
148	 720.0 mV	 19.7440 uA	 3.13843 s	 300.00 mV
149	 750.0 mV	 26.3900 uA	 3.14515 s	 300.00 mV
150	 780.0 mV	 34.0360 uA	 3.15078 s	 300.00 mV
151	 810.0 mV	 42.9500 uA	 3.15718 s	 300.00 mV
152	 840.0 mV	 52.5260 uA	 3.16280 s	 300.00 mV
153	 870.0 mV	 62.9820 uA	 3.16848 s	 300.00 mV
154	 900.0 mV	 73.9350 uA	 3.17573 s	 300.00 mV
155	 930.0 mV	 85.0960 uA	 3.18139 s	 300.00 mV
156	 960.0 mV	 96.7470 uA	 3.18835 s	 300.00 mV
157	 990.0 mV	 108.4950 uA	 3.19401 s	 300.00 mV
158	 1.0200 V	 120.320 uA	 3.22154 s	 300.00 mV
159	 1.0500 V	 132.250 uA	 3.22716 s	 300.00 mV
160	 1.0800 V	 143.970 uA	 3.23298 s	 300.00 mV
161	 1.1100 V	 155.650 uA	 3.23900 s	 300.00 mV
162	 1.1400 V	 167.120 uA	 3.24466 s	 300.00 mV
163	 1.1700 V	 178.230 uA	 3.25096 s	 300.00 mV
164	 1.2000 V	 189.230 uA	 3.25661 s	 300.00 mV
165	 0 V	 -389.28 pA	 3.37054 s	 400.00 mV
166	 30.0 mV	 502.60 pA	 3.38057 s	 400.00 mV
167	 60.0 mV	 664.92 pA	 3.39010 s	 400.00 mV
168	 90.0 mV	 -1.53838 nA	 3.39966 s	 400.00 mV
169	 120.0 mV	 2.84502 nA	 3.40915 s	 400.00 mV
170	 150.0 mV	 -3.38746 nA	 3.41869 s	 400.00 mV
