Index	Vg	Id	Time	Vd
1	 0 V	 1.11190 nA	 74.01 ms	 0 V
2	 30.0 mV	 -5.9039 nA	 108.43 ms	 0 V
3	 60.0 mV	 -620 pA	 164.67 ms	 0 V
4	 90.0 mV	 2.820 nA	 199.42 ms	 0 V
5	 120.0 mV	 2.970 nA	 237.60 ms	 0 V
6	 150.0 mV	 -16.220 nA	 277.64 ms	 0 V
7	 180.0 mV	 -1.770 nA	 313.75 ms	 0 V
8	 210.0 mV	 949.36 pA	 353.47 ms	 0 V
9	 240.0 mV	 -650 pA	 446.72 ms	 0 V
10	 270.0 mV	 957.4 pA	 461.49 ms	 0 V
11	 300.0 mV	 6.140 nA	 494.13 ms	 0 V
12	 330.0 mV	 22.1974 nA	 519.60 ms	 0 V
13	 360.0 mV	 46.7024 nA	 545.54 ms	 0 V
14	 390.0 mV	 67.8523 nA	 560.85 ms	 0 V
15	 420.0 mV	 69.210 nA	 593.40 ms	 0 V
16	 450.0 mV	 170.330 nA	 599.99 ms	 0 V
17	 480.0 mV	 197.910 nA	 607.09 ms	 0 V
18	 510.0 mV	 292.060 nA	 612.78 ms	 0 V
19	 540.0 mV	 414.350 nA	 619.58 ms	 0 V
20	 570.0 mV	 468.870 nA	 627.05 ms	 0 V
21	 600.0 mV	 656.890 nA	 632.66 ms	 0 V
22	 630.0 mV	 818.890 nA	 639.91 ms	 0 V
23	 660.0 mV	 927.040 nA	 645.84 ms	 0 V
24	 690.0 mV	 1.116050 uA	 651.64 ms	 0 V
25	 720.0 mV	 -265.10 nA	 675.45 ms	 0 V
26	 750.0 mV	 339.050 nA	 692.37 ms	 0 V
27	 780.0 mV	 658.050 nA	 699.15 ms	 0 V
28	 810.0 mV	 891.630 nA	 705.80 ms	 0 V
29	 840.0 mV	 1.100080 uA	 712.42 ms	 0 V
30	 870.0 mV	 416.20 nA	 736.07 ms	 0 V
31	 900.0 mV	 217.500 nA	 753.02 ms	 0 V
32	 930.0 mV	 456.800 nA	 759.66 ms	 0 V
33	 960.0 mV	 650.810 nA	 766.23 ms	 0 V
34	 990.0 mV	 837.890 nA	 772.80 ms	 0 V
35	 1.0200 V	 978.950 nA	 779.36 ms	 0 V
36	 1.0500 V	 1.107060 uA	 786.03 ms	 0 V
37	 1.0800 V	 1.45780 uA	 808.96 ms	 0 V
38	 1.1100 V	 1.24200 uA	 816.57 ms	 0 V
39	 1.1400 V	 1.26560 uA	 824.15 ms	 0 V
40	 1.1700 V	 1.39070 uA	 831.69 ms	 0 V
41	 1.2000 V	 1.41870 uA	 839.34 ms	 0 V
42	 0 V	 1.60994 nA	 1.12197 s	 100.00 mV
43	 30.0 mV	 -1.46142 nA	 1.13199 s	 100.00 mV
44	 60.0 mV	 2.07186 nA	 1.14151 s	 100.00 mV
45	 90.0 mV	 2.22138 nA	 1.15759 s	 100.00 mV
46	 120.0 mV	 -1.34188 nA	 1.17203 s	 100.00 mV
47	 150.0 mV	 -1.3839 nA	 1.20832 s	 100.00 mV
48	 180.0 mV	 -3.37886 nA	 1.24752 s	 100.00 mV
49	 210.0 mV	 5.31192 nA	 1.25708 s	 100.00 mV
50	 240.0 mV	 5.2585 nA	 1.30102 s	 100.00 mV
51	 270.0 mV	 19.5129 nA	 1.31661 s	 100.00 mV
52	 300.0 mV	 54.2293 nA	 1.33186 s	 100.00 mV
53	 330.0 mV	 156.620 nA	 1.37283 s	 100.00 mV
54	 360.0 mV	 404.980 nA	 1.37942 s	 100.00 mV
