Index	Vg	Id	Time	Vd
1	 0 V	 -262.210 nA	 59.65 ms	 0 V
2	 30.0 mV	 -259.970 nA	 89.34 ms	 0 V
3	 60.0 mV	 -277.600 nA	 121.20 ms	 0 V
4	 90.0 mV	 -238.920 nA	 153.28 ms	 0 V
5	 120.0 mV	 -182.120 nA	 164.05 ms	 0 V
6	 150.0 mV	X -170.720 nA	 198.10 ms	 0 V
7	 180.0 mV	 -77.750 nA	 204.65 ms	 0 V
8	 210.0 mV	X -290.870 nA	 239.91 ms	 0 V
9	 240.0 mV	 -165.480 nA	 273.77 ms	 0 V
10	 270.0 mV	X -143.940 nA	 284.51 ms	 0 V
11	 300.0 mV	 -304.890 nA	 292.92 ms	 0 V
12	 330.0 mV	X -431.140 nA	 302.97 ms	 0 V
13	 360.0 mV	 -319.300 nA	 311.37 ms	 0 V
14	 390.0 mV	 -199.330 nA	 317.02 ms	 0 V
15	 420.0 mV	 -260.010 nA	 324.82 ms	 0 V
16	 450.0 mV	 -459.180 nA	 331.42 ms	 0 V
17	 480.0 mV	 -418.750 nA	 338.07 ms	 0 V
18	 510.0 mV	 -600.210 nA	 344.67 ms	 0 V
19	 540.0 mV	 -730.940 nA	 351.10 ms	 0 V
20	 570.0 mV	 -720.680 nA	 356.71 ms	 0 V
21	 600.0 mV	 -936.280 nA	 362.36 ms	 0 V
22	 630.0 mV	 -985.620 nA	 369.93 ms	 0 V
23	 660.0 mV	 -1.029710 uA	 376.57 ms	 0 V
24	 690.0 mV	 -1.160180 uA	 383.18 ms	 0 V
25	 720.0 mV	 -1.144990 uA	 389.84 ms	 0 V
26	 750.0 mV	 -1.067820 uA	 396.52 ms	 0 V
27	 780.0 mV	 -1.086850 uA	 403.09 ms	 0 V
28	 810.0 mV	 -999.090 nA	 409.70 ms	 0 V
29	 840.0 mV	 -956.920 nA	 416.18 ms	 0 V
30	 870.0 mV	 -910.070 nA	 422.86 ms	 0 V
31	 900.0 mV	 -831.560 nA	 429.51 ms	 0 V
32	 930.0 mV	 -775.420 nA	 436.19 ms	 0 V
33	 960.0 mV	 -734.470 nA	 442.89 ms	 0 V
34	 990.0 mV	 -664.430 nA	 449.49 ms	 0 V
35	 1.0200 V	 -602.750 nA	 455.91 ms	 0 V
36	 1.0500 V	 -534.670 nA	 462.16 ms	 0 V
37	 1.0800 V	 -475.460 nA	 468.60 ms	 0 V
38	 1.1100 V	 -426.520 nA	 474.41 ms	 0 V
39	 1.1400 V	 -360.730 nA	 481.16 ms	 0 V
40	 1.1700 V	 -308.340 nA	 486.81 ms	 0 V
41	 1.2000 V	 -271.920 nA	 492.41 ms	 0 V
42	 0 V	 350 pA	 807.94 ms	 100.00 mV
43	 30.0 mV	 -8.230 nA	 841.90 ms	 100.00 mV
44	 60.0 mV	 -2.490 nA	 876.63 ms	 100.00 mV
45	 90.0 mV	 -4.140 nA	 910.04 ms	 100.00 mV
46	 120.0 mV	 -12.020 nA	 943.49 ms	 100.00 mV
47	 150.0 mV	 -9.970 nA	 976.36 ms	 100.00 mV
48	 180.0 mV	 680 pA	 1.00617 s	 100.00 mV
49	 210.0 mV	 -5.150 nA	 1.03835 s	 100.00 mV
50	 240.0 mV	 4.920 nA	 1.07048 s	 100.00 mV
51	 270.0 mV	 18.840 nA	 1.11324 s	 100.00 mV
52	 300.0 mV	 28.870 nA	 1.16684 s	 100.00 mV
53	 330.0 mV	 92.220 nA	 1.22038 s	 100.00 mV
54	 360.0 mV	 158.880 nA	 1.22699 s	 100.00 mV
55	 390.0 mV	 406.420 nA	 1.23372 s	 100.00 mV
56	 420.0 mV	 925.470 nA	 1.24245 s	 100.00 mV
57	 450.0 mV	 2.00350 uA	 1.28868 s	 100.00 mV
58	 480.0 mV	 4.03440 uA	 1.29621 s	 100.00 mV
