Index	Vg	Id	Time	Vd
1	 0 V	 -206.440 nA	 57.16 ms	 0 V
2	 30.0 mV	 -251.530 nA	 88.85 ms	 0 V
3	 60.0 mV	 -95.140 nA	 95.52 ms	 0 V
4	 90.0 mV	 -270.680 nA	 102.06 ms	 0 V
5	 120.0 mV	 -288.180 nA	 108.49 ms	 0 V
6	 150.0 mV	 -64.030 nA	 114.14 ms	 0 V
7	 180.0 mV	 -280.740 nA	 121.28 ms	 0 V
8	 210.0 mV	 -320.180 nA	 128.01 ms	 0 V
9	 240.0 mV	 -56.200 nA	 134.61 ms	 0 V
10	 270.0 mV	 -272.530 nA	 141.29 ms	 0 V
11	 300.0 mV	 -242.460 nA	 147.70 ms	 0 V
12	 330.0 mV	 -225.050 nA	 177.48 ms	 0 V
13	 360.0 mV	 -93.810 nA	 186.18 ms	 0 V
14	 390.0 mV	 -122.690 nA	 192.76 ms	 0 V
15	 420.0 mV	 -124.920 nA	 199.98 ms	 0 V
16	 450.0 mV	 -135.530 nA	 205.86 ms	 0 V
17	 480.0 mV	 23.390 nA	 246.43 ms	 0 V
18	 510.0 mV	 -101.720 nA	 253.05 ms	 0 V
19	 540.0 mV	 9.2903 nA	 272.98 ms	 0 V
20	 570.0 mV	 44.4243 nA	 290.24 ms	 0 V
21	 600.0 mV	 786.950 nA	 330.71 ms	 0 V
22	 630.0 mV	 589.600 nA	 336.34 ms	 0 V
23	 660.0 mV	 585.840 nA	 343.25 ms	 0 V
24	 690.0 mV	 620.400 nA	 348.87 ms	 0 V
25	 720.0 mV	 707.120 nA	 354.53 ms	 0 V
26	 750.0 mV	 864.810 nA	 363.17 ms	 0 V
27	 780.0 mV	 967.000 nA	 369.78 ms	 0 V
28	 810.0 mV	 1.077940 uA	 376.20 ms	 0 V
29	 840.0 mV	 1.149990 uA	 381.86 ms	 0 V
30	 870.0 mV	 206.920 nA	 436.04 ms	 0 V
31	 900.0 mV	 486.440 nA	 442.61 ms	 0 V
32	 930.0 mV	 701.010 nA	 449.22 ms	 0 V
33	 960.0 mV	 891.380 nA	 455.82 ms	 0 V
34	 990.0 mV	 1.093970 uA	 462.54 ms	 0 V
35	 1.0200 V	 207.770 nA	 519.32 ms	 0 V
36	 1.0500 V	 451.310 nA	 525.90 ms	 0 V
37	 1.0800 V	 682.610 nA	 532.58 ms	 0 V
