Index	Vg	Id	Time	Vd
1	 0 V	 -146.540 uA	 12.63 ms	 0 V
2	 30.0 mV	 -136.600 uA	 18.62 ms	 0 V
3	 60.0 mV	 -126.680 uA	 24.81 ms	 0 V
4	 90.0 mV	 -116.800 uA	 30.97 ms	 0 V
5	 120.0 mV	 -107.040 uA	 37.16 ms	 0 V
6	 150.0 mV	 -97.5020 uA	 49.98 ms	 0 V
7	 180.0 mV	 -88.0940 uA	 56.18 ms	 0 V
8	 210.0 mV	 -78.9680 uA	 62.38 ms	 0 V
9	 240.0 mV	 -70.0900 uA	 68.55 ms	 0 V
10	 270.0 mV	 -61.3840 uA	 74.69 ms	 0 V
11	 300.0 mV	 -53.0580 uA	 80.91 ms	 0 V
12	 330.0 mV	 -45.0900 uA	 87.07 ms	 0 V
13	 360.0 mV	 -37.5880 uA	 93.25 ms	 0 V
14	 390.0 mV	 -30.5920 uA	 99.37 ms	 0 V
15	 420.0 mV	 -24.2820 uA	 105.31 ms	 0 V
16	 450.0 mV	 -18.6540 uA	 110.49 ms	 0 V
17	 480.0 mV	 -13.7840 uA	 116.69 ms	 0 V
18	 510.0 mV	 -9.76310 uA	 129.22 ms	 0 V
19	 540.0 mV	 -6.53290 uA	 134.90 ms	 0 V
20	 570.0 mV	 -4.10740 uA	 140.51 ms	 0 V
21	 600.0 mV	 -2.41170 uA	 148.04 ms	 0 V
22	 630.0 mV	 -1.29900 uA	 153.67 ms	 0 V
23	 660.0 mV	 -641.420 nA	 169.72 ms	 0 V
24	 690.0 mV	 -285.300 nA	 175.08 ms	 0 V
25	 720.0 mV	 -108.760 nA	 182.96 ms	 0 V
26	 750.0 mV	 -33.5450 nA	 197.24 ms	 0 V
27	 780.0 mV	 -8.53880 nA	 235.07 ms	 0 V
28	 810.0 mV	 -989.40 pA	 242.90 ms	 0 V
29	 840.0 mV	 590.00 pA	 250.29 ms	 0 V
30	 870.0 mV	 -1.48930 nA	 258.45 ms	 0 V
31	 900.0 mV	 1.36750 nA	 266.62 ms	 0 V
32	 930.0 mV	 -1.56950 nA	 276.13 ms	 0 V
33	 960.0 mV	 1.56240 nA	 287.83 ms	 0 V
34	 990.0 mV	 -1.57800 nA	 296.04 ms	 0 V
35	 1.0200 V	 1.29460 nA	 305.97 ms	 0 V
36	 1.0500 V	 -1.55280 nA	 316.58 ms	 0 V
37	 1.0800 V	 1.47740 nA	 327.17 ms	 0 V
38	 1.1100 V	 -1.54030 nA	 336.33 ms	 0 V
39	 1.1400 V	 1.43050 nA	 346.87 ms	 0 V
40	 1.1700 V	 -1.56250 nA	 356.10 ms	 0 V
41	 1.2000 V	 1.37750 nA	 366.67 ms	 0 V
42	 0 V	 -143.860 uA	 487.96 ms	 100.00 mV
43	 30.0 mV	 -134.080 uA	 494.67 ms	 100.00 mV
44	 60.0 mV	 -124.400 uA	 500.87 ms	 100.00 mV
45	 90.0 mV	 -114.740 uA	 507.03 ms	 100.00 mV
46	 120.0 mV	 -105.180 uA	 513.20 ms	 100.00 mV
