file_path,temperature,device,device_index,vd_V,vth_traditional_V,vth_sqrt_V,gm_traditional_A_per_V,gm_sqrt_A_per_V,idx_traditional,idx_sqrt,num_points,vth_diff_V,vth_diff_percent
./chip3/115K/Nmos/2.txt,115K,nmos,2,0.1,0.6856374807987716,0.5203301241500508,0.00013020000000000024,0.014190977904693813,32,26,41,-0.16530735664872087,-24.110023340050905
./chip3/115K/Nmos/3.txt,115K,nmos,3,0.1,0.6307815246923448,0.49119215236545444,0.004171333333333339,0.0870252347331194,28,24,41,-0.1395893723268904,-22.129591128239404
./chip3/115K/Nmos/4.txt,115K,nmos,4,0.1,0.6538008048289737,0.5291221019258807,0.0016566666666666648,0.058672246862829874,29,23,41,-0.12467870290309302,-19.069830135144517
./chip3/115K/Pmos/1.txt,115K,pmos,1,1.1,-0.6446787889976006,-0.5079711587879018,3.611333333333341e-05,0.0082332213539331,11,16,41,0.13670763020969878,21.20554182064265
./chip3/115K/Pmos/2.txt,115K,pmos,2,1.1,-0.6603053435114506,-0.5333502565800892,7.860000000000015e-05,0.012579365072470913,11,16,41,0.12695508693136148,19.22672414798653
./chip3/115K/Pmos/4.txt,115K,pmos,4,1.1,-0.6366666666666669,-0.5161739723756522,0.0007980000000000014,0.04129669210096913,11,17,41,0.12049269429101472,18.925554077122722
./chip3/140K/Nmos/3.txt,140K,nmos,3,0.1,0.6204326250159057,0.4790746202836905,0.003929500000000006,0.0838757451463738,28,23,41,-0.14135800473221516,-22.783780064530173
./chip3/140K/Nmos/4.txt,140K,nmos,4,0.1,0.6441531728665204,0.5152637077605807,0.0015233333333333314,0.05532073563638007,29,23,41,-0.12888946510593968,-20.009133003626108
./chip3/140K/Pmos/1.txt,140K,pmos,1,1.1,-0.6255081057816458,-0.48524644298652503,3.485166666666665e-05,0.007933927726326808,12,17,41,0.1402616627951208,22.423636320403457
./chip3/140K/Pmos/2.txt,140K,pmos,2,1.1,-0.641984021304927,-0.5098844981421524,7.510000000000009e-05,0.012066615227775909,11,17,41,0.13209952316277462,20.57676184747759
./chip3/140K/Pmos/4.txt,140K,pmos,4,1.1,-0.6124104234527689,-0.48959965954509505,0.0007163333333333344,0.03884862384056027,13,18,41,0.12281076390767381,20.05366976206364
./chip3/185K/Nmos/3.txt,185K,nmos,3,0.1,0.601864682520695,0.4534242979371329,0.003483166666666669,0.0771582481860994,26,22,40,-0.14844038458356212,-24.663415032407723
./chip3/185K/Nmos/4.txt,185K,nmos,4,0.1,0.6200544127405438,0.4809959823568544,0.001255833333333332,0.04834892558418423,29,22,41,-0.13905843038368942,-22.426810861497273
./chip3/185K/Pmos/1.txt,185K,pmos,1,1.1,-0.5908033728208576,-0.4406976756787352,3.2218333333333316e-05,0.007391424202919657,12,18,41,0.1501056971421224,25.40704810560335
./chip3/185K/Pmos/2.txt,185K,pmos,2,1.1,-0.6044671532846713,-0.4643927727684722,6.849999999999993e-05,0.011203750687812652,12,17,41,0.14007438051619908,23.17319969414974
./chip3/185K/Pmos/4.txt,185K,pmos,4,1.1,-0.5709858356940514,-0.43809280892655184,0.0005883333333333344,0.03375731434624561,13,19,41,0.13289302676749953,23.27431233140203
./chip3/220K/Nmos/4.txt,220K,nmos,4,0.1,0.6032485262178097,0.46217780372952544,0.0010743333333333343,0.04501123578161362,28,20,41,-0.14107072248828423,-23.38517482549954
./chip3/220K/Pmos/1.txt,220K,pmos,1,1.1,-0.5932924367137757,-0.4547156040302217,3.219500000000007e-05,0.007965417068351688,13,18,40,0.13857683268355403,23.357255900838013
./chip3/220K/Pmos/2.txt,220K,pmos,2,1.1,-0.5807255520504737,-0.45290978951728744,6.340000000000013e-05,0.011714237245169849,11,20,40,0.12781576253318627,22.009667403454838
./chip3/220K/Pmos/4.txt,220K,pmos,4,1.1,-0.5452072538860107,-0.41003486599086675,0.0005146666666666672,0.03148896653395103,13,20,40,0.1351723878951439,24.792844726788083
./chip3/295K/Nmos/2.txt,295K,nmos,2,0.1,0.589883232134517,0.40588650458486,7.136666666666681e-05,0.00995489866684271,28,23,38,-0.183996727549657,-31.192059296864095
./chip3/295K/Nmos/3.txt,295K,nmos,3,0.1,0.5419958419958417,0.38402097259317786,0.0024851666666666633,0.06311440045596406,26,21,41,-0.15797486940266386,-29.146878474369526
./chip3/295K/Nmos/4.txt,295K,nmos,4,0.1,0.5464879356568366,0.39407163481239493,0.0007460000000000006,0.03564822580029417,27,20,41,-0.1524163008444417,-27.890149242041172
./chip3/295K/Pmos/1.txt,295K,pmos,1,1.1,-0.5186251204625765,-0.3494473241518435,2.5941666666666683e-05,0.006271776212591267,14,21,41,0.169177796310733,32.62044001259301
./chip3/295K/Pmos/2.txt,295K,pmos,2,1.1,-0.5165454545454543,-0.3663216428944246,5.316666666666661e-05,0.009522543556194713,15,21,41,0.15022381165102972,29.082399298861805
./chip3/85K/Pmos/1.txt,85K,pmos,1,1.1,-0.6629335494327385,-0.5274764015263106,3.701999999999994e-05,0.008357214264612996,10,15,41,0.13545714790642793,20.432990308355404
./chip3/85K/Pmos/2.txt,85K,pmos,2,1.1,-0.6810184804928128,-0.5593835171577664,8.116666666666656e-05,0.013050231319395728,10,15,41,0.12163496333504642,17.86074340405952
./chip3/85K/Pmos/3.txt,85K,pmos,3,1.1,-0.6648125937031487,-0.5471948762464756,0.0008893333333333349,0.04413384481722164,11,17,41,0.11761771745667315,17.69186061917348
