file_path,chip,temperature,device_index,vds,method,vth,gm_max,idx,num_points
./chip4/185K/Nmos/3.txt,chip4,185K,3,1.2,sqrt,0.45031445594813135,0.1160520660454129,23,41
./chip4/185K/Nmos/4.txt,chip4,185K,4,0.1,traditional,0.6196820349761525,0.0012579999999999987,29,41
./chip4/185K/Nmos/4.txt,chip4,185K,4,1.2,sqrt,0.513227020477484,0.07091811946013177,26,41
./chip4/220K/Nmos/1.txt,chip4,220K,1,0.1,traditional,0.6018471910112361,7.416666666666672e-05,28,41
./chip4/220K/Nmos/1.txt,chip4,220K,1,1.2,sqrt,0.43254417836871195,0.01611474775844428,24,41
./chip4/220K/Nmos/2.txt,chip4,220K,2,0.1,traditional,0.6378407526388249,0.00014526666666666644,29,41
./chip4/220K/Nmos/2.txt,chip4,220K,2,1.2,sqrt,0.4659548561459475,0.022569279316647414,25,41
./chip4/220K/Nmos/3.txt,chip4,220K,3,0.1,traditional,0.5929041916167668,0.0031173333333333365,27,41
./chip4/220K/Nmos/3.txt,chip4,220K,3,1.2,sqrt,0.4350372130187137,0.11071489195014406,23,41
./chip4/220K/Nmos/4.txt,chip4,220K,4,0.1,traditional,0.5992636321267676,0.0010728333333333354,28,41
./chip4/220K/Nmos/4.txt,chip4,220K,4,1.2,sqrt,0.49237345110058073,0.06541367579679094,25,41
./chip4/295K/Nmos/1.txt,chip4,295K,1,0.1,traditional,0.561482219061166,5.8583333333333285e-05,29,41
./chip4/295K/Nmos/1.txt,chip4,295K,1,1.2,sqrt,0.3905063345437027,0.014444658362551988,23,41
./chip4/295K/Nmos/2.txt,chip4,295K,2,0.1,traditional,0.5886089552238801,0.00011166666666666649,29,41
./chip4/295K/Nmos/2.txt,chip4,295K,2,1.2,sqrt,0.4231239207047109,0.02016353933645937,25,41
./chip4/295K/Nmos/3.txt,chip4,295K,3,0.1,traditional,0.5515711694767244,0.0024811666666666628,26,41
./chip4/295K/Nmos/3.txt,chip4,295K,3,1.2,sqrt,0.3920608506451955,0.0981913766744299,22,41
./chip4/295K/Nmos/4.txt,chip4,295K,4,0.1,traditional,0.5496888694127963,0.0007606666666666677,28,41
./chip4/295K/Nmos/4.txt,chip4,295K,4,1.2,sqrt,0.44154923391556616,0.054862792152101214,25,41
./chip4/85K/Nmos/1.txt,chip4,85K,1,0.1,traditional,0.6439530332681016,0.00010219999999999988,30,41
./chip4/85K/Nmos/1.txt,chip4,85K,1,1.2,sqrt,0.4770371261638833,0.018520804650263956,25,41
./chip4/85K/Nmos/2.txt,chip4,85K,2,0.1,traditional,0.6853750826173167,0.00020173333333333332,31,41
./chip4/85K/Nmos/2.txt,chip4,85K,2,1.2,sqrt,0.5107103733453237,0.026138694238523205,24,41
./chip4/85K/Nmos/3.txt,chip4,85K,3,0.1,traditional,0.6418526266852629,0.0043020000000000055,28,41
./chip4/85K/Nmos/3.txt,chip4,85K,3,1.2,sqrt,0.4870181531106995,0.13267700248046288,23,41
