file_path,temperature,device,device_index,vd_V,vth_traditional_V,vth_sqrt_V,gm_traditional_A_per_V,gm_sqrt_A_per_V,vth_diff_V,vth_diff_percent,num_points
./chip3/115K/Nmos/2.txt,115K,nmos,2,0.1,0.6856374807987716,0.5203301241500508,0.00013020000000000024,0.014190977904693813,-0.16530735664872087,-24.110023340050905,41
./chip3/115K/Nmos/2.txt,115K,nmos,2,0.2,0.719591099977897,0.5354799105881181,0.00022621666666666643,0.01775167705523502,-0.184111189389779,-25.585528975474286,41
./chip3/115K/Nmos/2.txt,115K,nmos,2,0.3,0.7404016963128751,0.5382379112761633,0.00028296666666666626,0.01903505704876962,-0.20216378503671184,-27.304608571734352,41
./chip3/115K/Nmos/2.txt,115K,nmos,2,0.4,0.7521921858500537,0.538956748161411,0.0003156666666666672,0.019704208840179385,-0.21323543768864262,-28.34853135939785,41
./chip3/115K/Nmos/2.txt,115K,nmos,2,0.5,0.7606673306772908,0.5382396898294328,0.00033466666666666654,0.02015105770204871,-0.22242764084785793,-29.24111919593162,41
./chip3/115K/Nmos/2.txt,115K,nmos,2,0.6,0.7616129032258061,0.526677519479187,0.0003461666666666665,0.019850681700342238,-0.23493538374661915,-30.847085540640396,41
./chip3/115K/Nmos/2.txt,115K,nmos,2,0.7000000000000001,0.7939341421143838,0.5243166709019237,0.0003846666666666659,0.020068807170174036,-0.26961747121246016,-33.95967712062643,41
./chip3/115K/Nmos/2.txt,115K,nmos,2,0.8,0.7572701949860718,0.5227532355051979,0.0003589999999999995,0.02030243694819707,-0.23451695948087392,-30.96872965998448,41
./chip3/115K/Nmos/2.txt,115K,nmos,2,0.9,0.7599000000000005,0.5182972581518881,0.0003666666666666671,0.02029016030285853,-0.24160274184811237,-31.794017877103858,41
./chip3/115K/Nmos/2.txt,115K,nmos,2,1.0,0.7489051094890525,0.516955111222139,0.0003653333333333347,0.020492879778404374,-0.23194999826691354,-30.971880860201846,41
./chip3/115K/Nmos/2.txt,115K,nmos,2,1.1,0.7475837104072408,0.5142025072729379,0.00036833333333333423,0.020596799289220202,-0.23338120313430288,-31.21806961352464,41
./chip3/115K/Nmos/2.txt,115K,nmos,2,1.2,0.7482887700534753,0.5117297180774005,0.0003739999999999994,0.02069128100993879,-0.23655905197607474,-31.613337182538427,41
./chip3/115K/Nmos/3.txt,115K,nmos,3,0.1,0.6307815246923448,0.49119215236545444,0.004171333333333339,0.0870252347331194,-0.1395893723268904,-22.129591128239404,41
./chip3/115K/Nmos/3.txt,115K,nmos,3,0.2,0.6534232954545451,0.5002993994992593,0.007039999999999994,0.10806596133778634,-0.15312389595528586,-23.434104204804527,41
./chip3/115K/Nmos/3.txt,115K,nmos,3,0.3,0.6685023696682465,0.5004065293407993,0.008791666666666663,0.11564332233937602,-0.16809584032744718,-25.14513754242443,41
./chip3/115K/Nmos/3.txt,115K,nmos,3,0.4,0.6762591520517619,0.49939935897369525,0.009788333333333323,0.11986392309593735,-0.17685979307806665,-26.152665371178525,41
./chip3/115K/Nmos/3.txt,115K,nmos,3,0.5,0.6786080231996126,0.49465364574743953,0.01034499999999998,0.1212581412528756,-0.18395437745217302,-27.107604266868922,41
./chip3/115K/Nmos/3.txt,115K,nmos,3,0.6,0.6778896508728176,0.4909122778427429,0.010693333333333326,0.12275127856838264,-0.18697737303007472,-27.582272835900625,41
./chip3/115K/Nmos/3.txt,115K,nmos,3,0.7000000000000001,0.6751992062280565,0.4870012240512341,0.010918333333333322,0.12379193841101788,-0.18819798217682243,-27.872956668325276,41
./chip3/115K/Nmos/3.txt,115K,nmos,3,0.8,0.672126220886552,0.4831752068873637,0.01109166666666668,0.12474273852870282,-0.18895101399918834,-28.112430095340873,41
./chip3/115K/Nmos/3.txt,115K,nmos,3,0.9,0.6679559982161438,0.4791314925060006,0.011211666666666661,0.1255403507025471,-0.1888245057101432,-28.269003679047955,41
./chip3/115K/Nmos/3.txt,115K,nmos,3,1.0,0.6638521572669706,0.4750660031540536,0.01131833333333332,0.1259805837762572,-0.18878615411291694,-28.437981566578824,41
./chip3/115K/Nmos/3.txt,115K,nmos,3,1.1,0.6596668128014029,0.47185537311213177,0.011404999999999998,0.12680526461730424,-0.18781143968927116,-28.470651553879676,41
./chip3/115K/Nmos/3.txt,115K,nmos,3,1.2,0.6571828951170182,0.468247721798391,0.011536666666666667,0.127499519722161,-0.1889351733186272,-28.749253019585257,41
./chip3/115K/Nmos/4.txt,115K,nmos,4,0.1,0.6538008048289737,0.5291221019258807,0.0016566666666666648,0.058672246862829874,-0.12467870290309302,-19.069830135144517,41
./chip3/115K/Nmos/4.txt,115K,nmos,4,0.2,0.6941574279379158,0.5475306878780192,0.003006666666666666,0.07268922169657738,-0.14662674005989662,-21.122980776200908,41
./chip3/115K/Nmos/4.txt,115K,nmos,4,0.3,0.7251956220908289,0.5525393266292495,0.003974499999999999,0.07705812224797565,-0.17265629546157935,-23.808237419275898,41
./chip3/115K/Nmos/4.txt,115K,nmos,4,0.4,0.7483880274071397,0.5534447255899404,0.004621666666666659,0.0787983011335408,-0.19494330181719932,-26.048426040779756,41
./chip3/115K/Nmos/4.txt,115K,nmos,4,0.5,0.7646618037135289,0.5537099378534883,0.005026666666666683,0.0796874177395529,-0.21095186586004055,-27.587603413112426,41
./chip3/115K/Nmos/4.txt,115K,nmos,4,0.6,0.7717834394904453,0.5530382751842711,0.005233333333333326,0.08024418415149365,-0.2187451643061742,-28.342816535503324,41
