device,temperature,vds,vth,dvth_dt
nmos,85.0,0.1,0.6557501,-0.00013816393939393898
nmos,115.0,0.1,0.6516051818181818,-0.00033383121212121267
nmos,140.0,0.1,0.639183,-0.0004747568975469012
nmos,185.0,0.1,0.6196115,-0.00042101865079365204
nmos,220.0,0.1,0.6052543333333333,-0.00046395424767151864
nmos,295.0,0.1,0.5618194545454546,-0.000579131717171717
nmos,85.0,0.2,0.6823675,-5.159848484848443e-05
nmos,115.0,0.2,0.6808195454545455,-0.00025827739393939446
nmos,140.0,0.2,0.6700568,-0.00039652774025974134
nmos,185.0,0.2,0.6549655999999999,-0.00033776535714285724
nmos,220.0,0.2,0.6430783333333333,-0.0003928330316148466
nmos,295.0,0.2,0.6050663636363637,-0.0005068262626262617
nmos,85.0,0.3,0.7018003,-3.586757575757549e-05
nmos,115.0,0.3,0.7007242727272728,-0.00018886066666666708
nmos,140.0,0.3,0.6928154,-0.00030239244155844374
nmos,185.0,0.3,0.6803387,-0.000249503571428571
nmos,220.0,0.3,0.6723616666666667,-0.0002949483418601584
nmos,295.0,0.3,0.6394673636363636,-0.00043859070707070883
nmos,85.0,0.4,0.7139997,3.3076666666668565e-05
nmos,115.0,0.4,0.7149920000000001,-0.00015630987878787785
nmos,140.0,0.4,0.7071387,-0.0002700769206349235
nmos,185.0,0.4,0.6985536999999999,-0.00015894617063492295
nmos,220.0,0.4,0.6938571111111111,-0.00020885064454064222
nmos,295.0,0.4,0.6661940000000001,-0.0003688414814814811
nmos,85.0,0.5,0.7200211999999999,6.785393939393962e-05
nmos,115.0,0.5,0.7220568181818181,-0.00010900569696969606
nmos,140.0,0.5,0.7156471,-0.00021313084848484723
nmos,185.0,0.5,0.7095601,-7.042541666666888e-05
nmos,220.0,0.5,0.7088603333333333,-0.00011654287419651105
nmos,295.0,0.5,0.6846027272727273,-0.00032343474747474675
nmos,85.0,0.6,0.7223627,8.166757575757503e-05
nmos,115.0,0.6,0.7248127272727273,-8.293133333333452e-05
nmos,140.0,0.6,0.7193103,-0.00017011876479076492
nmos,185.0,0.6,0.7157032,-7.031170634922215e-06
nmos,220.0,0.6,0.7174477777777777,-4.5155814421269855e-05
nmos,295.0,0.6,0.6987930909090909,-0.0002487291582491569
nmos,85.0,0.7,0.7218511999999999,0.00019239939393939459
nmos,115.0,0.7,0.7276231818181818,-7.465660606060381e-05
nmos,140.0,0.7,0.7201931,-0.00021244496103895762
nmos,185.0,0.7,0.7174985,2.088017857142764e-05
nmos,220.0,0.7,0.7204277777777778,-2.5524405527133434e-05
nmos,295.0,0.7,0.7009605454545454,-0.00025956309764309774
nmos,85.0,0.8,0.7195688,0.00011532181818181645
nmos,115.0,0.8,0.7230284545454545,-4.8358181818180385e-05
nmos,140.0,0.8,0.7184095,-0.0001407866089466062
nmos,185.0,0.8,0.7156358,5.165275793650795e-05
nmos,220.0,0.8,0.7205276666666667,2.3659942279942968e-05
nmos,295.0,0.8,0.703642,-0.0002251422222222225
nmos,85.0,0.9,0.7174927,0.00011528272727272526
nmos,115.0,0.9,0.7209511818181817,-5.256781818181906e-05
nmos,140.0,0.9,0.7161401,-0.00014082226262626327
nmos,185.0,0.9,0.7139844,4.063359126984037e-05
nmos,220.0,0.9,0.7178167777777777,-1.8463693209126199e-06
nmos,295.0,0.9,0.6997839090909092,-0.00024043824915824795
nmos,85.0,1.0,0.7137303,0.00015648393939393657
nmos,115.0,1.0,0.7184248181818181,-3.278478787878923e-05
nmos,140.0,1.0,0.7136621,-0.00013156116594516439
nmos,185.0,1.0,0.7125166,3.615712301587026e-05
nmos,220.0,1.0,0.7154593333333333,-1.859516463334791e-05
nmos,295.0,1.0,0.6975636363636363,-0.00023860929292929416
nmos,85.0,1.1,0.7131429,7.497909090909231e-05
nmos,115.0,1.1,0.7153922727272728,-1.1847454545455688e-05
nmos,140.0,1.1,0.7132872,-8.705266378066477e-05
nmos,185.0,1.1,0.709139,2.97238492063482e-05
nmos,220.0,1.1,0.7134978888888889,9.02733482006186e-06
nmos,295.0,1.1,0.6956104545454544,-0.0002384991245791257
nmos,85.0,1.2,0.711796,5.9018181818182305e-05
nmos,115.0,1.2,0.7135665454545455,-5.7898909090905656e-05
nmos,140.0,1.2,0.7096833,-0.0001289747243867238
nmos,185.0,1.2,0.7060142,4.5869623015871996e-05
nmos,220.0,1.2,0.711087888888889,2.4662478464297644e-05
nmos,295.0,1.2,0.6936036363636364,-0.00023312336700336721
pmos,85.0,0.1,-0.7601716363636364,0.00019373333333333465
pmos,115.0,0.1,-0.7543596363636363,0.00015309862258952936
pmos,140.0,0.1,-0.7513787272727274,0.00019036695526695492
pmos,185.0,0.1,-0.7370506363636363,0.00033813367604617825
pmos,220.0,0.1,-0.7246788181818181,0.0003534982495080677
pmos,295.0,0.1,-0.6981636,0.00035353624242424165
pmos,85.0,0.2,-0.7624345454545455,0.00023177272727272768
pmos,115.0,0.2,-0.7554813636363636,0.00019287785123967352
pmos,140.0,0.2,-0.7514697272727272,0.00021120614718614806
