temperature,device_label,abe_avg_V,abe_std_V,daniele_avg_V,daniele_std_V,delta_avg_V,delta_std_V,status
85.0,nmos1,0.6389055,0.007138242956078173,0.6403,0.0059,-0.0013944999999999652,0.0012382429560781729,PASS
115.0,nmos1,0.6330955,0.011557660338494119,0.6343,0.0091,-0.0012044999999999417,0.0024576603384941186,PASS
140.0,nmos1,0.625191,0.011159559220686184,0.6266,0.0109,-0.0014089999999999936,0.0002595592206861841,PASS
185.0,nmos1,0.608634,0.011022380505135857,0.6096,0.0112,-0.0009660000000000224,-0.0001776194948641431,PASS
220.0,nmos1,0.5920505,0.013854343163788006,0.594,0.0124,-0.0019494999999999374,0.001454343163788006,PASS
295.0,nmos1,0.55434,0.010100313262468737,0.5548,0.0113,-0.00045999999999990493,-0.001199686737531262,PASS
85.0,nmos2,0.679678,0.008056774664839454,0.6614,0.024,0.018278000000000016,-0.015943225335160547,FAIL
115.0,nmos2,0.677094,0.009628147225712784,0.6555,0.0209,0.021594000000000002,-0.011271852774287215,FAIL
140.0,nmos2,0.6648015,0.009057330760218498,0.6477,0.019,0.01710149999999999,-0.009942669239781501,FAIL
185.0,nmos2,0.6462695,0.009269462794574438,0.6298,0.0174,0.016469500000000026,-0.00813053720542556,FAIL
220.0,nmos2,0.633764,0.005765748693795104,0.6149,0.0173,0.018863999999999992,-0.011534251306204895,FAIL
295.0,nmos2,0.5885556666666667,0.0013547875602224113,0.5755,0.0179,0.013055666666666688,-0.01654521243977759,FAIL
85.0,nmos3,0.6462315000000001,0.006192134082850568,0.646911279,0.0076859,-0.000679778999999936,-0.0014937659171494321,PASS
115.0,nmos3,0.6364653333333333,0.006192557818327838,0.640066838,0.005450655,-0.003601504666666644,0.0007419028183278378,PASS
140.0,nmos3,0.626903,0.006814290792151467,0.630120007,0.007081232,-0.0032170070000000495,-0.00026694120784853323,PASS
185.0,nmos3,0.6086383333333334,0.006640261842226893,0.611177134,0.007280167,-0.002538800666666563,-0.0006399051577731067,PASS
220.0,nmos3,0.5963605000000001,0.004888229178342605,0.594193227,0.007910687,0.0021672730000000806,-0.003022457821657395,PASS
295.0,nmos3,0.5512826666666667,0.00914590937705665,0.553876511,0.008361541,-0.002593844333333317,0.0007843683770566504,PASS
85.0,nmos4,0.6641425,0.0014813887065857872,0.668763346,0.001216612,-0.004620846000000012,0.00026477670658578726,PASS
115.0,nmos4,0.653596,0.0005622641727871463,0.65760062,0.00060949,-0.004004620000000014,-4.7225827212853686e-05,PASS
140.0,nmos4,0.643712,0.0010030538370396334,0.646341799,0.001316868,-0.0026297990000000437,-0.0003138141629603665,PASS
185.0,nmos4,0.620131,0.0004920396325500905,0.621242891,9.53673e-05,-0.001111890999999976,0.00039667233255009053,PASS
220.0,nmos4,0.6009796666666667,0.0020493819393498855,0.601229369,0.001242378,-0.0002497023333333237,0.0008070039393498856,PASS
295.0,nmos4,0.5506063333333333,0.004645433707775121,0.551173802,0.003640655,-0.0005674686666666817,0.0010047787077751206,PASS
85.0,pmos1,-0.6575893333333332,0.011071013744609542,-0.701000464,0.059567809,0.0434111306666668,-0.048496795255390454,FAIL
115.0,pmos1,-0.6386353333333333,0.010137202391850156,-0.683731036,0.064404846,0.045095702666666626,-0.05426764360814985,FAIL
140.0,pmos1,-0.6211593333333333,0.008282711230830912,-0.669114015,0.069756372,0.04795468166666672,-0.06147366076916909,FAIL
185.0,pmos1,-0.5841643333333333,0.007888949570971597,-0.638105209,0.080324982,0.05394087566666672,-0.07243603242902841,FAIL
220.0,pmos1,-0.5694673333333333,0.021706660391072025,-0.622620734,0.081387039,0.05315340066666663,-0.05968037860892797,FAIL
295.0,pmos1,-0.5084013333333334,0.010025269389564221,-0.572342741,0.099588908,0.06394140766666667,-0.08956363861043579,FAIL
85.0,pmos2,-0.6843300000000001,0.0031268247472475553,-0.692285538,0.004254225,0.007955537999999929,-0.001127400252752445,PASS
115.0,pmos2,-0.664087,0.003712566093687779,-0.670689915,0.005360156,0.006602914999999987,-0.0016475899063122207,PASS
140.0,pmos2,-0.6482,0.0056386767951355264,-0.653197471,0.006704562,0.004997471000000031,-0.0010658852048644734,PASS
185.0,pmos2,-0.6113783333333332,0.005986160065796183,-0.614338382,0.00607156,0.0029600486666667702,-8.53999342038175e-05,PASS
220.0,pmos2,-0.5852506666666667,0.003983354407196713,-0.587553936,0.006042768,0.0023032693333333576,-0.002059413592803287,PASS
295.0,pmos2,-0.5251513333333334,0.007453599957962134,-0.52760114,0.006861635,0.0024498066666666096,0.0005919649579621345,PASS
85.0,pmos3,-0.6351006666666666,0.02575567355619601,-0.624186998,0.001170412,-0.010913668666666654,0.02458526155619601,FAIL
115.0,pmos3,-0.5999565,0.0016496801205081576,-0.603458604,0.001957048,0.0035021039999999504,-0.0003073678794918422,PASS
140.0,pmos3,-0.583241,0.001098843937963934,-0.587256835,0.001177177,0.004015835000000023,-7.833306203606605e-05,PASS
185.0,pmos3,-0.548816,0.0012430937213260163,-0.553249201,0.001540104,0.004433200999999998,-0.00029701027867398374,PASS
