file_path,temperature,device,vd_V,vth_V,gm_max_A_per_V,gm_max_index,num_points,notes
/home/alberto/vthcalculator/chip3/115K/Pmos/2.txt,115K,pmos,0.7,-0.742656,0.000261033,2,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/2.txt,115K,pmos,0.8,-0.729875,0.000234033,5,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/2.txt,115K,pmos,0.9,-0.712196,0.000196833,8,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/2.txt,115K,pmos,1,-0.689672,0.000146267,10,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/2.txt,115K,pmos,1.1,-0.660305,7.86e-05,11,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/2.txt,115K,pmos,1.2,-0.552082,1.29013e-07,19,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/4.txt,115K,pmos,0.1,-0.787709,0.00311333,0,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/4.txt,115K,pmos,0.2,-0.787257,0.00308667,0,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/4.txt,115K,pmos,0.3,-0.78655,0.00305333,0,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/4.txt,115K,pmos,0.4,-0.783667,0.003,0,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/4.txt,115K,pmos,0.5,-0.7819,0.00294667,0,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/4.txt,115K,pmos,0.6,-0.775995,0.00284667,0,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/4.txt,115K,pmos,0.7,-0.761769,0.00266133,2,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/4.txt,115K,pmos,0.8,-0.740353,0.00238,4,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/4.txt,115K,pmos,0.9,-0.712935,0.00199433,7,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/4.txt,115K,pmos,1,-0.68,0.001478,10,41,
/home/alberto/vthcalculator/chip3/115K/Pmos/4.txt,115K,pmos,1.1,-0.636667,0.000798,11,41,
