file_path,temperature,device,vd_V,vth_V,gm_max_A_per_V,gm_max_index,num_points,notes
/home/alberto/vthcalculator/chip4/115K/Nmos/1.txt,115K,nmos,0.1,0.641268,9.84167e-05,29,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/1.txt,115K,nmos,0.2,0.673345,0.000167517,31,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/1.txt,115K,nmos,0.3,0.690193,0.000207167,32,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/1.txt,115K,nmos,0.4,0.703957,0.000233367,35,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/1.txt,115K,nmos,0.5,0.710026,0.000248333,37,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/1.txt,115K,nmos,0.6,0.711654,0.0002576,39,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/1.txt,115K,nmos,0.7,0.708098,0.00026235,39,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/1.txt,115K,nmos,0.8,0.705608,0.000266917,37,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/1.txt,115K,nmos,0.9,0.702052,0.000269667,38,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/1.txt,115K,nmos,1,0.70114,0.0002738,38,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/1.txt,115K,nmos,1.1,0.699772,0.000277333,40,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/1.txt,115K,nmos,1.2,0.695233,0.000279,38,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/2.txt,115K,nmos,0.1,0.678984,0.000192317,30,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/2.txt,115K,nmos,0.2,0.698823,0.000317517,32,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/2.txt,115K,nmos,0.3,0.716098,0.000395917,34,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/2.txt,115K,nmos,0.4,0.725578,0.000441,36,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/2.txt,115K,nmos,0.5,0.731708,0.0004685,37,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/2.txt,115K,nmos,0.6,0.733203,0.0004855,38,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/2.txt,115K,nmos,0.7,0.733744,0.000497667,40,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/2.txt,115K,nmos,0.8,0.729559,0.000503167,38,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/2.txt,115K,nmos,0.9,0.728571,0.000511,39,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/2.txt,115K,nmos,1,0.729462,0.00052,40,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/2.txt,115K,nmos,1.1,0.727086,0.000525,40,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/2.txt,115K,nmos,1.2,0.721123,0.000525333,40,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/3.txt,115K,nmos,0.1,0.635549,0.00410783,28,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/3.txt,115K,nmos,0.2,0.658373,0.00694333,30,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/3.txt,115K,nmos,0.3,0.672596,0.00863,31,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/3.txt,115K,nmos,0.4,0.681085,0.009635,33,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/3.txt,115K,nmos,0.5,0.683464,0.01019,33,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/3.txt,115K,nmos,0.6,0.683786,0.0105567,35,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/3.txt,115K,nmos,0.7,0.680535,0.010755,35,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/3.txt,115K,nmos,0.8,0.676813,0.010905,35,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/3.txt,115K,nmos,0.9,0.673825,0.011045,36,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/3.txt,115K,nmos,1,0.670045,0.01115,37,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/3.txt,115K,nmos,1.1,0.665271,0.0112217,37,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/3.txt,115K,nmos,1.2,0.662908,0.0113467,34,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/4.txt,115K,nmos,0.1,0.65296,0.00164983,29,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/4.txt,115K,nmos,0.2,0.693031,0.00299867,31,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/4.txt,115K,nmos,0.3,0.723485,0.00396,34,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/4.txt,115K,nmos,0.4,0.746986,0.00461167,35,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/4.txt,115K,nmos,0.5,0.763298,0.00502333,38,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/4.txt,115K,nmos,0.6,0.773004,0.00526,40,41,
/home/alberto/vthcalculator/chip4/115K/Nmos/4.txt,115K,nmos,0.7,0.774736,0.00535667,40,41,
