file_path,temperature,device,device_index,vd_V,vth_hybrid_V,vth_traditional_V,vth_sqrt_V,gm_hybrid_A_per_V,method_used,vds_threshold,num_points,vth_hybrid_vs_traditional_V,vth_hybrid_vs_sqrt_V
./chip3/115K/Nmos/2.txt,115K,nmos,2,0.1,0.6856374807987716,0.6856374807987716,0.5203301241500508,0.00013020000000000024,traditional,0.5,41,0.0,0.16530735664872087
./chip3/115K/Nmos/3.txt,115K,nmos,3,0.1,0.6307815246923448,0.6307815246923448,0.49119215236545444,0.004171333333333339,traditional,0.5,41,0.0,0.1395893723268904
./chip3/115K/Nmos/4.txt,115K,nmos,4,0.1,0.6538008048289737,0.6538008048289737,0.5291221019258807,0.0016566666666666648,traditional,0.5,41,0.0,0.12467870290309302
./chip3/115K/Pmos/1.txt,115K,pmos,1,1.1,-0.5079711587879018,-0.6446787889976006,-0.5079711587879018,0.0082332213539331,sqrt,0.5,41,0.13670763020969878,0.0
./chip3/115K/Pmos/2.txt,115K,pmos,2,1.1,-0.5333502565800892,-0.6603053435114506,-0.5333502565800892,0.012579365072470913,sqrt,0.5,41,0.12695508693136148,0.0
./chip3/115K/Pmos/4.txt,115K,pmos,4,1.1,-0.5161739723756522,-0.6366666666666669,-0.5161739723756522,0.04129669210096913,sqrt,0.5,41,0.12049269429101472,0.0
./chip3/140K/Nmos/3.txt,140K,nmos,3,0.1,0.6204326250159057,0.6204326250159057,0.4790746202836905,0.003929500000000006,traditional,0.5,41,0.0,0.14135800473221516
./chip3/140K/Nmos/4.txt,140K,nmos,4,0.1,0.6441531728665204,0.6441531728665204,0.5152637077605807,0.0015233333333333314,traditional,0.5,41,0.0,0.12888946510593968
./chip3/140K/Pmos/1.txt,140K,pmos,1,1.1,-0.48524644298652503,-0.6255081057816458,-0.48524644298652503,0.007933927726326808,sqrt,0.5,41,0.1402616627951208,0.0
./chip3/140K/Pmos/2.txt,140K,pmos,2,1.1,-0.5098844981421524,-0.641984021304927,-0.5098844981421524,0.012066615227775909,sqrt,0.5,41,0.13209952316277462,0.0
./chip3/140K/Pmos/4.txt,140K,pmos,4,1.1,-0.48959965954509505,-0.6124104234527689,-0.48959965954509505,0.03884862384056027,sqrt,0.5,41,0.12281076390767381,0.0
./chip3/185K/Nmos/3.txt,185K,nmos,3,0.1,0.601864682520695,0.601864682520695,0.4534242979371329,0.003483166666666669,traditional,0.5,40,0.0,0.14844038458356212
./chip3/185K/Nmos/4.txt,185K,nmos,4,0.1,0.6200544127405438,0.6200544127405438,0.4809959823568544,0.001255833333333332,traditional,0.5,41,0.0,0.13905843038368942
./chip3/185K/Pmos/1.txt,185K,pmos,1,1.1,-0.4406976756787352,-0.5908033728208576,-0.4406976756787352,0.007391424202919657,sqrt,0.5,41,0.1501056971421224,0.0
./chip3/185K/Pmos/2.txt,185K,pmos,2,1.1,-0.4643927727684722,-0.6044671532846713,-0.4643927727684722,0.011203750687812652,sqrt,0.5,41,0.14007438051619908,0.0
./chip3/185K/Pmos/4.txt,185K,pmos,4,1.1,-0.43809280892655184,-0.5709858356940514,-0.43809280892655184,0.03375731434624561,sqrt,0.5,41,0.13289302676749953,0.0
./chip3/220K/Nmos/4.txt,220K,nmos,4,0.1,0.6032485262178097,0.6032485262178097,0.46217780372952544,0.0010743333333333343,traditional,0.5,41,0.0,0.14107072248828423
./chip3/220K/Pmos/1.txt,220K,pmos,1,1.1,-0.4547156040302217,-0.5932924367137757,-0.4547156040302217,0.007965417068351688,sqrt,0.5,40,0.13857683268355403,0.0
./chip3/220K/Pmos/2.txt,220K,pmos,2,1.1,-0.45290978951728744,-0.5807255520504737,-0.45290978951728744,0.011714237245169849,sqrt,0.5,40,0.12781576253318627,0.0
./chip3/220K/Pmos/4.txt,220K,pmos,4,1.1,-0.41003486599086675,-0.5452072538860107,-0.41003486599086675,0.03148896653395103,sqrt,0.5,40,0.1351723878951439,0.0
./chip3/295K/Nmos/2.txt,295K,nmos,2,0.1,0.589883232134517,0.589883232134517,0.40588650458486,7.136666666666681e-05,traditional,0.5,38,0.0,0.183996727549657
./chip3/295K/Nmos/3.txt,295K,nmos,3,0.1,0.5419958419958417,0.5419958419958417,0.38402097259317786,0.0024851666666666633,traditional,0.5,41,0.0,0.15797486940266386
./chip3/295K/Nmos/4.txt,295K,nmos,4,0.1,0.5464879356568366,0.5464879356568366,0.39407163481239493,0.0007460000000000006,traditional,0.5,41,0.0,0.1524163008444417
./chip3/295K/Pmos/1.txt,295K,pmos,1,1.1,-0.3494473241518435,-0.5186251204625765,-0.3494473241518435,0.006271776212591267,sqrt,0.5,41,0.169177796310733,0.0
./chip3/295K/Pmos/2.txt,295K,pmos,2,1.1,-0.3663216428944246,-0.5165454545454543,-0.3663216428944246,0.009522543556194713,sqrt,0.5,41,0.15022381165102972,0.0
./chip3/85K/Pmos/1.txt,85K,pmos,1,1.1,-0.5274764015263106,-0.6629335494327385,-0.5274764015263106,0.008357214264612996,sqrt,0.5,41,0.13545714790642793,0.0
./chip3/85K/Pmos/2.txt,85K,pmos,2,1.1,-0.5593835171577664,-0.6810184804928128,-0.5593835171577664,0.013050231319395728,sqrt,0.5,41,0.12163496333504642,0.0
./chip3/85K/Pmos/3.txt,85K,pmos,3,1.1,-0.5471948762464756,-0.6648125937031487,-0.5471948762464756,0.04413384481722164,sqrt,0.5,41,0.11761771745667315,0.0
./chip4/115K/Nmos/1.txt,115K,nmos,1,0.1,0.6412684165961049,0.6412684165961049,0.49098151179718363,9.841666666666663e-05,traditional,0.5,41,0.0,0.15028690479892126
