file_path,chip,temperature,device_type,device_index,vds,method,vth,gm_max,idx,num_points
./data/raw/chip3/295K/Nmos/2.txt,chip3,295K,nmos,2,0.1,traditional,0.589883232134517,7.136666666666681e-05,28,38
./data/raw/chip3/295K/Nmos/2.txt,chip3,295K,nmos,2,1.2,sqrt,0.43012319483025524,0.01632435119042966,25,39
./data/raw/chip3/295K/Nmos/3.txt,chip3,295K,nmos,3,0.1,traditional,0.5419958419958417,0.0024851666666666633,26,41
./data/raw/chip3/295K/Nmos/3.txt,chip3,295K,nmos,3,1.2,sqrt,0.38082078608519854,0.09808403553480877,22,41
./data/raw/chip3/295K/Nmos/4.txt,chip3,295K,nmos,4,0.1,traditional,0.5464879356568366,0.0007460000000000006,27,41
./data/raw/chip3/295K/Nmos/4.txt,chip3,295K,nmos,4,1.2,sqrt,0.4377485012930095,0.05432825708841793,25,41
./data/raw/chip3/295K/Pmos/1.txt,chip3,295K,pmos,1,1.1,traditional,-0.5186251204625765,2.5941666666666683e-05,14,41
./data/raw/chip3/295K/Pmos/1.txt,chip3,295K,pmos,1,0.0,sqrt,-0.3783675466314667,0.010722748826119226,17,41
./data/raw/chip3/295K/Pmos/2.txt,chip3,295K,pmos,2,1.1,traditional,-0.5165454545454543,5.316666666666661e-05,15,41
./data/raw/chip3/295K/Pmos/2.txt,chip3,295K,pmos,2,0.0,sqrt,-0.3942006653350091,0.015682083385466103,17,41
./data/raw/chip3/85K/Nmos 85K/3.txt,chip3,85K,nmos,3,0.1,traditional,0.6357907109004742,0.004395833333333342,28,41
./data/raw/chip3/85K/Nmos 85K/3.txt,chip3,85K,nmos,3,1.2,sqrt,0.47328449375686177,0.13088317867376142,23,41
./data/raw/chip3/85K/Nmos 85K/4.txt,chip3,85K,nmos,4,0.1,traditional,0.6637950964855037,0.0017878333333333322,29,41
./data/raw/chip3/85K/Nmos 85K/4.txt,chip3,85K,nmos,4,1.2,sqrt,0.5601661051706314,0.08625469584086651,25,41
./data/raw/chip3/85K/Pmos/1.txt,chip3,85K,pmos,1,1.1,traditional,-0.6629335494327385,3.701999999999994e-05,10,41
./data/raw/chip3/85K/Pmos/1.txt,chip3,85K,pmos,1,0.0,sqrt,-0.5251650491065298,0.013762380595965192,14,41
