device_type,device_index,method,vds,temperature,vth,vth_ref_295k,vth_diff,temp_diff
nmos,1,sqrt,1.2,140.0,0.45938232582830224,0.3905063345437027,0.06887599128459954,-155.0
nmos,1,sqrt,1.2,185.0,0.447665764819882,0.3905063345437027,0.05715943027617931,-110.0
nmos,1,sqrt,1.2,85.0,0.4770371261638833,0.3905063345437027,0.08653079162018057,-210.0
nmos,1,sqrt,1.2,220.0,0.43254417836871195,0.3905063345437027,0.04203784382500925,-75.0
nmos,1,sqrt,1.2,115.0,0.4714677822466026,0.3905063345437027,0.08096144770289987,-180.0
nmos,1,sqrt,1.2,140.0,0.45421317415288703,0.3905063345437027,0.06370683960918433,-155.0
nmos,1,sqrt,1.2,185.0,0.4369155092497923,0.3905063345437027,0.04640917470608957,-110.0
nmos,1,sqrt,1.2,85.0,0.4713522550974261,0.3905063345437027,0.08084592055372342,-210.0
nmos,1,sqrt,1.2,220.0,0.4207965934436757,0.3905063345437027,0.030290258899973,-75.0
nmos,1,sqrt,1.2,115.0,0.4631492794561651,0.3905063345437027,0.07264294491246237,-180.0
nmos,1,traditional,0.1,140.0,0.633081896551724,0.561482219061166,0.07159967749055796,-155.0
nmos,1,traditional,0.1,185.0,0.6164279902359647,0.561482219061166,0.05494577117479871,-110.0
nmos,1,traditional,0.1,85.0,0.6439530332681016,0.561482219061166,0.08247081420693558,-210.0
nmos,1,traditional,0.1,220.0,0.6018471910112361,0.561482219061166,0.04036497195007005,-75.0
nmos,1,traditional,0.1,115.0,0.6412684165961049,0.561482219061166,0.07978619753493887,-180.0
nmos,1,traditional,0.1,140.0,0.6173001555209955,0.561482219061166,0.055817936459829465,-155.0
nmos,1,traditional,0.1,185.0,0.6008398299078668,0.561482219061166,0.03935761084670075,-110.0
nmos,1,traditional,0.1,85.0,0.6338583755649914,0.561482219061166,0.07237615650382534,-210.0
nmos,1,traditional,0.1,220.0,0.5822544508901784,0.561482219061166,0.020772231829012333,-75.0
nmos,1,traditional,0.1,115.0,0.6249232119350596,0.561482219061166,0.0634409928738936,-180.0
nmos,2,sqrt,1.2,115.0,0.5117297180774005,0.43012319483025524,0.08160652324714529,-180.0
nmos,2,sqrt,1.2,140.0,0.49530857737873624,0.43012319483025524,0.065185382548481,-155.0
nmos,2,sqrt,1.2,185.0,0.4793466227868667,0.43012319483025524,0.04922342795661144,-110.0
nmos,2,sqrt,1.2,85.0,0.5107103733453237,0.43012319483025524,0.08058717851506841,-210.0
nmos,2,sqrt,1.2,220.0,0.4659548561459475,0.43012319483025524,0.035831661315692265,-75.0
nmos,2,sqrt,1.2,115.0,0.5031351611484124,0.43012319483025524,0.07301196631815715,-180.0
nmos,2,sqrt,1.2,140.0,0.5034990999397745,0.43012319483025524,0.07337590510951925,-155.0
