device_type,device_index,temp_avg,method,vds,dvth_dt_mean,dvth_dt_std,dvth_dt_count,vth_low_mean,vth_high_mean,temp_low_mean,temp_high_mean
nmos,3,162.5,sqrt,1.2,-0.0004518990599710973,3.6126553276567064e-05,3,0.46704310296234414,0.44670764526364476,140.0,185.0
nmos,3,202.5,traditional,0.1,-0.00044755656196180857,1.3904523996343404e-05,2,0.6120251363039749,0.5963606566353117,185.0,220.0
nmos,3,202.5,sqrt,1.2,-0.0004357254730252954,1.084959331936541e-06,2,0.4515995841054886,0.43634919254960325,185.0,220.0
nmos,3,240.0,traditional,0.1,-0.0005442621865895755,,1,0.601864682520695,0.5419958419958417,185.0,295.0
nmos,3,240.0,sqrt,1.2,-0.0005100271044978046,,1,0.43692376757995705,0.38082078608519854,185.0,295.0
nmos,3,257.5,traditional,0.1,-0.0005391248764816499,1.6945227657802936e-05,2,0.5963606566353117,0.5559262908991879,220.0,295.0
nmos,3,257.5,sqrt,1.2,-0.0005507929454279259,3.1431206917605145e-05,2,0.43634919254960325,0.39503972164250883,220.0,295.0
nmos,4,100.0,traditional,0.1,-0.0003476893951498638,2.127279373777493e-05,3,0.6640264817046734,0.6535957998501775,85.0,115.0
nmos,4,100.0,sqrt,1.2,-0.000377226627039552,3.6469869345466084e-05,3,0.5606636933478423,0.5493468945366557,85.0,115.0
nmos,4,127.5,traditional,0.1,-0.00039534575616292445,1.7764482743305902e-05,3,0.6535957998501775,0.6437121559461044,115.0,140.0
nmos,4,127.5,sqrt,1.2,-0.0004638843042128501,4.1937830296918955e-05,3,0.5493468945366557,0.5377497869313345,115.0,140.0
nmos,4,162.5,traditional,0.1,-0.0005240243221727147,1.3964294444205727e-05,3,0.6437121559461044,0.6201310614483323,140.0,185.0
nmos,4,162.5,sqrt,1.2,-0.0005639927853214178,4.968393098948695e-05,3,0.5377497869313345,0.5123701115918707,140.0,185.0
nmos,4,202.5,traditional,0.1,-0.0005471951817669077,5.8108650356282256e-05,3,0.6201310614483323,0.6009792300864905,185.0,220.0
nmos,4,202.5,sqrt,1.2,-0.0006156686017947208,5.745289546514221e-05,3,0.5123701115918707,0.4908217105290555,185.0,220.0
nmos,4,257.5,traditional,0.1,-0.0006716391627805818,8.037770380564777e-05,3,0.6009792300864905,0.5506062928779468,220.0,295.0
nmos,4,257.5,sqrt,1.2,-0.0006576106055325992,1.7658235986508817e-05,3,0.4908217105290555,0.4415009151141105,220.0,295.0
pmos,1,100.0,traditional,1.1,0.0006317933180523503,5.009622362189722e-05,3,-0.6575890846356719,-0.6386352850941014,85.0,115.0
pmos,1,100.0,sqrt,0.0,0.0005790251239789009,2.562641889545904e-05,3,-0.5189190942858346,-0.5015483405664676,85.0,115.0
pmos,1,127.5,traditional,1.1,0.0006990358239599547,7.854548115926807e-05,3,-0.6386352850941014,-0.6211593894951024,115.0,140.0
pmos,1,127.5,sqrt,0.0,0.0005494043009503904,0.00011839060130607188,3,-0.5015483405664676,-0.4878132330427078,115.0,140.0
pmos,1,162.5,traditional,1.1,0.0008221146938753626,6.220563044472815e-05,3,-0.6211593894951024,-0.5841642282707111,140.0,185.0
pmos,1,162.5,sqrt,0.0,0.0007542448592062499,8.984344167277444e-05,3,-0.4878132330427078,-0.4538722143784266,140.0,185.0
pmos,1,202.5,traditional,1.1,0.0004199118520318153,0.00042696478926195354,3,-0.5841642282707111,-0.5694673134495977,185.0,220.0
pmos,1,202.5,sqrt,0.0,0.0012689825091114911,0.001023715938201509,3,-0.4538722143784266,-0.4094578265595244,185.0,220.0
pmos,1,257.5,traditional,1.1,0.0008142123597898605,0.00015939508413979656,3,-0.5694673134495977,-0.508401386465358,220.0,295.0
pmos,1,257.5,sqrt,0.0,0.0004536923552379976,0.0004623652820982803,3,-0.4094578265595244,-0.3754308999166746,220.0,295.0
