device_label,temperature,avg_vth_V,derivative_V_per_K
nmos1,85.0,0.6389055,-0.00019366666666666607
nmos1,115.0,0.6330955,-0.00026049212121212126
nmos1,140.0,0.625191,-0.0003346633333333312
nmos1,185.0,0.608634,-0.0004274913690476209
nmos1,220.0,0.5920505,-0.0004830391341991325
nmos1,295.0,0.55434,-0.0005028066666666664
nmos2,85.0,0.679678,-8.613333333333436e-05
nmos2,115.0,0.677094,-0.00030735151515151257
nmos2,140.0,0.6648015,-0.00046317222222221933
nmos2,185.0,0.6462695,-0.0003811534722222235
nmos2,220.0,0.633764,-0.0004354065656565656
nmos2,295.0,0.5885556666666667,-0.0006027777777777773
nmos3,85.0,0.6462315000000001,-0.0003255388888888914
nmos3,115.0,0.6364653333333333,-0.00035660494949495136
nmos3,140.0,0.626903,-0.00039084624338624283
nmos3,185.0,0.6086383333333333,-0.0003748954695767179
nmos3,220.0,0.5963605000000001,-0.000430417864357862
nmos3,295.0,0.5512826666666667,-0.0006010377777777783
nmos4,85.0,0.6641425,-0.0003515500000000005
nmos4,115.0,0.653596,-0.0003754463636363621
nmos4,140.0,0.643712,-0.0004413107936507947
nmos4,185.0,0.620131,-0.0005370490079365069
nmos4,220.0,0.6009796666666668,-0.0005867829725829704
nmos4,295.0,0.5506063333333333,-0.0006716444444444465
pmos1,85.0,-0.6575893333333332,0.0006317999999999971
pmos1,115.0,-0.6386353333333333,0.0006684763636363635
pmos1,140.0,-0.6211593333333333,0.0007429939682539683
pmos1,185.0,-0.5841643333333334,0.0005958753968253981
pmos1,220.0,-0.5694673333333333,0.0005453730735930748
pmos1,295.0,-0.5084013333333334,0.0008142133333333327
pmos2,85.0,-0.6843300000000001,0.0006747666666666707
pmos2,115.0,-0.664087,0.0006533375757575774
pmos2,140.0,-0.6482,0.0007007583068783067
pmos2,185.0,-0.6113783333333334,0.0007778973544973547
pmos2,220.0,-0.5852506666666667,0.0007639473881673863
pmos2,295.0,-0.5251513333333334,0.0008013244444444438
pmos3,85.0,-0.6351006666666668,0.0011714722222222252
pmos3,115.0,-0.5999565,0.000897189191919192
pmos3,140.0,-0.583241,0.0007030414285714281
pmos3,185.0,-0.548816,0.0007603392857142861
pmos3,220.0,-0.522331,0.0007513876190476183
pmos3,295.0,-0.466833,0.0007399733333333333
pmos4,85.0,-0.6648465,0.0009635055555555549
pmos4,115.0,-0.6359413333333334,0.0009070843434343407
pmos4,140.0,-0.6144396666666667,0.0008860931216931201
pmos4,185.0,-0.5724573333333334,0.0008717205026455045
pmos4,220.0,-0.5436136666666667,0.0008132518326118324
pmos4,295.0,-0.484364,0.0007899955555555553
