Index	Vg	Id	Time	Vd
1	 0 V	 -135.440 uA	 12.68 ms	 0 V
2	 30.0 mV	 -126.580 uA	 18.66 ms	 0 V
3	 60.0 mV	 -117.700 uA	 24.86 ms	 0 V
4	 90.0 mV	 -109.060 uA	 31.01 ms	 0 V
5	 120.0 mV	 -100.4560 uA	 43.73 ms	 0 V
6	 150.0 mV	 -92.1120 uA	 49.88 ms	 0 V
7	 180.0 mV	 -83.8860 uA	 56.00 ms	 0 V
8	 210.0 mV	 -75.8260 uA	 61.93 ms	 0 V
9	 240.0 mV	 -68.0740 uA	 67.06 ms	 0 V
10	 270.0 mV	 -60.3780 uA	 72.23 ms	 0 V
11	 300.0 mV	 -53.1760 uA	 78.66 ms	 0 V
12	 330.0 mV	 -46.1080 uA	 83.79 ms	 0 V
13	 360.0 mV	 -39.5660 uA	 88.93 ms	 0 V
14	 390.0 mV	 -33.2620 uA	 94.26 ms	 0 V
15	 420.0 mV	 -27.5780 uA	 100.85 ms	 0 V
16	 450.0 mV	 -22.3120 uA	 105.98 ms	 0 V
17	 480.0 mV	 -17.5180 uA	 112.66 ms	 0 V
18	 510.0 mV	 -13.4620 uA	 117.85 ms	 0 V
19	 540.0 mV	 -9.93550 uA	 132.49 ms	 0 V
20	 570.0 mV	 -7.14220 uA	 139.18 ms	 0 V
21	 600.0 mV	 -5.01940 uA	 145.87 ms	 0 V
22	 630.0 mV	 -3.29450 uA	 152.55 ms	 0 V
23	 660.0 mV	 -2.16190 uA	 159.19 ms	 0 V
24	 690.0 mV	 -1.35060 uA	 165.80 ms	 0 V
25	 720.0 mV	 -798.220 nA	 181.91 ms	 0 V
26	 750.0 mV	 -459.620 nA	 188.08 ms	 0 V
27	 780.0 mV	 -234.160 nA	 194.16 ms	 0 V
28	 810.0 mV	 -106.760 nA	 200.07 ms	 0 V
29	 840.0 mV	 -60.660 nA	 226.22 ms	 0 V
30	 870.0 mV	 -13.6962 nA	 240.52 ms	 0 V
31	 900.0 mV	 -7.0502 nA	 250.80 ms	 0 V
32	 930.0 mV	 -5.020 nA	 278.84 ms	 0 V
33	 960.0 mV	 3.47230 nA	 316.59 ms	 0 V
34	 990.0 mV	 -6.6372 nA	 349.39 ms	 0 V
35	 1.0200 V	 -3.2904 nA	 410.64 ms	 0 V
36	 1.0500 V	 -4.45780 nA	 447.01 ms	 0 V
37	 1.0800 V	 2.95820 nA	 456.09 ms	 0 V
38	 1.1100 V	 -641.60 pA	 464.22 ms	 0 V
39	 1.1400 V	 299.10 pA	 474.92 ms	 0 V
40	 1.1700 V	 -4.5660 nA	 509.08 ms	 0 V
41	 1.2000 V	 4.220 nA	 558.96 ms	 0 V
42	 0 V	 -132.800 uA	 679.01 ms	 100.00 mV
43	 30.0 mV	 -123.920 uA	 685.67 ms	 100.00 mV
44	 60.0 mV	 -115.320 uA	 691.81 ms	 100.00 mV
45	 90.0 mV	 -106.800 uA	 698.03 ms	 100.00 mV
46	 120.0 mV	 -98.3700 uA	 710.80 ms	 100.00 mV
47	 150.0 mV	 -90.1300 uA	 717.00 ms	 100.00 mV
48	 180.0 mV	 -81.9620 uA	 723.08 ms	 100.00 mV
49	 210.0 mV	 -74.1300 uA	 729.03 ms	 100.00 mV
50	 240.0 mV	 -66.3400 uA	 735.50 ms	 100.00 mV
51	 270.0 mV	 -58.9740 uA	 741.60 ms	 100.00 mV
52	 300.0 mV	 -51.8160 uA	 747.79 ms	 100.00 mV
53	 330.0 mV	 -44.8640 uA	 753.91 ms	 100.00 mV
54	 360.0 mV	 -38.4300 uA	 760.21 ms	 100.00 mV
55	 390.0 mV	 -32.3460 uA	 767.40 ms	 100.00 mV
56	 420.0 mV	 -26.6260 uA	 772.57 ms	 100.00 mV
57	 450.0 mV	 -21.5560 uA	 779.00 ms	 100.00 mV
58	 480.0 mV	 -16.8800 uA	 784.14 ms	 100.00 mV
59	 510.0 mV	 -12.9580 uA	 789.31 ms	 100.00 mV
60	 540.0 mV	 -9.56540 uA	 801.41 ms	 100.00 mV
61	 570.0 mV	 -6.87060 uA	 807.25 ms	 100.00 mV
62	 600.0 mV	 -4.74150 uA	 813.93 ms	 100.00 mV
63	 630.0 mV	 -3.20190 uA	 819.57 ms	 100.00 mV
64	 660.0 mV	 -2.06570 uA	 825.99 ms	 100.00 mV
65	 690.0 mV	 -1.30140 uA	 831.62 ms	 100.00 mV
66	 720.0 mV	 -797.800 nA	 846.86 ms	 100.00 mV
67	 750.0 mV	 -450.980 nA	 852.00 ms	 100.00 mV
68	 780.0 mV	 -228.060 nA	 858.76 ms	 100.00 mV
69	 810.0 mV	 -106.5102 nA	 873.13 ms	 100.00 mV
70	 840.0 mV	 -41.1040 nA	 901.43 ms	 100.00 mV
71	 870.0 mV	 -16.6652 nA	 911.97 ms	 100.00 mV
72	 900.0 mV	 -8.560 nA	 932.50 ms	 100.00 mV
73	 930.0 mV	 -2.21140 nA	 973.82 ms	 100.00 mV
