Index	Vg	Id	Time	Vd
1	 0 V	 -74.4160 uA	 19.25 ms	 0 V
2	 30.0 mV	 -69.4680 uA	 25.26 ms	 0 V
3	 60.0 mV	 -64.6160 uA	 31.45 ms	 0 V
4	 90.0 mV	 -59.8160 uA	 37.59 ms	 0 V
5	 120.0 mV	 -55.0200 uA	 43.75 ms	 0 V
6	 150.0 mV	 -50.3860 uA	 49.95 ms	 0 V
7	 180.0 mV	 -45.7940 uA	 56.16 ms	 0 V
8	 210.0 mV	 -41.2840 uA	 62.28 ms	 0 V
9	 240.0 mV	 -36.9340 uA	 68.50 ms	 0 V
10	 270.0 mV	 -32.6340 uA	 74.67 ms	 0 V
11	 300.0 mV	 -28.6060 uA	 80.87 ms	 0 V
12	 330.0 mV	 -24.7040 uA	 87.05 ms	 0 V
13	 360.0 mV	 -20.9360 uA	 93.18 ms	 0 V
14	 390.0 mV	 -17.5120 uA	 99.28 ms	 0 V
15	 420.0 mV	 -14.3180 uA	 105.47 ms	 0 V
16	 450.0 mV	 -11.4640 uA	 111.59 ms	 0 V
17	 480.0 mV	 -8.91120 uA	 125.27 ms	 0 V
18	 510.0 mV	 -6.71220 uA	 131.92 ms	 0 V
19	 540.0 mV	 -4.97050 uA	 138.53 ms	 0 V
20	 570.0 mV	 -3.52350 uA	 144.97 ms	 0 V
21	 600.0 mV	 -2.46520 uA	 150.62 ms	 0 V
22	 630.0 mV	 -1.63540 uA	 156.28 ms	 0 V
23	 660.0 mV	 -1.030120 uA	 171.82 ms	 0 V
24	 690.0 mV	 -591.340 nA	 177.00 ms	 0 V
25	 720.0 mV	 -289.080 nA	 182.13 ms	 0 V
26	 750.0 mV	 -136.440 nA	 187.69 ms	 0 V
27	 780.0 mV	 -46.200 nA	 214.31 ms	 0 V
28	 810.0 mV	 -21.2860 nA	 228.54 ms	 0 V
29	 840.0 mV	 -5.600 nA	 252.21 ms	 0 V
30	 870.0 mV	 3.85010 nA	 296.24 ms	 0 V
31	 900.0 mV	 -7.7160 nA	 326.56 ms	 0 V
32	 930.0 mV	 4.1474 nA	 337.63 ms	 0 V
33	 960.0 mV	 5.48550 nA	 377.95 ms	 0 V
34	 990.0 mV	 -5.9154 nA	 408.85 ms	 0 V
35	 1.0200 V	 -4.55160 nA	 449.79 ms	 0 V
36	 1.0500 V	 2.0244 nA	 480.20 ms	 0 V
37	 1.0800 V	 -695.8 pA	 490.98 ms	 0 V
38	 1.1100 V	 -6.4358 nA	 508.36 ms	 0 V
39	 1.1400 V	 1.97680 nA	 559.23 ms	 0 V
40	 1.1700 V	 -6.74050 nA	 566.81 ms	 0 V
41	 1.2000 V	 4.04530 nA	 575.74 ms	 0 V
42	 0 V	 -73.2300 uA	 709.34 ms	 100.00 mV
43	 30.0 mV	 -68.3600 uA	 715.99 ms	 100.00 mV
44	 60.0 mV	 -63.5340 uA	 722.12 ms	 100.00 mV
45	 90.0 mV	 -58.8200 uA	 728.30 ms	 100.00 mV
46	 120.0 mV	 -54.0860 uA	 734.46 ms	 100.00 mV
47	 150.0 mV	 -49.5120 uA	 740.58 ms	 100.00 mV
48	 180.0 mV	 -45.0080 uA	 746.68 ms	 100.00 mV
49	 210.0 mV	 -40.5220 uA	 752.65 ms	 100.00 mV
50	 240.0 mV	 -36.2520 uA	 758.76 ms	 100.00 mV
51	 270.0 mV	 -32.0440 uA	 764.94 ms	 100.00 mV
52	 300.0 mV	 -28.0660 uA	 771.09 ms	 100.00 mV
53	 330.0 mV	 -24.2060 uA	 777.19 ms	 100.00 mV
54	 360.0 mV	 -20.5100 uA	 783.14 ms	 100.00 mV
55	 390.0 mV	 -17.1720 uA	 788.33 ms	 100.00 mV
56	 420.0 mV	 -13.9760 uA	 793.53 ms	 100.00 mV
57	 450.0 mV	 -11.2060 uA	 798.68 ms	 100.00 mV
58	 480.0 mV	 -8.69070 uA	 811.79 ms	 100.00 mV
59	 510.0 mV	 -6.60220 uA	 817.42 ms	 100.00 mV
60	 540.0 mV	 -4.81870 uA	 824.21 ms	 100.00 mV
61	 570.0 mV	 -3.48170 uA	 829.87 ms	 100.00 mV
62	 600.0 mV	 -2.39890 uA	 835.71 ms	 100.00 mV
63	 630.0 mV	 -1.57710 uA	 842.00 ms	 100.00 mV
64	 660.0 mV	 -1.00900 uA	 847.62 ms	 100.00 mV
65	 690.0 mV	 -576.100 nA	 863.30 ms	 100.00 mV
66	 720.0 mV	 -297.240 nA	 869.45 ms	 100.00 mV
67	 750.0 mV	 -118.360 nA	 874.62 ms	 100.00 mV
68	 780.0 mV	 -52.2560 nA	 887.86 ms	 100.00 mV
69	 810.0 mV	 -10.4954 nA	 897.89 ms	 100.00 mV
70	 840.0 mV	 -7.6146 nA	 908.99 ms	 100.00 mV
71	 870.0 mV	 1.1164 nA	 920.41 ms	 100.00 mV
72	 900.0 mV	 -5.4636 nA	 967.23 ms	 100.00 mV
73	 930.0 mV	 -8.51070 nA	 1.00667 s	 100.00 mV
74	 960.0 mV	 4.12710 nA	 1.01589 s	 100.00 mV
75	 990.0 mV	 -303.10 pA	 1.02346 s	 100.00 mV
76	 1.0200 V	 -3.2072 nA	 1.10942 s	 100.00 mV
77	 1.0500 V	 4.9190 nA	 1.13747 s	 100.00 mV
78	 1.0800 V	 3.60580 nA	 1.17547 s	 100.00 mV
79	 1.1100 V	 -6.06040 nA	 1.18760 s	 100.00 mV
80	 1.1400 V	 3.60210 nA	 1.19539 s	 100.00 mV
81	 1.1700 V	 3.520 nA	 1.23601 s	 100.00 mV
82	 1.2000 V	 5.33630 nA	 1.27823 s	 100.00 mV
83	 0 V	 -71.9680 uA	 1.35629 s	 200.00 mV
84	 30.0 mV	 -67.1580 uA	 1.36323 s	 200.00 mV
85	 60.0 mV	 -62.4840 uA	 1.36947 s	 200.00 mV
86	 90.0 mV	 -57.7740 uA	 1.37556 s	 200.00 mV
87	 120.0 mV	 -53.2160 uA	 1.38150 s	 200.00 mV
88	 150.0 mV	 -48.6740 uA	 1.38781 s	 200.00 mV
89	 180.0 mV	 -44.1760 uA	 1.39404 s	 200.00 mV
90	 210.0 mV	 -39.8680 uA	 1.40016 s	 200.00 mV
91	 240.0 mV	 -35.6260 uA	 1.40610 s	 200.00 mV
92	 270.0 mV	 -31.4620 uA	 1.41223 s	 200.00 mV
93	 300.0 mV	 -27.5420 uA	 1.41856 s	 200.00 mV
94	 330.0 mV	 -23.7040 uA	 1.42474 s	 200.00 mV
95	 360.0 mV	 -20.1660 uA	 1.43087 s	 200.00 mV
96	 390.0 mV	 -16.8160 uA	 1.43817 s	 200.00 mV
97	 420.0 mV	 -13.6800 uA	 1.44331 s	 200.00 mV
98	 450.0 mV	 -10.9780 uA	 1.44850 s	 200.00 mV
99	 480.0 mV	 -8.55230 uA	 1.46091 s	 200.00 mV
100	 510.0 mV	 -6.47590 uA	 1.46750 s	 200.00 mV
101	 540.0 mV	 -4.71090 uA	 1.47405 s	 200.00 mV
102	 570.0 mV	 -3.38110 uA	 1.48047 s	 200.00 mV
103	 600.0 mV	 -2.36300 uA	 1.48737 s	 200.00 mV
104	 630.0 mV	 -1.53180 uA	 1.49303 s	 200.00 mV
105	 660.0 mV	 -980.90 nA	 1.50013 s	 200.00 mV
106	 690.0 mV	 -553.740 nA	 1.51594 s	 200.00 mV
107	 720.0 mV	 -276.320 nA	 1.52112 s	 200.00 mV
108	 750.0 mV	 -124.360 nA	 1.52630 s	 200.00 mV
109	 780.0 mV	 -41.5802 nA	 1.54018 s	 200.00 mV
110	 810.0 mV	 -14.5164 nA	 1.55111 s	 200.00 mV
111	 840.0 mV	 -8.2748 nA	 1.56840 s	 200.00 mV
112	 870.0 mV	 -7.08780 nA	 1.60872 s	 200.00 mV
113	 900.0 mV	 3.22220 nA	 1.61561 s	 200.00 mV
114	 930.0 mV	 1.48300 nA	 1.62235 s	 200.00 mV
115	 960.0 mV	 600.60 pA	 1.68295 s	 200.00 mV
116	 990.0 mV	 -4.59300 nA	 1.69060 s	 200.00 mV
117	 1.0200 V	 5.54120 nA	 1.69816 s	 200.00 mV
118	 1.0500 V	 -4.38040 nA	 1.70581 s	 200.00 mV
119	 1.0800 V	 104.20 pA	 1.71345 s	 200.00 mV
120	 1.1100 V	 4.24720 nA	 1.72102 s	 200.00 mV
121	 1.1400 V	 -3.09570 nA	 1.73162 s	 200.00 mV
122	 1.1700 V	 5.28380 nA	 1.73922 s	 200.00 mV
123	 1.2000 V	 -2.7266 nA	 1.76994 s	 200.00 mV
124	 0 V	 -70.4100 uA	 1.98113 s	 300.00 mV
125	 30.0 mV	 -65.7640 uA	 1.98785 s	 300.00 mV
126	 60.0 mV	 -61.0920 uA	 1.99402 s	 300.00 mV
127	 90.0 mV	 -56.5820 uA	 2.00025 s	 300.00 mV
128	 120.0 mV	 -52.0800 uA	 2.00642 s	 300.00 mV
129	 150.0 mV	 -47.5780 uA	 2.01262 s	 300.00 mV
130	 180.0 mV	 -43.2580 uA	 2.01884 s	 300.00 mV
131	 210.0 mV	 -38.9520 uA	 2.02504 s	 300.00 mV
132	 240.0 mV	 -34.8340 uA	 2.03117 s	 300.00 mV
133	 270.0 mV	 -30.7800 uA	 2.03731 s	 300.00 mV
134	 300.0 mV	 -26.8420 uA	 2.04327 s	 300.00 mV
135	 330.0 mV	 -23.1700 uA	 2.04990 s	 300.00 mV
136	 360.0 mV	 -19.6060 uA	 2.05506 s	 300.00 mV
137	 390.0 mV	 -16.3720 uA	 2.06024 s	 300.00 mV
138	 420.0 mV	 -13.3300 uA	 2.06542 s	 300.00 mV
139	 450.0 mV	 -10.6780 uA	 2.07086 s	 300.00 mV
140	 480.0 mV	 -8.39880 uA	 2.08378 s	 300.00 mV
141	 510.0 mV	 -6.41420 uA	 2.08944 s	 300.00 mV
142	 540.0 mV	 -4.72370 uA	 2.09665 s	 300.00 mV
143	 570.0 mV	 -3.34270 uA	 2.10228 s	 300.00 mV
144	 600.0 mV	 -2.33350 uA	 2.10794 s	 300.00 mV
145	 630.0 mV	 -1.52100 uA	 2.11463 s	 300.00 mV
146	 660.0 mV	 -971.220 nA	 2.13015 s	 300.00 mV
147	 690.0 mV	 -535.460 nA	 2.13530 s	 300.00 mV
148	 720.0 mV	 -262.320 nA	 2.14043 s	 300.00 mV
149	 750.0 mV	 -121.680 nA	 2.14717 s	 300.00 mV
150	 780.0 mV	 -43.7850 nA	 2.16299 s	 300.00 mV
151	 810.0 mV	 -10.9418 nA	 2.17352 s	 300.00 mV
152	 840.0 mV	 -3.1144 nA	 2.20171 s	 300.00 mV
153	 870.0 mV	 3.13460 nA	 2.23608 s	 300.00 mV
154	 900.0 mV	 -221.60 pA	 2.24365 s	 300.00 mV
155	 930.0 mV	 -4.23690 nA	 2.25103 s	 300.00 mV
156	 960.0 mV	 5.57910 nA	 2.25761 s	 300.00 mV
157	 990.0 mV	 -5.88820 nA	 2.26713 s	 300.00 mV
158	 1.0200 V	 2.53980 nA	 2.27637 s	 300.00 mV
159	 1.0500 V	 -566.20 pA	 2.28390 s	 300.00 mV
160	 1.0800 V	 -3.83770 nA	 2.29125 s	 300.00 mV
161	 1.1100 V	 5.58310 nA	 2.29804 s	 300.00 mV
162	 1.1400 V	 -4.30500 nA	 2.30646 s	 300.00 mV
