Index	Vg	Id	Time	Vd
1	 0 V	 -144.480 uA	 12.69 ms	 0 V
2	 30.0 mV	 -135.240 uA	 18.72 ms	 0 V
3	 60.0 mV	 -125.280 uA	 24.87 ms	 0 V
4	 90.0 mV	 -116.660 uA	 31.08 ms	 0 V
5	 120.0 mV	 -107.100 uA	 37.22 ms	 0 V
6	 150.0 mV	 -99.0800 uA	 50.06 ms	 0 V
7	 180.0 mV	 -89.6580 uA	 56.16 ms	 0 V
8	 210.0 mV	 -81.6880 uA	 62.35 ms	 0 V
9	 240.0 mV	 -73.2500 uA	 68.55 ms	 0 V
10	 270.0 mV	 -64.8820 uA	 74.66 ms	 0 V
11	 300.0 mV	 -58.3060 uA	 80.89 ms	 0 V
12	 330.0 mV	 -49.6880 uA	 87.49 ms	 0 V
13	 360.0 mV	 -43.1580 uA	 93.97 ms	 0 V
14	 390.0 mV	 -36.6520 uA	 100.15 ms	 0 V
15	 420.0 mV	 -29.8680 uA	 106.35 ms	 0 V
16	 450.0 mV	 -24.7780 uA	 112.47 ms	 0 V
17	 480.0 mV	 -19.5880 uA	 118.40 ms	 0 V
18	 510.0 mV	 -15.1900 uA	 124.35 ms	 0 V
19	 540.0 mV	 -11.6840 uA	 130.41 ms	 0 V
20	 570.0 mV	 -8.6480 uA	 149.06 ms	 0 V
21	 600.0 mV	 -6.17030 uA	 161.69 ms	 0 V
22	 630.0 mV	 -4.13530 uA	 168.33 ms	 0 V
23	 660.0 mV	 -2.49460 uA	 175.02 ms	 0 V
24	 690.0 mV	 -2.13730 uA	 181.70 ms	 0 V
25	 720.0 mV	 -1.67120 uA	 212.35 ms	 0 V
26	 750.0 mV	 -868.0 nA	 225.98 ms	 0 V
27	 780.0 mV	 -618.30 nA	 264.57 ms	 0 V
28	 810.0 mV	 -580.10 nA	 295.00 ms	 0 V
29	 840.0 mV	 -629.40 nA	 325.29 ms	 0 V
30	 870.0 mV	 -394.50 nA	 355.63 ms	 0 V
31	 900.0 mV	 -423.20 nA	 385.98 ms	 0 V
32	 930.0 mV	 -798.00 nA	 392.55 ms	 0 V
33	 960.0 mV	 -1.00570 uA	 399.19 ms	 0 V
34	 990.0 mV	 -350.30 nA	 435.33 ms	 0 V
35	 1.0200 V	 -821.60 nA	 442.10 ms	 0 V
36	 1.0500 V	 -392.80 nA	 474.98 ms	 0 V
37	 1.0800 V	 -878.50 nA	 481.56 ms	 0 V
38	 1.1100 V	 -411.40 nA	 515.29 ms	 0 V
39	 1.1400 V	 -863.50 nA	 521.98 ms	 0 V
40	 1.1700 V	 -399.80 nA	 555.28 ms	 0 V
41	 1.2000 V	X -867.700 nA	 574.51 ms	 0 V
42	 0 V	 -141.420 uA	 931.67 ms	 100.00 mV
43	 30.0 mV	 -132.080 uA	 938.43 ms	 100.00 mV
44	 60.0 mV	 -123.080 uA	 944.60 ms	 100.00 mV
45	 90.0 mV	 -114.100 uA	 950.73 ms	 100.00 mV
46	 120.0 mV	 -104.820 uA	 956.67 ms	 100.00 mV
47	 150.0 mV	 -96.4080 uA	 968.96 ms	 100.00 mV
48	 180.0 mV	 -87.7120 uA	 975.13 ms	 100.00 mV
49	 210.0 mV	 -79.6280 uA	 981.26 ms	 100.00 mV
50	 240.0 mV	 -71.3400 uA	 987.22 ms	 100.00 mV
51	 270.0 mV	 -63.4800 uA	 993.71 ms	 100.00 mV
52	 300.0 mV	 -56.0440 uA	 1.00023 s	 100.00 mV
53	 330.0 mV	 -48.2820 uA	 1.00648 s	 100.00 mV
54	 360.0 mV	 -41.6300 uA	 1.01369 s	 100.00 mV
55	 390.0 mV	 -35.1240 uA	 1.01884 s	 100.00 mV
56	 420.0 mV	 -28.8620 uA	 1.02586 s	 100.00 mV
57	 450.0 mV	 -23.7420 uA	 1.03204 s	 100.00 mV
58	 480.0 mV	 -18.4700 uA	 1.03824 s	 100.00 mV
59	 510.0 mV	 -14.4280 uA	 1.04438 s	 100.00 mV
60	 540.0 mV	 -10.7440 uA	 1.05049 s	 100.00 mV
61	 570.0 mV	 -7.82340 uA	 1.06309 s	 100.00 mV
62	 600.0 mV	 -5.42080 uA	 1.06979 s	 100.00 mV
63	 630.0 mV	 -3.43620 uA	 1.07642 s	 100.00 mV
64	 660.0 mV	 -2.34280 uA	 1.08301 s	 100.00 mV
65	 690.0 mV	 -1.59320 uA	 1.08944 s	 100.00 mV
66	 720.0 mV	 -699.500 nA	 1.10651 s	 100.00 mV
67	 750.0 mV	 -413.780 nA	 1.11585 s	 100.00 mV
68	 780.0 mV	 -256.480 nA	 1.16837 s	 100.00 mV
69	 810.0 mV	 -354.200 nA	 1.17450 s	 100.00 mV
70	 840.0 mV	 -426.680 nA	 1.18158 s	 100.00 mV
71	 870.0 mV	 -80.920 nA	 1.23567 s	 100.00 mV
72	 900.0 mV	 -370.700 nA	 1.24165 s	 100.00 mV
73	 930.0 mV	 -308.820 nA	 1.27074 s	 100.00 mV
74	 960.0 mV	 -388.100 nA	 1.30003 s	 100.00 mV
75	 990.0 mV	 -179.960 nA	 1.32939 s	 100.00 mV
76	 1.0200 V	 -90.160 nA	 1.33557 s	 100.00 mV
77	 1.0500 V	 -350.440 nA	 1.34176 s	 100.00 mV
78	 1.0800 V	 -43.200 nA	 1.37687 s	 100.00 mV
79	 1.1100 V	 -297.540 nA	 1.45079 s	 100.00 mV
80	 1.1400 V	 -280.380 nA	 1.48291 s	 100.00 mV
81	 1.1700 V	 -81.640 nA	 1.51844 s	 100.00 mV
82	 1.2000 V	 -300.460 nA	 1.52456 s	 100.00 mV
83	 0 V	 -138.480 uA	 1.81591 s	 200.00 mV
84	 30.0 mV	 -129.520 uA	 1.82262 s	 200.00 mV
85	 60.0 mV	 -120.420 uA	 1.82882 s	 200.00 mV
86	 90.0 mV	 -111.580 uA	 1.83490 s	 200.00 mV
87	 120.0 mV	 -102.840 uA	 1.84111 s	 200.00 mV
88	 150.0 mV	 -94.4560 uA	 1.85391 s	 200.00 mV
89	 180.0 mV	 -85.9400 uA	 1.86001 s	 200.00 mV
90	 210.0 mV	 -77.5700 uA	 1.86592 s	 200.00 mV
91	 240.0 mV	 -69.6540 uA	 1.87106 s	 200.00 mV
92	 270.0 mV	 -61.7660 uA	 1.87624 s	 200.00 mV
93	 300.0 mV	 -54.3980 uA	 1.88227 s	 200.00 mV
94	 330.0 mV	 -47.0780 uA	 1.88742 s	 200.00 mV
95	 360.0 mV	 -40.5620 uA	 1.89271 s	 200.00 mV
96	 390.0 mV	 -34.0060 uA	 1.89926 s	 200.00 mV
97	 420.0 mV	 -28.1280 uA	 1.90444 s	 200.00 mV
98	 450.0 mV	 -22.7800 uA	 1.91111 s	 200.00 mV
99	 480.0 mV	 -17.8420 uA	 1.91626 s	 200.00 mV
100	 510.0 mV	 -13.8020 uA	 1.92140 s	 200.00 mV
101	 540.0 mV	 -10.1380 uA	 1.92781 s	 200.00 mV
102	 570.0 mV	 -7.33630 uA	 1.94073 s	 200.00 mV
103	 600.0 mV	 -4.88560 uA	 1.94742 s	 200.00 mV
104	 630.0 mV	 -3.26660 uA	 1.95409 s	 200.00 mV
105	 660.0 mV	 -2.10300 uA	 1.96078 s	 200.00 mV
106	 690.0 mV	 -1.14970 uA	 1.96740 s	 200.00 mV
107	 720.0 mV	 -698.740 nA	 1.98328 s	 200.00 mV
108	 750.0 mV	 -403.720 nA	 1.98983 s	 200.00 mV
109	 780.0 mV	 -211.660 nA	 1.99497 s	 200.00 mV
110	 810.0 mV	 -157.980 nA	 2.00016 s	 200.00 mV
111	 840.0 mV	 -46.340 nA	 2.03657 s	 200.00 mV
112	 870.0 mV	 -74.260 nA	 2.06339 s	 200.00 mV
113	 900.0 mV	 -39.820 nA	 2.09011 s	 200.00 mV
114	 930.0 mV	 -12.60 nA	 2.12508 s	 200.00 mV
115	 960.0 mV	 -44.80 nA	 2.17211 s	 200.00 mV
116	 990.0 mV	 -4.120 nA	 2.20837 s	 200.00 mV
117	 1.0200 V	 -34.740 nA	 2.23363 s	 200.00 mV
118	 1.0500 V	 -19.820 nA	 2.26317 s	 200.00 mV
119	 1.0800 V	 -43.400 nA	 2.29402 s	 200.00 mV
120	 1.1100 V	 -35.040 nA	 2.32090 s	 200.00 mV
121	 1.1400 V	 -28.580 nA	 2.35032 s	 200.00 mV
122	 1.1700 V	 -1.820 nA	 2.37965 s	 200.00 mV
123	 1.2000 V	 1.100 nA	 2.40646 s	 200.00 mV
124	 0 V	 -135.940 uA	 2.45935 s	 300.00 mV
125	 30.0 mV	 -126.980 uA	 2.46626 s	 300.00 mV
126	 60.0 mV	 -118.260 uA	 2.47247 s	 300.00 mV
127	 90.0 mV	 -109.440 uA	 2.47868 s	 300.00 mV
128	 120.0 mV	 -100.980 uA	 2.48483 s	 300.00 mV
129	 150.0 mV	 -92.5120 uA	 2.49751 s	 300.00 mV
130	 180.0 mV	 -84.3420 uA	 2.50365 s	 300.00 mV
131	 210.0 mV	 -76.2040 uA	 2.50960 s	 300.00 mV
132	 240.0 mV	 -68.3400 uA	 2.51478 s	 300.00 mV
133	 270.0 mV	 -60.6820 uA	 2.51996 s	 300.00 mV
134	 300.0 mV	 -53.3620 uA	 2.52607 s	 300.00 mV
135	 330.0 mV	 -46.4200 uA	 2.53128 s	 300.00 mV
136	 360.0 mV	 -39.5360 uA	 2.53645 s	 300.00 mV
137	 390.0 mV	 -33.3160 uA	 2.54466 s	 300.00 mV
138	 420.0 mV	 -27.5320 uA	 2.55089 s	 300.00 mV
139	 450.0 mV	 -22.1060 uA	 2.55705 s	 300.00 mV
140	 480.0 mV	 -17.5000 uA	 2.56318 s	 300.00 mV
141	 510.0 mV	 -13.3340 uA	 2.56910 s	 300.00 mV
142	 540.0 mV	 -9.9220 uA	 2.57428 s	 300.00 mV
143	 570.0 mV	 -6.99760 uA	 2.58644 s	 300.00 mV
144	 600.0 mV	 -4.82860 uA	 2.59305 s	 300.00 mV
145	 630.0 mV	 -3.25450 uA	 2.59965 s	 300.00 mV
146	 660.0 mV	 -1.89130 uA	 2.60621 s	 300.00 mV
147	 690.0 mV	 -1.17500 uA	 2.61263 s	 300.00 mV
