Index	Vg	Id	Time	Vd
1	 0 V	 -136.340 uA	 12.71 ms	 0 V
2	 30.0 mV	 -127.000 uA	 18.71 ms	 0 V
3	 60.0 mV	 -117.760 uA	 24.91 ms	 0 V
4	 90.0 mV	 -108.840 uA	 31.05 ms	 0 V
5	 120.0 mV	 -99.860 uA	 37.26 ms	 0 V
6	 150.0 mV	 -91.2220 uA	 50.08 ms	 0 V
7	 180.0 mV	 -82.5540 uA	 56.25 ms	 0 V
8	 210.0 mV	 -74.2580 uA	 62.36 ms	 0 V
9	 240.0 mV	 -66.0260 uA	 68.27 ms	 0 V
10	 270.0 mV	 -58.2300 uA	 74.56 ms	 0 V
11	 300.0 mV	 -50.6560 uA	 79.70 ms	 0 V
12	 330.0 mV	 -43.3100 uA	 86.12 ms	 0 V
13	 360.0 mV	 -36.6220 uA	 92.33 ms	 0 V
14	 390.0 mV	 -30.2000 uA	 98.52 ms	 0 V
15	 420.0 mV	 -24.4060 uA	 104.64 ms	 0 V
16	 450.0 mV	 -19.1780 uA	 110.58 ms	 0 V
17	 480.0 mV	 -14.5000 uA	 115.97 ms	 0 V
18	 510.0 mV	 -10.7520 uA	 122.66 ms	 0 V
19	 540.0 mV	 -7.54960 uA	 135.03 ms	 0 V
20	 570.0 mV	 -5.28450 uA	 140.69 ms	 0 V
21	 600.0 mV	 -3.43810 uA	 146.36 ms	 0 V
22	 630.0 mV	 -2.26440 uA	 153.54 ms	 0 V
23	 660.0 mV	 -1.44640 uA	 159.21 ms	 0 V
24	 690.0 mV	 -847.100 nA	 175.63 ms	 0 V
25	 720.0 mV	 -500.480 nA	 183.55 ms	 0 V
26	 750.0 mV	 -247.640 nA	 188.73 ms	 0 V
27	 780.0 mV	 -109.020 nA	 194.03 ms	 0 V
28	 810.0 mV	 -49.860 nA	 200.57 ms	 0 V
29	 840.0 mV	 -14.460 nA	 228.77 ms	 0 V
30	 870.0 mV	 -3.820 nA	 265.55 ms	 0 V
31	 900.0 mV	 -4.27060 nA	 303.34 ms	 0 V
32	 930.0 mV	 -3.2128 nA	 341.15 ms	 0 V
33	 960.0 mV	 -13.300 nA	 429.46 ms	 0 V
34	 990.0 mV	 -2.900 nA	 458.97 ms	 0 V
35	 1.0200 V	 -2.7082 nA	 481.31 ms	 0 V
36	 1.0500 V	 -4.360 nA	 560.31 ms	 0 V
37	 1.0800 V	 -3.0040 nA	 617.00 ms	 0 V
38	 1.1100 V	 -2.120 nA	 657.68 ms	 0 V
39	 1.1400 V	 -1.4218 nA	 673.27 ms	 0 V
40	 1.1700 V	 467.2 pA	 705.42 ms	 0 V
41	 1.2000 V	 3.560 nA	 731.56 ms	 0 V
42	 0 V	 -133.760 uA	 783.73 ms	 100.00 mV
43	 30.0 mV	 -124.640 uA	 790.45 ms	 100.00 mV
44	 60.0 mV	 -115.540 uA	 796.65 ms	 100.00 mV
