Index	Vg	Id	Time	Vd
1	 0 V	 -135.420 uA	 12.68 ms	 0 V
2	 30.0 mV	 -125.880 uA	 18.66 ms	 0 V
3	 60.0 mV	 -116.880 uA	 24.57 ms	 0 V
4	 90.0 mV	 -107.620 uA	 30.79 ms	 0 V
5	 120.0 mV	 -98.7260 uA	 43.62 ms	 0 V
6	 150.0 mV	 -89.9040 uA	 49.82 ms	 0 V
7	 180.0 mV	 -81.1920 uA	 56.00 ms	 0 V
8	 210.0 mV	 -72.8700 uA	 62.20 ms	 0 V
9	 240.0 mV	 -64.5820 uA	 68.29 ms	 0 V
10	 270.0 mV	 -56.8340 uA	 74.45 ms	 0 V
11	 300.0 mV	 -49.2760 uA	 80.59 ms	 0 V
12	 330.0 mV	 -41.9440 uA	 86.65 ms	 0 V
13	 360.0 mV	 -35.2940 uA	 92.81 ms	 0 V
14	 390.0 mV	 -28.8420 uA	 98.98 ms	 0 V
15	 420.0 mV	 -23.2100 uA	 105.11 ms	 0 V
16	 450.0 mV	 -17.9760 uA	 112.02 ms	 0 V
17	 480.0 mV	 -13.2960 uA	 118.54 ms	 0 V
18	 510.0 mV	 -9.56690 uA	 131.07 ms	 0 V
19	 540.0 mV	 -6.36720 uA	 137.72 ms	 0 V
20	 570.0 mV	 -4.23240 uA	 144.42 ms	 0 V
21	 600.0 mV	 -2.52910 uA	 151.10 ms	 0 V
22	 630.0 mV	 -1.44160 uA	 157.79 ms	 0 V
23	 660.0 mV	 -802.320 nA	 175.27 ms	 0 V
24	 690.0 mV	 -384.180 nA	 227.65 ms	 0 V
25	 720.0 mV	 -207.560 nA	 233.82 ms	 0 V
26	 750.0 mV	 -101.820 nA	 263.58 ms	 0 V
27	 780.0 mV	 -42.540 nA	 290.41 ms	 0 V
28	 810.0 mV	 -17.40 nA	 326.89 ms	 0 V
29	 840.0 mV	 -7.6334 nA	 351.36 ms	 0 V
30	 870.0 mV	 -2.400 nA	 389.49 ms	 0 V
31	 900.0 mV	 -6.980 nA	 395.69 ms	 0 V
32	 930.0 mV	 -1.720 nA	 425.17 ms	 0 V
33	 960.0 mV	 1.460 nA	 454.67 ms	 0 V
34	 990.0 mV	 420 pA	 487.87 ms	 0 V
35	 1.0200 V	 2.280 nA	 530.77 ms	 0 V
36	 1.0500 V	 -12.700 nA	 569.07 ms	 0 V
37	 1.0800 V	 60 pA	 591.63 ms	 0 V
38	 1.1100 V	 177.4 pA	 612.76 ms	 0 V
39	 1.1400 V	 -440 pA	 657.63 ms	 0 V
40	 1.1700 V	 160 pA	 687.38 ms	 0 V
41	 1.2000 V	 -1.8976 nA	 712.74 ms	 0 V
42	 0 V	 -132.860 uA	 1.00299 s	 100.00 mV
43	 30.0 mV	 -123.660 uA	 1.00965 s	 100.00 mV
44	 60.0 mV	 -114.480 uA	 1.01580 s	 100.00 mV
45	 90.0 mV	 -105.600 uA	 1.02193 s	 100.00 mV
46	 120.0 mV	 -96.7580 uA	 1.03472 s	 100.00 mV
47	 150.0 mV	 -88.1100 uA	 1.04094 s	 100.00 mV
48	 180.0 mV	 -79.5800 uA	 1.04706 s	 100.00 mV
49	 210.0 mV	 -71.4040 uA	 1.05302 s	 100.00 mV
50	 240.0 mV	 -63.1540 uA	 1.05820 s	 100.00 mV
51	 270.0 mV	 -55.5980 uA	 1.06460 s	 100.00 mV
52	 300.0 mV	 -48.1840 uA	 1.06973 s	 100.00 mV
53	 330.0 mV	 -41.0660 uA	 1.07488 s	 100.00 mV
54	 360.0 mV	 -34.3980 uA	 1.08158 s	 100.00 mV
55	 390.0 mV	 -28.0580 uA	 1.08676 s	 100.00 mV
56	 420.0 mV	 -22.4960 uA	 1.09282 s	 100.00 mV
57	 450.0 mV	 -17.3780 uA	 1.10037 s	 100.00 mV
58	 480.0 mV	 -12.8400 uA	 1.10649 s	 100.00 mV
59	 510.0 mV	 -9.23720 uA	 1.11902 s	 100.00 mV
60	 540.0 mV	 -6.12470 uA	 1.12565 s	 100.00 mV
61	 570.0 mV	 -3.97880 uA	 1.13207 s	 100.00 mV
62	 600.0 mV	 -2.41260 uA	 1.13769 s	 100.00 mV
63	 630.0 mV	 -1.44530 uA	 1.14357 s	 100.00 mV
64	 660.0 mV	 -796.200 nA	 1.16002 s	 100.00 mV
65	 690.0 mV	 -368.620 nA	 1.16595 s	 100.00 mV
66	 720.0 mV	 -193.400 nA	 1.17230 s	 100.00 mV
67	 750.0 mV	 -91.900 nA	 1.20065 s	 100.00 mV
68	 780.0 mV	 -31.0022 nA	 1.21484 s	 100.00 mV
69	 810.0 mV	 -14.3560 nA	 1.24866 s	 100.00 mV
70	 840.0 mV	 -11.7266 nA	 1.27122 s	 100.00 mV
71	 870.0 mV	 -5.200 nA	 1.29997 s	 100.00 mV
72	 900.0 mV	 -2.340 nA	 1.33894 s	 100.00 mV
73	 930.0 mV	 -568.10 pA	 1.37674 s	 100.00 mV
74	 960.0 mV	 -1.0764 nA	 1.41183 s	 100.00 mV
75	 990.0 mV	 -2.180 nA	 1.46325 s	 100.00 mV
76	 1.0200 V	 2.240 nA	 1.53355 s	 100.00 mV
77	 1.0500 V	 -788.8 pA	 1.59582 s	 100.00 mV
78	 1.0800 V	 -4.800 nA	 1.62314 s	 100.00 mV
79	 1.1100 V	 -1.17460 nA	 1.66454 s	 100.00 mV
80	 1.1400 V	 -1.4428 nA	 1.69542 s	 100.00 mV
81	 1.1700 V	 -664.2 pA	 1.71556 s	 100.00 mV
82	 1.2000 V	 1.27200 nA	 1.74973 s	 100.00 mV
83	 0 V	 -130.320 uA	 1.84448 s	 200.00 mV
84	 30.0 mV	 -121.280 uA	 1.85114 s	 200.00 mV
85	 60.0 mV	 -112.240 uA	 1.85709 s	 200.00 mV
86	 90.0 mV	 -103.520 uA	 1.86225 s	 200.00 mV
87	 120.0 mV	 -94.8440 uA	 1.87502 s	 200.00 mV
88	 150.0 mV	 -86.3460 uA	 1.88123 s	 200.00 mV
89	 180.0 mV	 -77.9020 uA	 1.88739 s	 200.00 mV
90	 210.0 mV	 -69.8480 uA	 1.89357 s	 200.00 mV
91	 240.0 mV	 -61.9040 uA	 1.89969 s	 200.00 mV
92	 270.0 mV	 -54.2720 uA	 1.90564 s	 200.00 mV
93	 300.0 mV	 -47.0720 uA	 1.91169 s	 200.00 mV
94	 330.0 mV	 -39.9840 uA	 1.91753 s	 200.00 mV
95	 360.0 mV	 -33.5500 uA	 1.92267 s	 200.00 mV
96	 390.0 mV	 -27.3820 uA	 1.92869 s	 200.00 mV
97	 420.0 mV	 -21.9060 uA	 1.93384 s	 200.00 mV
98	 450.0 mV	 -16.9180 uA	 1.93897 s	 200.00 mV
99	 480.0 mV	 -12.4540 uA	 1.94579 s	 200.00 mV
100	 510.0 mV	 -8.93940 uA	 1.95736 s	 200.00 mV
101	 540.0 mV	 -6.12430 uA	 1.96484 s	 200.00 mV
102	 570.0 mV	 -3.96420 uA	 1.97152 s	 200.00 mV
103	 600.0 mV	 -2.35070 uA	 1.97819 s	 200.00 mV
104	 630.0 mV	 -1.36910 uA	 1.98481 s	 200.00 mV
105	 660.0 mV	 -775.440 nA	 2.00101 s	 200.00 mV
106	 690.0 mV	 -365.200 nA	 2.00711 s	 200.00 mV
107	 720.0 mV	 -202.400 nA	 2.01327 s	 200.00 mV
108	 750.0 mV	 -93.560 nA	 2.04007 s	 200.00 mV
109	 780.0 mV	 -29.540 nA	 2.06690 s	 200.00 mV
110	 810.0 mV	 -20.4764 nA	 2.08109 s	 200.00 mV
111	 840.0 mV	 -4.5600 nA	 2.10503 s	 200.00 mV
112	 870.0 mV	 -2.6254 nA	 2.11550 s	 200.00 mV
113	 900.0 mV	 -1.6780 nA	 2.13142 s	 200.00 mV
114	 930.0 mV	 -2.5754 nA	 2.14102 s	 200.00 mV
115	 960.0 mV	 -2.440 nA	 2.16313 s	 200.00 mV
116	 990.0 mV	 -2.2416 nA	 2.18006 s	 200.00 mV
117	 1.0200 V	 1.36070 nA	 2.21432 s	 200.00 mV
118	 1.0500 V	 -2.78040 nA	 2.22199 s	 200.00 mV
119	 1.0800 V	 2.11640 nA	 2.22965 s	 200.00 mV
120	 1.1100 V	 -2.8486 nA	 2.26332 s	 200.00 mV
121	 1.1400 V	 -3.3222 nA	 2.32195 s	 200.00 mV
122	 1.1700 V	 -460.00 pA	 2.35684 s	 200.00 mV
123	 1.2000 V	 1.3152 nA	 2.43256 s	 200.00 mV
124	 0 V	 -127.340 uA	 2.64489 s	 300.00 mV
125	 30.0 mV	 -118.580 uA	 2.65156 s	 300.00 mV
126	 60.0 mV	 -109.700 uA	 2.65772 s	 300.00 mV
127	 90.0 mV	 -101.180 uA	 2.66394 s	 300.00 mV
128	 120.0 mV	 -92.6040 uA	 2.67671 s	 300.00 mV
129	 150.0 mV	 -84.3320 uA	 2.68284 s	 300.00 mV
130	 180.0 mV	 -76.2340 uA	 2.68879 s	 300.00 mV
131	 210.0 mV	 -68.1440 uA	 2.69451 s	 300.00 mV
132	 240.0 mV	 -60.3960 uA	 2.70060 s	 300.00 mV
133	 270.0 mV	 -52.8680 uA	 2.70729 s	 300.00 mV
134	 300.0 mV	 -45.8180 uA	 2.71281 s	 300.00 mV
135	 330.0 mV	 -38.9700 uA	 2.71903 s	 300.00 mV
136	 360.0 mV	 -32.4640 uA	 2.72517 s	 300.00 mV
137	 390.0 mV	 -26.6060 uA	 2.73131 s	 300.00 mV
138	 420.0 mV	 -21.0640 uA	 2.73726 s	 300.00 mV
139	 450.0 mV	 -16.3320 uA	 2.74244 s	 300.00 mV
140	 480.0 mV	 -11.9900 uA	 2.74761 s	 300.00 mV
141	 510.0 mV	 -8.56840 uA	 2.76105 s	 300.00 mV
142	 540.0 mV	 -5.69050 uA	 2.76767 s	 300.00 mV
