Index	Vg	Id	Time	Vd
1	 0 V	 -137.000 uA	 12.69 ms	 0 V
2	 30.0 mV	 -127.440 uA	 18.65 ms	 0 V
3	 60.0 mV	 -117.820 uA	 24.81 ms	 0 V
4	 90.0 mV	 -108.540 uA	 30.94 ms	 0 V
5	 120.0 mV	 -99.3960 uA	 43.74 ms	 0 V
6	 150.0 mV	 -90.3680 uA	 49.95 ms	 0 V
7	 180.0 mV	 -81.5040 uA	 56.04 ms	 0 V
8	 210.0 mV	 -73.0180 uA	 63.27 ms	 0 V
9	 240.0 mV	 -64.6600 uA	 69.46 ms	 0 V
10	 270.0 mV	 -56.3320 uA	 75.69 ms	 0 V
11	 300.0 mV	 -48.6260 uA	 81.77 ms	 0 V
12	 330.0 mV	 -41.2040 uA	 87.67 ms	 0 V
13	 360.0 mV	 -34.3180 uA	 92.89 ms	 0 V
14	 390.0 mV	 -27.8620 uA	 98.97 ms	 0 V
15	 420.0 mV	 -21.8100 uA	 104.88 ms	 0 V
16	 450.0 mV	 -16.6240 uA	 110.26 ms	 0 V
17	 480.0 mV	 -11.9380 uA	 117.07 ms	 0 V
18	 510.0 mV	 -8.27730 uA	 129.57 ms	 0 V
19	 540.0 mV	 -5.24410 uA	 136.24 ms	 0 V
20	 570.0 mV	 -3.22970 uA	 142.88 ms	 0 V
21	 600.0 mV	 -1.84550 uA	 149.57 ms	 0 V
22	 630.0 mV	 -956.360 nA	 165.80 ms	 0 V
23	 660.0 mV	 -502.460 nA	 171.90 ms	 0 V
24	 690.0 mV	 -227.720 nA	 178.12 ms	 0 V
25	 720.0 mV	 -97.080 nA	 184.31 ms	 0 V
26	 750.0 mV	 -42.5592 nA	 198.57 ms	 0 V
27	 780.0 mV	 -16.800 nA	 221.58 ms	 0 V
28	 810.0 mV	 -5.10690 nA	 263.71 ms	 0 V
29	 840.0 mV	 -4.77450 nA	 281.04 ms	 0 V
30	 870.0 mV	 -2.5376 nA	 361.72 ms	 0 V
31	 900.0 mV	 -2.15370 nA	 398.61 ms	 0 V
32	 930.0 mV	 -984.0 pA	 422.36 ms	 0 V
33	 960.0 mV	 -2.25090 nA	 459.22 ms	 0 V
34	 990.0 mV	 -846.4 pA	 494.99 ms	 0 V
35	 1.0200 V	 58.20 pA	 545.47 ms	 0 V
36	 1.0500 V	 818.80 pA	 553.08 ms	 0 V
37	 1.0800 V	 -493.90 pA	 563.73 ms	 0 V
38	 1.1100 V	 2.02990 nA	 571.28 ms	 0 V
39	 1.1400 V	 -1.97170 nA	 582.28 ms	 0 V
40	 1.1700 V	 -2.06580 nA	 639.97 ms	 0 V
41	 1.2000 V	 1.45270 nA	 647.74 ms	 0 V
42	 0 V	 -134.420 uA	 1.01216 s	 100.00 mV
43	 30.0 mV	 -125.000 uA	 1.01887 s	 100.00 mV
44	 60.0 mV	 -115.560 uA	 1.02507 s	 100.00 mV
45	 90.0 mV	 -106.480 uA	 1.03118 s	 100.00 mV
46	 120.0 mV	 -97.4560 uA	 1.04400 s	 100.00 mV
47	 150.0 mV	 -88.6240 uA	 1.05022 s	 100.00 mV
48	 180.0 mV	 -79.8040 uA	 1.05635 s	 100.00 mV
49	 210.0 mV	 -71.2760 uA	 1.06412 s	 100.00 mV
50	 240.0 mV	 -63.1080 uA	 1.07032 s	 100.00 mV
51	 270.0 mV	 -55.1080 uA	 1.07653 s	 100.00 mV
52	 300.0 mV	 -47.5660 uA	 1.08266 s	 100.00 mV
53	 330.0 mV	 -40.3200 uA	 1.08859 s	 100.00 mV
54	 360.0 mV	 -33.3600 uA	 1.09377 s	 100.00 mV
55	 390.0 mV	 -27.0640 uA	 1.09894 s	 100.00 mV
56	 420.0 mV	 -21.1840 uA	 1.10437 s	 100.00 mV
