Index	Vg	Id	Time	Vd
1	 0 V	T -3.00060 mA	 5.93 ms	 0 V
2	 30.0 mV	T -3.00060 mA	 11.95 ms	 0 V
3	 60.0 mV	 -2.89580 mA	 18.05 ms	 0 V
4	 90.0 mV	 -2.70060 mA	 24.15 ms	 0 V
5	 120.0 mV	 -2.50920 mA	 30.22 ms	 0 V
6	 150.0 mV	 -2.31840 mA	 36.34 ms	 0 V
7	 180.0 mV	 -2.12920 mA	 42.48 ms	 0 V
8	 210.0 mV	 -1.94540 mA	 48.58 ms	 0 V
9	 240.0 mV	 -1.76120 mA	 54.74 ms	 0 V
10	 270.0 mV	 -1.58360 mA	 60.89 ms	 0 V
11	 300.0 mV	 -1.41000 mA	 67.00 ms	 0 V
12	 330.0 mV	 -1.23920 mA	 73.01 ms	 0 V
13	 360.0 mV	 -1.07580 mA	 79.11 ms	 0 V
14	 390.0 mV	 -916.700 uA	 91.90 ms	 0 V
15	 420.0 mV	 -767.860 uA	 97.82 ms	 0 V
16	 450.0 mV	 -626.160 uA	 102.96 ms	 0 V
17	 480.0 mV	 -497.140 uA	 109.36 ms	 0 V
18	 510.0 mV	 -379.740 uA	 115.45 ms	 0 V
19	 540.0 mV	 -277.820 uA	 121.40 ms	 0 V
20	 570.0 mV	 -193.720 uA	 126.78 ms	 0 V
21	 600.0 mV	 -125.400 uA	 133.25 ms	 0 V
22	 630.0 mV	 -77.9480 uA	 145.98 ms	 0 V
23	 660.0 mV	 -43.2880 uA	 152.08 ms	 0 V
24	 690.0 mV	 -23.7220 uA	 158.17 ms	 0 V
25	 720.0 mV	 -11.1900 uA	 164.39 ms	 0 V
26	 750.0 mV	 -5.32500 uA	 176.94 ms	 0 V
27	 780.0 mV	 -2.00530 uA	 183.55 ms	 0 V
28	 810.0 mV	 -823.760 nA	 199.41 ms	 0 V
29	 840.0 mV	 -295.340 nA	 206.89 ms	 0 V
30	 870.0 mV	 -63.120 nA	 242.06 ms	 0 V
31	 900.0 mV	 -39.8874 nA	 256.34 ms	 0 V
32	 930.0 mV	 -15.4166 nA	 297.22 ms	 0 V
33	 960.0 mV	 -8.2298 nA	 315.99 ms	 0 V
34	 990.0 mV	 -5.60810 nA	 355.54 ms	 0 V
35	 1.0200 V	 1.5148 nA	 388.26 ms	 0 V
36	 1.0500 V	 -6.0574 nA	 416.88 ms	 0 V
37	 1.0800 V	 1.21390 nA	 471.96 ms	 0 V
38	 1.1100 V	 -5.71040 nA	 479.60 ms	 0 V
39	 1.1400 V	 5.640 nA	 526.52 ms	 0 V
40	 1.1700 V	 -3.240 nA	 561.33 ms	 0 V
41	 1.2000 V	 5.72480 nA	 605.76 ms	 0 V
42	 0 V	T -3.00060 mA	 1.02694 s	 100.00 mV
43	 30.0 mV	T -3.00080 mA	 1.03357 s	 100.00 mV
44	 60.0 mV	 -2.82880 mA	 1.03971 s	 100.00 mV
45	 90.0 mV	 -2.63860 mA	 1.04579 s	 100.00 mV
46	 120.0 mV	 -2.44800 mA	 1.05194 s	 100.00 mV
47	 150.0 mV	 -2.26220 mA	 1.05809 s	 100.00 mV
48	 180.0 mV	 -2.07600 mA	 1.06425 s	 100.00 mV
49	 210.0 mV	 -1.89520 mA	 1.07035 s	 100.00 mV
50	 240.0 mV	 -1.71580 mA	 1.07647 s	 100.00 mV
51	 270.0 mV	 -1.53940 mA	 1.08262 s	 100.00 mV
52	 300.0 mV	 -1.37020 mA	 1.08864 s	 100.00 mV
53	 330.0 mV	 -1.20220 mA	 1.09471 s	 100.00 mV
54	 360.0 mV	 -1.04240 mA	 1.10090 s	 100.00 mV
55	 390.0 mV	 -886.380 uA	 1.11376 s	 100.00 mV
56	 420.0 mV	 -740.680 uA	 1.11989 s	 100.00 mV
57	 450.0 mV	 -604.060 uA	 1.12584 s	 100.00 mV
58	 480.0 mV	 -476.640 uA	 1.13102 s	 100.00 mV
59	 510.0 mV	 -363.120 uA	 1.13787 s	 100.00 mV
60	 540.0 mV	 -263.280 uA	 1.14306 s	 100.00 mV
61	 570.0 mV	 -182.640 uA	 1.14824 s	 100.00 mV
62	 600.0 mV	 -117.640 uA	 1.15481 s	 100.00 mV
63	 630.0 mV	 -72.3440 uA	 1.16812 s	 100.00 mV
64	 660.0 mV	 -40.0620 uA	 1.17330 s	 100.00 mV
65	 690.0 mV	 -21.6500 uA	 1.17848 s	 100.00 mV
66	 720.0 mV	 -10.1320 uA	 1.18444 s	 100.00 mV
67	 750.0 mV	 -4.77980 uA	 1.19597 s	 100.00 mV
68	 780.0 mV	 -1.68890 uA	 1.20317 s	 100.00 mV
69	 810.0 mV	 -738.480 nA	 1.21827 s	 100.00 mV
70	 840.0 mV	 -181.200 nA	 1.22342 s	 100.00 mV
71	 870.0 mV	 -92.9700 nA	 1.23671 s	 100.00 mV
72	 900.0 mV	 -33.160 nA	 1.25959 s	 100.00 mV
73	 930.0 mV	 -13.2424 nA	 1.27687 s	 100.00 mV
74	 960.0 mV	 -5.8408 nA	 1.29757 s	 100.00 mV
75	 990.0 mV	 -5.1152 nA	 1.31791 s	 100.00 mV
76	 1.0200 V	 -5.56250 nA	 1.35588 s	 100.00 mV
77	 1.0500 V	 4.10910 nA	 1.36515 s	 100.00 mV
78	 1.0800 V	 37.60 pA	 1.37274 s	 100.00 mV
79	 1.1100 V	 5.36930 nA	 1.42992 s	 100.00 mV
80	 1.1400 V	 1.39100 nA	 1.49185 s	 100.00 mV
81	 1.1700 V	 -5.7786 nA	 1.51670 s	 100.00 mV
