Index	Vg	Id	Time	Vd
1	 0 V	 -1.31180 mA	 5.92 ms	 0 V
2	 30.0 mV	 -1.21600 mA	 11.82 ms	 0 V
3	 60.0 mV	 -1.12020 mA	 17.92 ms	 0 V
4	 90.0 mV	 -1.02580 mA	 24.01 ms	 0 V
5	 120.0 mV	 -932.660 uA	 36.95 ms	 0 V
6	 150.0 mV	 -843.220 uA	 43.08 ms	 0 V
7	 180.0 mV	 -755.100 uA	 49.24 ms	 0 V
8	 210.0 mV	 -668.860 uA	 55.43 ms	 0 V
9	 240.0 mV	 -587.080 uA	 61.64 ms	 0 V
10	 270.0 mV	 -507.460 uA	 67.71 ms	 0 V
11	 300.0 mV	 -432.300 uA	 73.68 ms	 0 V
12	 330.0 mV	 -361.780 uA	 78.85 ms	 0 V
13	 360.0 mV	 -294.980 uA	 84.04 ms	 0 V
14	 390.0 mV	 -235.220 uA	 89.20 ms	 0 V
15	 420.0 mV	 -180.160 uA	 94.54 ms	 0 V
16	 450.0 mV	 -134.240 uA	 100.76 ms	 0 V
17	 480.0 mV	 -93.9260 uA	 114.61 ms	 0 V
18	 510.0 mV	 -63.5720 uA	 119.77 ms	 0 V
19	 540.0 mV	 -38.6940 uA	 125.14 ms	 0 V
20	 570.0 mV	 -22.6880 uA	 131.63 ms	 0 V
21	 600.0 mV	 -11.2840 uA	 136.80 ms	 0 V
22	 630.0 mV	 -5.70220 uA	 149.26 ms	 0 V
23	 660.0 mV	 -2.17780 uA	 154.88 ms	 0 V
24	 690.0 mV	 -1.111520 uA	 171.13 ms	 0 V
25	 720.0 mV	 -430.960 nA	 227.79 ms	 0 V
26	 750.0 mV	 -191.960 nA	 234.01 ms	 0 V
27	 780.0 mV	 -110.660 nA	 269.17 ms	 0 V
28	 810.0 mV	 -19.260 nA	 296.06 ms	 0 V
29	 840.0 mV	 -18.8320 nA	 310.28 ms	 0 V
30	 870.0 mV	 -2.2774 nA	 338.48 ms	 0 V
31	 900.0 mV	 -5.0156 nA	 350.48 ms	 0 V
32	 930.0 mV	 -969.50 pA	 385.64 ms	 0 V
33	 960.0 mV	 -15.620 nA	 411.22 ms	 0 V
34	 990.0 mV	 -4.48680 nA	 449.08 ms	 0 V
35	 1.0200 V	 -380.70 pA	 505.42 ms	 0 V
