device_type,device_index,temp_avg,method,vds,vth_diff_mean,vth_diff_std,vth_diff_count,temp_diff_mean,vth_mean,vth_ref_295k_mean
nmos,1,85.0,sqrt,1.2,0.08368835608695199,0.004019810881263053,2,-210.0,0.47419469063065467,0.3905063345437027
nmos,1,85.0,traditional,0.1,0.07742348535538046,0.007138000915626271,2,-210.0,0.6389057044165465,0.561482219061166
nmos,1,115.0,sqrt,1.2,0.07680219630768112,0.0058820697324375735,2,-180.0,0.4673085308513838,0.3905063345437027
nmos,1,115.0,traditional,0.1,0.07161359520441624,0.011557805055707079,2,-180.0,0.6330958142655823,0.561482219061166
nmos,1,140.0,sqrt,1.2,0.06629141544689193,0.003655142202667896,2,-155.0,0.45679774999059464,0.3905063345437027
nmos,1,140.0,traditional,0.1,0.06370880697519371,0.01115937610175809,2,-155.0,0.6251910260363598,0.561482219061166
nmos,1,185.0,sqrt,1.2,0.05178430249113444,0.007601578613098909,2,-110.0,0.4422906370348372,0.3905063345437027
nmos,1,185.0,traditional,0.1,0.04715169101074973,0.011022493874221181,2,-110.0,0.6086339100719158,0.561482219061166
nmos,1,220.0,sqrt,1.2,0.03616405136249112,0.00830679696305799,2,-75.0,0.4266703859061938,0.3905063345437027
nmos,1,220.0,traditional,0.1,0.03056860188954119,0.01385415940162565,2,-75.0,0.5920508209507072,0.561482219061166
nmos,2,85.0,sqrt,1.2,0.08737026212080234,0.00959272882993952,2,-210.0,0.5174934569510576,0.43012319483025524
nmos,2,85.0,traditional,0.1,0.08979498475471837,0.008056584775671147,2,-210.0,0.6796782168892354,0.589883232134517
nmos,2,115.0,sqrt,1.2,0.07926724476630077,0.005474293927925273,3,-180.0,0.5093904395965559,0.43012319483025524
nmos,2,115.0,traditional,0.1,0.08721107139914996,0.00962832865028382,3,-180.0,0.677094303533667,0.589883232134517
nmos,2,140.0,sqrt,1.2,0.06928064382900012,0.005791574044371554,2,-155.0,0.49940383865925536,0.43012319483025524
nmos,2,140.0,traditional,0.1,0.07491805780024874,0.00905755307713333,2,-155.0,0.6648012899347657,0.589883232134517
nmos,2,185.0,sqrt,1.2,0.05216385010276131,0.004158384878187347,2,-110.0,0.48228704493301655,0.43012319483025524
nmos,2,185.0,traditional,0.1,0.05638614734267361,0.009269402588947923,2,-110.0,0.6462693794771905,0.589883232134517
nmos,2,220.0,sqrt,1.2,0.03705315014224134,0.0017274460647928947,2,-75.0,0.4671763449724966,0.43012319483025524
nmos,2,220.0,traditional,0.1,0.043880571785332445,0.005765676171474711,2,-75.0,0.6337638039198494,0.589883232134517
nmos,3,85.0,sqrt,1.2,0.10685051135416368,0.0009236855677818642,2,-210.0,0.4876712974393622,0.38082078608519854
nmos,3,85.0,traditional,0.1,0.10423539841696333,0.006192294917883147,2,-210.0,0.646231240412805,0.5419958419958417
nmos,3,115.0,sqrt,1.2,0.09502811627006652,0.006801333876863792,3,-180.0,0.47584890235526506,0.3808207860851985
nmos,3,115.0,traditional,0.1,0.09446949582993314,0.006192942901770524,3,-180.0,0.6364653378257749,0.5419958419958417
nmos,3,140.0,sqrt,1.2,0.0862223168771456,0.006954705939591045,3,-155.0,0.46704310296234414,0.3808207860851985
nmos,3,140.0,traditional,0.1,0.08490678393754907,0.006814257189946244,3,-155.0,0.6269026259333907,0.5419958419958417
nmos,3,185.0,sqrt,1.2,0.06588685917844622,0.00856999132309096,3,-110.0,0.44670764526364476,0.3808207860851985
nmos,3,185.0,traditional,0.1,0.06664247638037324,0.006640655253847025,3,-110.0,0.608638318376215,0.5419958419958417
