Index	Vg	Id	Time	Vd
1	 0 V	T -3.00060 mA	 5.88 ms	 0 V
2	 30.0 mV	 -2.85320 mA	 11.85 ms	 0 V
3	 60.0 mV	 -2.69360 mA	 17.96 ms	 0 V
4	 90.0 mV	 -2.53540 mA	 24.10 ms	 0 V
5	 120.0 mV	 -2.37740 mA	 30.16 ms	 0 V
6	 150.0 mV	 -2.22260 mA	 36.20 ms	 0 V
7	 180.0 mV	 -2.06860 mA	 42.34 ms	 0 V
8	 210.0 mV	 -1.92000 mA	 48.46 ms	 0 V
9	 240.0 mV	 -1.77300 mA	 54.49 ms	 0 V
10	 270.0 mV	 -1.62700 mA	 60.56 ms	 0 V
11	 300.0 mV	 -1.48740 mA	 66.75 ms	 0 V
12	 330.0 mV	 -1.34920 mA	 72.78 ms	 0 V
13	 360.0 mV	 -1.21580 mA	 78.84 ms	 0 V
14	 390.0 mV	 -1.08780 mA	 84.74 ms	 0 V
15	 420.0 mV	 -964.340 uA	 97.38 ms	 0 V
16	 450.0 mV	 -844.960 uA	 102.52 ms	 0 V
17	 480.0 mV	 -733.480 uA	 107.69 ms	 0 V
18	 510.0 mV	 -627.540 uA	 114.46 ms	 0 V
19	 540.0 mV	 -527.460 uA	 119.60 ms	 0 V
20	 570.0 mV	 -437.200 uA	 124.76 ms	 0 V
21	 600.0 mV	 -354.480 uA	 131.52 ms	 0 V
22	 630.0 mV	 -281.020 uA	 136.71 ms	 0 V
23	 660.0 mV	 -216.820 uA	 142.76 ms	 0 V
24	 690.0 mV	 -162.560 uA	 147.99 ms	 0 V
25	 720.0 mV	 -117.380 uA	 153.14 ms	 0 V
26	 750.0 mV	 -81.7720 uA	 166.37 ms	 0 V
27	 780.0 mV	 -53.8800 uA	 171.56 ms	 0 V
28	 810.0 mV	 -34.4840 uA	 178.31 ms	 0 V
29	 840.0 mV	 -20.9460 uA	 183.48 ms	 0 V
30	 870.0 mV	 -11.9260 uA	 188.80 ms	 0 V
31	 900.0 mV	 -6.37440 uA	 201.11 ms	 0 V
32	 930.0 mV	 -3.40830 uA	 208.59 ms	 0 V
33	 960.0 mV	 -1.77590 uA	 216.66 ms	 0 V
34	 990.0 mV	 -845.420 nA	 232.76 ms	 0 V
35	 1.0200 V	 -456.440 nA	 238.92 ms	 0 V
36	 1.0500 V	 -248.320 nA	 245.00 ms	 0 V
37	 1.0800 V	 -121.940 nA	 274.45 ms	 0 V
38	 1.1100 V	 -40.160 nA	 309.62 ms	 0 V
39	 1.1400 V	 -52.600 nA	 315.79 ms	 0 V
40	 1.1700 V	 -21.300 nA	 349.09 ms	 0 V
41	 1.2000 V	 -43.620 nA	 377.11 ms	 0 V
42	 0 V	 -2.94980 mA	 421.44 ms	 100.00 mV
43	 30.0 mV	 -2.79200 mA	 428.31 ms	 100.00 mV
44	 60.0 mV	 -2.63340 mA	 434.47 ms	 100.00 mV
45	 90.0 mV	 -2.47860 mA	 440.64 ms	 100.00 mV
46	 120.0 mV	 -2.32580 mA	 446.68 ms	 100.00 mV
47	 150.0 mV	 -2.17300 mA	 452.72 ms	 100.00 mV
48	 180.0 mV	 -2.02260 mA	 458.86 ms	 100.00 mV
49	 210.0 mV	 -1.87600 mA	 464.97 ms	 100.00 mV
50	 240.0 mV	 -1.73040 mA	 470.98 ms	 100.00 mV
51	 270.0 mV	 -1.59020 mA	 476.85 ms	 100.00 mV
52	 300.0 mV	 -1.45080 mA	 481.97 ms	 100.00 mV
53	 330.0 mV	 -1.31760 mA	 487.98 ms	 100.00 mV
54	 360.0 mV	 -1.18640 mA	 493.18 ms	 100.00 mV
55	 390.0 mV	 -1.05940 mA	 500.16 ms	 100.00 mV
56	 420.0 mV	 -939.420 uA	 513.10 ms	 100.00 mV
57	 450.0 mV	 -822.040 uA	 519.20 ms	 100.00 mV
58	 480.0 mV	 -712.100 uA	 525.41 ms	 100.00 mV
59	 510.0 mV	 -608.620 uA	 531.57 ms	 100.00 mV
60	 540.0 mV	 -512.260 uA	 537.66 ms	 100.00 mV
61	 570.0 mV	 -423.080 uA	 543.82 ms	 100.00 mV
62	 600.0 mV	 -342.880 uA	 549.94 ms	 100.00 mV
63	 630.0 mV	 -271.580 uA	 556.11 ms	 100.00 mV
64	 660.0 mV	 -208.280 uA	 562.31 ms	 100.00 mV
65	 690.0 mV	 -156.340 uA	 568.50 ms	 100.00 mV
66	 720.0 mV	 -112.400 uA	 574.66 ms	 100.00 mV
67	 750.0 mV	 -78.0380 uA	 587.36 ms	 100.00 mV
68	 780.0 mV	 -51.8420 uA	 593.34 ms	 100.00 mV
69	 810.0 mV	 -32.7320 uA	 598.47 ms	 100.00 mV
70	 840.0 mV	 -19.7760 uA	 604.30 ms	 100.00 mV
71	 870.0 mV	 -10.9980 uA	 610.38 ms	 100.00 mV
72	 900.0 mV	 -6.26020 uA	 624.30 ms	 100.00 mV
73	 930.0 mV	 -3.07430 uA	 631.01 ms	 100.00 mV
74	 960.0 mV	 -1.69870 uA	 637.64 ms	 100.00 mV
75	 990.0 mV	 -806.480 nA	 653.69 ms	 100.00 mV
76	 1.0200 V	 -342.920 nA	 659.89 ms	 100.00 mV
77	 1.0500 V	 -182.620 nA	 666.01 ms	 100.00 mV
78	 1.0800 V	 -77.3658 nA	 680.26 ms	 100.00 mV
79	 1.1100 V	 -46.4730 nA	 690.77 ms	 100.00 mV
80	 1.1400 V	 -17.7656 nA	 701.25 ms	 100.00 mV
81	 1.1700 V	 -17.9118 nA	 713.39 ms	 100.00 mV
82	 1.2000 V	 -12.9758 nA	 730.81 ms	 100.00 mV
83	 0 V	 -2.87120 mA	 1.16929 s	 200.00 mV
84	 30.0 mV	 -2.71800 mA	 1.17587 s	 200.00 mV
85	 60.0 mV	 -2.56420 mA	 1.18202 s	 200.00 mV
86	 90.0 mV	 -2.41460 mA	 1.18713 s	 200.00 mV
87	 120.0 mV	 -2.26400 mA	 1.19242 s	 200.00 mV
88	 150.0 mV	 -2.11600 mA	 1.19895 s	 200.00 mV
89	 180.0 mV	 -1.96940 mA	 1.20407 s	 200.00 mV
90	 210.0 mV	 -1.82400 mA	 1.21009 s	 200.00 mV
