Index	Vg	Id	Time	Vd
1	 0 V	 -1.06580 mA	 5.90 ms	 0 V
2	 30.0 mV	 -992.140 uA	 18.60 ms	 0 V
3	 60.0 mV	 -920.220 uA	 24.76 ms	 0 V
4	 90.0 mV	 -848.460 uA	 30.98 ms	 0 V
5	 120.0 mV	 -781.080 uA	 37.16 ms	 0 V
6	 150.0 mV	 -713.120 uA	 43.32 ms	 0 V
7	 180.0 mV	 -649.880 uA	 49.44 ms	 0 V
8	 210.0 mV	 -587.620 uA	 57.08 ms	 0 V
9	 240.0 mV	 -526.800 uA	 63.22 ms	 0 V
10	 270.0 mV	 -469.800 uA	 69.34 ms	 0 V
11	 300.0 mV	 -415.400 uA	 75.29 ms	 0 V
12	 330.0 mV	 -362.300 uA	 81.87 ms	 0 V
13	 360.0 mV	 -314.260 uA	 88.02 ms	 0 V
14	 390.0 mV	 -268.480 uA	 94.15 ms	 0 V
15	 420.0 mV	 -226.380 uA	 100.09 ms	 0 V
16	 450.0 mV	 -187.780 uA	 107.09 ms	 0 V
17	 480.0 mV	 -152.560 uA	 113.21 ms	 0 V
18	 510.0 mV	 -122.260 uA	 119.42 ms	 0 V
19	 540.0 mV	 -93.7740 uA	 132.17 ms	 0 V
20	 570.0 mV	 -71.6500 uA	 138.29 ms	 0 V
21	 600.0 mV	 -51.5240 uA	 144.24 ms	 0 V
22	 630.0 mV	 -35.3700 uA	 151.23 ms	 0 V
23	 660.0 mV	 -24.1800 uA	 157.37 ms	 0 V
24	 690.0 mV	 -14.6180 uA	 163.48 ms	 0 V
25	 720.0 mV	 -9.17300 uA	 176.03 ms	 0 V
26	 750.0 mV	 -4.84270 uA	 182.74 ms	 0 V
27	 780.0 mV	 -2.52650 uA	 221.85 ms	 0 V
28	 810.0 mV	 -1.69750 uA	 228.53 ms	 0 V
29	 840.0 mV	 -964.140 nA	 246.24 ms	 0 V
30	 870.0 mV	 -314.080 nA	 300.94 ms	 0 V
31	 900.0 mV	 -507.420 nA	 309.89 ms	 0 V
32	 930.0 mV	 -359.060 nA	 316.95 ms	 0 V
33	 960.0 mV	 -62.880 nA	 351.04 ms	 0 V
34	 990.0 mV	X -385.480 nA	 359.34 ms	 0 V
35	 1.0200 V	 -326.360 nA	 369.11 ms	 0 V
36	 1.0500 V	 -167.280 nA	 374.28 ms	 0 V
37	 1.0800 V	 -308.720 nA	 430.08 ms	 0 V
38	 1.1100 V	 -290.300 nA	 435.28 ms	 0 V
39	 1.1400 V	 -140.800 nA	 440.41 ms	 0 V
40	 1.1700 V	 -250.960 nA	 447.20 ms	 0 V
41	 1.2000 V	X -364.240 nA	 484.83 ms	 0 V
42	 0 V	 -1.05740 mA	 605.85 ms	 100.00 mV
43	 30.0 mV	 -984.600 uA	 619.25 ms	 100.00 mV
44	 60.0 mV	 -912.540 uA	 625.48 ms	 100.00 mV
45	 90.0 mV	 -842.060 uA	 631.61 ms	 100.00 mV
46	 120.0 mV	 -775.320 uA	 637.69 ms	 100.00 mV
47	 150.0 mV	 -708.020 uA	 643.91 ms	 100.00 mV
48	 180.0 mV	 -644.520 uA	 650.11 ms	 100.00 mV
49	 210.0 mV	 -582.820 uA	 656.33 ms	 100.00 mV
50	 240.0 mV	 -522.380 uA	 662.46 ms	 100.00 mV
51	 270.0 mV	 -465.840 uA	 668.41 ms	 100.00 mV
52	 300.0 mV	 -411.100 uA	 673.59 ms	 100.00 mV
53	 330.0 mV	 -359.720 uA	 680.39 ms	 100.00 mV
54	 360.0 mV	 -311.660 uA	 686.57 ms	 100.00 mV
55	 390.0 mV	 -265.480 uA	 692.78 ms	 100.00 mV
56	 420.0 mV	 -224.700 uA	 698.99 ms	 100.00 mV
57	 450.0 mV	 -186.440 uA	 705.11 ms	 100.00 mV
58	 480.0 mV	 -150.920 uA	 711.34 ms	 100.00 mV
59	 510.0 mV	 -120.580 uA	 717.53 ms	 100.00 mV
60	 540.0 mV	 -93.7020 uA	 730.27 ms	 100.00 mV
61	 570.0 mV	 -70.4240 uA	 736.43 ms	 100.00 mV
62	 600.0 mV	 -50.4640 uA	 742.55 ms	 100.00 mV
63	 630.0 mV	 -35.5800 uA	 748.76 ms	 100.00 mV
64	 660.0 mV	 -23.7860 uA	 754.93 ms	 100.00 mV
65	 690.0 mV	 -14.3860 uA	 761.05 ms	 100.00 mV
66	 720.0 mV	 -8.59860 uA	 773.49 ms	 100.00 mV
67	 750.0 mV	 -4.84160 uA	 813.78 ms	 100.00 mV
68	 780.0 mV	 -2.44520 uA	 820.35 ms	 100.00 mV
69	 810.0 mV	 -1.37770 uA	 826.79 ms	 100.00 mV
70	 840.0 mV	 -566.980 nA	 843.05 ms	 100.00 mV
71	 870.0 mV	 -282.720 nA	 850.93 ms	 100.00 mV
72	 900.0 mV	 -209.580 nA	 856.07 ms	 100.00 mV
73	 930.0 mV	X -215.800 nA	 888.44 ms	 100.00 mV
74	 960.0 mV	 -37.300 nA	 893.58 ms	 100.00 mV
75	 990.0 mV	 -40.260 nA	 899.79 ms	 100.00 mV
76	 1.0200 V	 -38.00 nA	 937.16 ms	 100.00 mV
77	 1.0500 V	 -18.90 nA	 983.58 ms	 100.00 mV
78	 1.0800 V	 -160.80 nA	 1.03570 s	 100.00 mV
79	 1.1100 V	 -4.760 nA	 1.05133 s	 100.00 mV
80	 1.1400 V	 -9.160 nA	 1.07890 s	 100.00 mV
81	 1.1700 V	 -6.30 nA	 1.09216 s	 100.00 mV
82	 1.2000 V	 -47.740 nA	 1.12828 s	 100.00 mV
83	 0 V	 -1.04900 mA	 1.17547 s	 200.00 mV
84	 30.0 mV	 -976.300 uA	 1.18883 s	 200.00 mV
85	 60.0 mV	 -905.620 uA	 1.19501 s	 200.00 mV
86	 90.0 mV	 -834.880 uA	 1.20116 s	 200.00 mV
87	 120.0 mV	 -768.700 uA	 1.20733 s	 200.00 mV
88	 150.0 mV	 -702.260 uA	 1.21349 s	 200.00 mV
